"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","PGTM","PGTM_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT07","WT07_ATTRIBUTES","WT08","WT08_ATTRIBUTES","WT16","WT16_ATTRIBUTES"
"THW00041018","2018-06-28","17.38333","102.8","178.0","UDON THANI, TH","    3",",,S",,,,,"  320",",,S","  234",",,S",,,"  274","H,,S",,,,,,,,,,,,,,
"THW00041018","2018-06-29","17.38333","102.8","178.0","UDON THANI, TH","    0",",,S",,,,,,,,,,,"  280","H,,S",,,,,,,,,,,,,,
"THW00041018","2018-06-30","17.38333","102.8","178.0","UDON THANI, TH","  137",",,S",,,,,"  347",",,S",,,,,"  284","H,,S",,,,,,,,,,,,,,
"THW00041018","2018-07-01","17.38333","102.8","178.0","UDON THANI, TH","    3",",,S",,,,,,,"  249",",,S",,,"  303","H,,S",,,,,,,,,,,,,,
"THW00041018","2018-07-02","17.38333","102.8","178.0","UDON THANI, TH","    0",",,S",,,,,"  346",",,S",,,,,"  306","H,,S",,,,,,,,,,,,,,
"THW00041018","2018-07-03","17.38333","102.8","178.0","UDON THANI, TH",,,,,,,,,,,,,"  309","H,,S",,,,,,,,,,,,,,
"THW00041018","2018-07-04","17.38333","102.8","178.0","UDON THANI, TH",,,,,,,"  348",",,S",,,,,"  306","H,,S",,,,,,,,,,,,,,
"THW00041018","2018-07-05","17.38333","102.8","178.0","UDON THANI, TH","    8",",,S",,,,,"  344",",,S","  258",",,S",,,"  299","H,,S",,,,,,,,,,,,,,
"THW00041018","2018-07-06","17.38333","102.8","178.0","UDON THANI, TH","    0",",,S",,,,,"  347",",,S",,,,,"  297","H,,S",,,,,,,,,,,,,,
"THW00041018","2018-07-07","17.38333","102.8","178.0","UDON THANI, TH","    0",",,S",,,,,,,,,,,"  294","H,,S",,,,,,,,,,,,,,
"THW00041018","2018-07-08","17.38333","102.8","178.0","UDON THANI, TH","   36",",,S",,,,,,,,,,,"  262","H,,S",,,,,,,,,,,,,,
"THW00041018","2018-07-09","17.38333","102.8","178.0","UDON THANI, TH","   13",",,S",,,,,,,,,,,"  297","H,,S",,,,,,,,,,,,,,
"THW00041018","2018-07-10","17.38333","102.8","178.0","UDON THANI, TH","   94",",,S",,,,,,,,,,,"  277","H,,S",,,,,,,,,,,,,,
"THW00041018","2018-07-11","17.38333","102.8","178.0","UDON THANI, TH","  249",",,S",,,,,,,"  240",",,S",,,"  284","H,,S",,,,,,,,,,,,,,
"THW00041018","2018-07-12","17.38333","102.8","178.0","UDON THANI, TH","    8",",,S",,,,,"  321",",,S",,,,,"  283","H,,S",,,,,,,,,,,,,,
"THW00041018","2018-07-13","17.38333","102.8","178.0","UDON THANI, TH","   20",",,S",,,,,,,,,,,"  289","H,,S",,,,,,,,,,,,,,
"THW00041018","2018-07-14","17.38333","102.8","178.0","UDON THANI, TH","  544",",,S",,,,,,,,,,,"  277","H,,S",,,,,,,,,,,,,,
"THW00041018","2018-07-15","17.38333","102.8","178.0","UDON THANI, TH","    3",",,S",,,,,,,"  245",",,S",,,"  286","H,,S",,,,,,,,,,,,,,
"THW00041018","2018-07-16","17.38333","102.8","178.0","UDON THANI, TH","   74",",,S",,,,,,,,,,,"  258","H,,S",,,,,,,,,,,,,,
"THW00041018","2018-07-17","17.38333","102.8","178.0","UDON THANI, TH","   99",",,S",,,,,"  301",",,S","  244",",,S",,,"  271","H,,S",,,,,,,,,,,,,,
"THW00041018","2018-07-18","17.38333","102.8","178.0","UDON THANI, TH","   25",",,S",,,,,,,"  249",",,S",,,"  285","H,,S",,,,,,,,,,,,,,
"THW00041018","2018-07-19","17.38333","102.8","178.0","UDON THANI, TH","   89",",,S",,,,,,,,,,,"  264","H,,S",,,,,,,,,,,,,,
"THW00041018","2018-07-20","17.38333","102.8","178.0","UDON THANI, TH","   71",",,S",,,,,,,"  248",",,S",,,"  274","H,,S",,,,,,,,,,,,,,
"THW00041018","2018-07-21","17.38333","102.8","178.0","UDON THANI, TH","   23",",,S",,,,,,,,,,,"  277","H,,S",,,,,,,,,,,,,,
"THW00041018","2018-07-22","17.38333","102.8","178.0","UDON THANI, TH","   18",",,S",,,,,,,,,,,"  292","H,,S",,,,,,,,,,,,,,
"THW00041018","2018-07-23","17.38333","102.8","178.0","UDON THANI, TH","    0",",,S",,,,,,,"  245",",,S",,,"  304","H,,S",,,,,,,,,,,,,,
"THW00041018","2018-07-24","17.38333","102.8","178.0","UDON THANI, TH","    5",",,S",,,,,"  337",",,S",,,,,"  295","H,,S",,,,,,,,,,,,,,
