"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","ACMH","ACMH_ATTRIBUTES","ACSH","ACSH_ATTRIBUTES","AWND","AWND_ATTRIBUTES","FMTM","FMTM_ATTRIBUTES","FRGT","FRGT_ATTRIBUTES","GAHT","GAHT_ATTRIBUTES","PGTM","PGTM_ATTRIBUTES","PSUN","PSUN_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDF1","WDF1_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WDFM","WDFM_ATTRIBUTES","WESD","WESD_ATTRIBUTES","WSF1","WSF1_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES","WSFM","WSFM_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT02","WT02_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT07","WT07_ATTRIBUTES","WT08","WT08_ATTRIBUTES","WT09","WT09_ATTRIBUTES","WT10","WT10_ATTRIBUTES","WT11","WT11_ATTRIBUTES","WT13","WT13_ATTRIBUTES","WT14","WT14_ATTRIBUTES","WT15","WT15_ATTRIBUTES","WT16","WT16_ATTRIBUTES","WT17","WT17_ATTRIBUTES","WT18","WT18_ATTRIBUTES","WT19","WT19_ATTRIBUTES","WT21","WT21_ATTRIBUTES","WT22","WT22_ATTRIBUTES"
"USW00014933","2018-07-07","41.5338","-93.653","291.7","DES MOINES INTERNATIONAL AIRPORT, IA US","    0",",,W,2400","    0",",,W","    0",",,W","  283",",,W","  183",",,W",,,,,"   34",",,W",,,,,,,,,,,"  235","H,,S",,,,,"  150",",,W","  140",",,W",,,,,,,,,"   58",",,W","   89",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014933","2018-07-08","41.5338","-93.653","291.7","DES MOINES INTERNATIONAL AIRPORT, IA US","    0",",,W,2400","    0",",,W","    0",",,W","  300",",,W","  172",",,W",,,,,"   37",",,W",,,,,,,,,,,"  239","H,,S",,,,,"  170",",,W","  120",",,W",,,,,,,,,"   67",",,W","  107",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014933","2018-07-09","41.5338","-93.653","291.7","DES MOINES INTERNATIONAL AIRPORT, IA US","    0",",,W,2400","    0",",,W","    0",",,W","  339",",,W","  178",",,W",,,,,"   32",",,W",,,,,,,,,,,"  258","H,,S",,,,,"  240",",,W","  250",",,W",,,,,,,,,"   72",",,W","   94",",,W",,,,,,,,,,,,,,,,,,,"    1",",,W",,,,,,,,,,,,,,,,,,,,,,,,
"USW00014933","2018-07-10","41.5338","-93.653","291.7","DES MOINES INTERNATIONAL AIRPORT, IA US","    0",",,W,2400","    0",",,W","    0",",,W","  328",",,W","  250",",,W",,,,,"   25",",,W",,,,,,,,,,,"  289","H,,S",,,,,"  140",",,W","   60",",,W",,,,,,,,,"   58",",,W","   89",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014933","2018-07-11","41.5338","-93.653","291.7","DES MOINES INTERNATIONAL AIRPORT, IA US","    0",",,W,2400","    0",",,W","    0",",,W","  339",",,W","  228",",,W",,,,,"   44",",,W",,,,,,,,,,,"  281","H,,S",,,,,"  110",",,W","  130",",,W",,,,,,,,,"   67",",,W","  112",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014933","2018-07-12","41.5338","-93.653","291.7","DES MOINES INTERNATIONAL AIRPORT, IA US","    0",",,W,2400","    0",",,W","    0",",,W","  356",",,W","  228",",,W",,,,,"   40",",,W",,,,,,,,,,,"  287","H,,S",,,,,"  180",",,W","  170",",,W",,,,,,,,,"   67",",,W","   89",",,W",,,,,,,,,,,,,,,,,,,"    1",",,W",,,,,,,,,,,,,,,,,,,,,,,,
"USW00014933","2018-07-13","41.5338","-93.653","291.7","DES MOINES INTERNATIONAL AIRPORT, IA US","   25",",,W,2400","    0",",,W","    0",",,W","  350",",,W","  228",",,W",,,,,"   32",",,W",,,,,,,,,,,"  289","H,,S",,,,,"  310",",,W","  300",",,W",,,,,,,,,"  134",",,W","  197",",,W",,,,,"    1",",,W",,,"    1",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014933","2018-07-14","41.5338","-93.653","291.7","DES MOINES INTERNATIONAL AIRPORT, IA US","    0",",,W,2400","    0",",,W","    0",",,W","  317",",,W","  217",",,W",,,,,"   20",",,W",,,,,,,,,,,"  255","H,,S",,,,,"   20",",,W","  290",",,W",,,,,,,,,"   40",",,W","   67",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014933","2018-07-15","41.5338","-93.653","291.7","DES MOINES INTERNATIONAL AIRPORT, IA US","    0","T,,W,2400","    0",",,W","    0",",,W","  322",",,W","  217",",,W",,,,,"   23",",,W",,,,,,,,,,,"  266","H,,S",,,,,"  310",",,W","  310",",,W",,,,,,,,,"   58",",,W","   85",",,W",,,,,"    1",",,W","    1",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014933","2018-07-16","41.5338","-93.653","291.7","DES MOINES INTERNATIONAL AIRPORT, IA US","    0",",,W,2400","    0",",,W","    0",",,W","  306",",,W","  222",",,W",,,,,"   34",",,W",,,,,,,,,,,"  267","H,,S",,,,,"   20",",,W","  340",",,W",,,,,,,,,"   63",",,W","   98",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014933","2018-07-17","41.5338","-93.653","291.7","DES MOINES INTERNATIONAL AIRPORT, IA US","    0",",,W,2400","    0",",,W","    0",",,W","  294",",,W","  183",",,W",,,,,"   19",",,W",,,,,,,,,,,"  247","H,,S",,,,,"  160",",,W","  120",",,W",,,,,,,,,"   54",",,W","   89",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014933","2018-07-18","41.5338","-93.653","291.7","DES MOINES INTERNATIONAL AIRPORT, IA US","    0",",,W,2400","    0",",,W","    0",",,W","  306",",,W","  200",",,W",,,,,"   34",",,W",,,,,,,,,,,"  253","H,,S",,,,,"  130",",,W","  130",",,W",,,,,,,,,"   72",",,W","   98",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
