"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT11","WT11_ATTRIBUTES"
"RQC00669432","2016-01-26","18.1731","-66.4928","868.1","TORO NEGRO FOREST, PR US","   20",",,7",,,,,"  256",",,7","  128",",,7",,,,,"  189",",,7",,,,,,,,,,
"RQC00669432","2016-01-27","18.1731","-66.4928","868.1","TORO NEGRO FOREST, PR US","   13",",,7",,,,,"  244",",,7","  111",",,7",,,,,"  178",",,7",,,,,,,,,,
"RQC00669432","2016-01-28","18.1731","-66.4928","868.1","TORO NEGRO FOREST, PR US","    0",",,7",,,,,"  267",",,7","  122",",,7",,,,,"  183",",,7",,,,,,,,,,
"RQC00669432","2016-01-29","18.1731","-66.4928","868.1","TORO NEGRO FOREST, PR US","    0",",,7",,,,,"  244",",,7","  117",",,7",,,,,"  156",",,7",,,,,,,,,,
"RQC00669432","2016-02-01","18.1731","-66.4928","868.1","TORO NEGRO FOREST, PR US","   13",",,7",,,,,"  233",",,7","  122",",,7",,,,,"  183",",,7",,,,,,,,,,
"RQC00669432","2016-02-02","18.1731","-66.4928","868.1","TORO NEGRO FOREST, PR US","   64",",,7",,,,,"  222",",,7","  100",",,7",,,,,"  161",",,7",,,,,,,,,,
"RQC00669432","2016-02-03","18.1731","-66.4928","868.1","TORO NEGRO FOREST, PR US","   51",",,7",,,,,"  250",",,7","  106",",,7",,,,,"  167",",,7",,,,,,,,,,
"RQC00669432","2016-02-04","18.1731","-66.4928","868.1","TORO NEGRO FOREST, PR US","    5",",,7",,,,,"  228",",,7","  106",",,7",,,,,"  172",",,7",,,,,,,,,,
"RQC00669432","2016-02-05","18.1731","-66.4928","868.1","TORO NEGRO FOREST, PR US","    8",",,7",,,,,"  228",",,7","  106",",,7",,,,,"  172",",,7",,,,,,,,,,
"RQC00669432","2016-02-08","18.1731","-66.4928","868.1","TORO NEGRO FOREST, PR US",,,,,,,"  261",",,7","  111",",,7","    3",",,7","    0",",,7","  183",",,7",,,,,,,,,,
"RQC00669432","2016-02-09","18.1731","-66.4928","868.1","TORO NEGRO FOREST, PR US","    0",",,7",,,,,"  239",",,7","  111",",,7",,,,,"  183",",,7",,,,,,,,,,
"RQC00669432","2016-02-10","18.1731","-66.4928","868.1","TORO NEGRO FOREST, PR US",,,,,,,"  256",",,7","  111",",,7",,,,,"  189",",,7",,,,,,,,,,
"RQC00669432","2016-02-11","18.1731","-66.4928","868.1","TORO NEGRO FOREST, PR US",,,,,,,"  250",",,7","  100",",,7","    2",",,7","   99",",,7","  167",",,7",,,,,,,,,,
"RQC00669432","2016-02-16","18.1731","-66.4928","868.1","TORO NEGRO FOREST, PR US",,,,,,,"  256",",,7","   89",",,7","    5",",,7","  117",",,7","  183",",,7",,,,,,,,,,
"RQC00669432","2016-02-17","18.1731","-66.4928","868.1","TORO NEGRO FOREST, PR US","    0",",,7",,,,,"  256",",,7","  128",",,7",,,,,"  189",",,7",,,,,,,,,,
"RQC00669432","2016-02-18","18.1731","-66.4928","868.1","TORO NEGRO FOREST, PR US","    0",",,7",,,,,"  250",",,7","  111",",,7",,,,,"  183",",,7",,,,,,,,,,
"RQC00669432","2016-02-19","18.1731","-66.4928","868.1","TORO NEGRO FOREST, PR US","   76",",,7",,,,,"  250",",,7","  111",",,7",,,,,"  183",",,7",,,,,,,,,,
"RQC00669432","2016-02-22","18.1731","-66.4928","868.1","TORO NEGRO FOREST, PR US",,,,,,,"  250",",,7","  106",",,7","    3",",,7","  335",",,7","  178",",,7",,,,,,,,,,
"RQC00669432","2016-02-23","18.1731","-66.4928","868.1","TORO NEGRO FOREST, PR US","    0",",,7",,,,,"  250",",,7","  111",",,7",,,,,"  172",",,7",,,,,,,,,,
