"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES"
"USC00331785","2018-06-07","40.0251","-83.027","225.6","COLUMBUS WCMH, OH US","    0",",,7,2400","    0",",,7,2400","    0",",,7,2400","  283",",,7","  100",",,7","  233",",,7,2400"
"USC00331785","2018-06-08","40.0251","-83.027","225.6","COLUMBUS WCMH, OH US","  183",",,7,2400","    0",",,7,2400","    0",",,7,2400","  289",",,7","  167",",,7","  183",",,7,2400"
"USC00331785","2018-06-09","40.0251","-83.027","225.6","COLUMBUS WCMH, OH US","   48",",,7,2400","    0",",,7,2400","    0",",,7,2400","  311",",,7","  178",",,7","  206",",,7,2400"
"USC00331785","2018-06-10","40.0251","-83.027","225.6","COLUMBUS WCMH, OH US","   28",",,7,2400","    0",",,7,2400","    0",",,7,2400","  272",",,7","  178",",,7","  217",",,7,2400"
"USC00331785","2018-06-11","40.0251","-83.027","225.6","COLUMBUS WCMH, OH US","   20",",,7,2400","    0",",,7,2400","    0",",,7,2400","  228",",,7","  194",",,7","  194",",,7,2400"
"USC00331785","2018-06-12","40.0251","-83.027","225.6","COLUMBUS WCMH, OH US","    8",",,7,2400","    0",",,7,2400","    0",",,7,2400","  278",",,7","  183",",,7","  222",",,7,2400"
"USC00331785","2018-06-13","40.0251","-83.027","225.6","COLUMBUS WCMH, OH US","  404",",,7,2400","    0",",,7,2400","    0",",,7,2400","  300",",,7","  167",",,7","  167",",,7,2400"
"USC00331785","2018-06-14","40.0251","-83.027","225.6","COLUMBUS WCMH, OH US","    0",",,7,2400","    0",",,7,2400","    0",",,7,2400","  272",",,7","  128",",,7","  161",",,7,2400"
"USC00331785","2018-06-15","40.0251","-83.027","225.6","COLUMBUS WCMH, OH US","    0",",,7,2400","    0",",,7,2400","    0",",,7,2400","  300",",,7","  139",",,7","  206",",,7,2400"
"USC00331785","2018-06-16","40.0251","-83.027","225.6","COLUMBUS WCMH, OH US","    0",",,7,2400","    0",",,7,2400","    0",",,7,2400","  322",",,7","  172",",,7","  228",",,7,2400"
"USC00331785","2018-06-17","40.0251","-83.027","225.6","COLUMBUS WCMH, OH US","    0",",,7,2400","    0",",,7,2400","    0",",,7,2400","  339",",,7","  200",",,7","  272",",,7,2400"
"USC00331785","2018-06-18","40.0251","-83.027","225.6","COLUMBUS WCMH, OH US","    0",",,7,2400","    0",",,7,2400","    0",",,7,2400","  339",",,7","  228",",,7","  283",",,7,2400"
"USC00331785","2018-06-19","40.0251","-83.027","225.6","COLUMBUS WCMH, OH US","   53",",,7,2400","    0",",,7,2400","    0",",,7,2400","  306",",,7","  217",",,7","  222",",,7,2400"
"USC00331785","2018-06-20","40.0251","-83.027","225.6","COLUMBUS WCMH, OH US","   71",",,7,2400","    0",",,7,2400","    0",",,7,2400","  306",",,7","  206",",,7","  217",",,7,2400"
