"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WESD","WESD_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT11","WT11_ATTRIBUTES"
"USC00116157","2018-07-06","38.9916","-88.1828","161.8","NEWTON, IL US","    0",",,7,2400","    0",",,7,2400","    0",",,7,2400","  289",",,7","  183",",,7","  183",",,7,2400",,,,,,,,,,,,,,
"USC00116157","2018-07-07","38.9916","-88.1828","161.8","NEWTON, IL US","    0",",,7,2400","    0",",,7,2400","    0",",,7,2400","  261",",,7","  150",",,7","  172",",,7,2400",,,,,,,,,,,,,,
"USC00116157","2018-07-08","38.9916","-88.1828","161.8","NEWTON, IL US","    0",",,7,2400","    0",",,7,2400","    0",",,7,2400","  300",",,7","  150",",,7","  228",",,7,2400",,,,,,,,,,,,,,
"USC00116157","2018-07-09","38.9916","-88.1828","161.8","NEWTON, IL US","    0",",,7,2400","    0",",,7,2400","    0",",,7,2400","  317",",,7","  206",",,7","  250",",,7,2400",,,,,,,,,,,,,,
"USC00116157","2018-07-10","38.9916","-88.1828","161.8","NEWTON, IL US","    0",",,7,2400","    0",",,7,2400","    0",",,7,2400","  333",",,7","  228",",,7","  239",",,7,2400",,,,,,,,,,,,,,
"USC00116157","2018-07-11","38.9916","-88.1828","161.8","NEWTON, IL US","    0",",,7,2400","    0",",,7,2400","    0",",,7,2400","  300",",,7","  189",",,7","  222",",,7,2400",,,,,,,,,,,,,,
"USC00116157","2018-07-12","38.9916","-88.1828","161.8","NEWTON, IL US","    0",",,7,2400","    0",",,7,2400","    0",",,7,2400","  300",",,7","  183",",,7","  217",",,7,2400",,,,,,,,,,,,,,
"USC00116157","2018-07-13","38.9916","-88.1828","161.8","NEWTON, IL US","    0",",,7,2400","    0",",,7,2400","    0",",,7,2400","  306",",,7","  172",",,7","  228",",,7,2400",,,,,,,,,,,,,,
"USC00116157","2018-07-14","38.9916","-88.1828","161.8","NEWTON, IL US","   43",",,7,2400","    0",",,7,2400","    0",",,7,2400","  339",",,7","  194",",,7","  222",",,7,2400",,,,,"    1",",,7",,,,,,,,
"USC00116157","2018-07-15","38.9916","-88.1828","161.8","NEWTON, IL US","   18",",,7,2400","    0",",,7,2400","    0",",,7,2400","  300",",,7","  222",",,7","  250",",,7,2400",,,,,"    1",",,7",,,,,,,,
"USC00116157","2018-07-16","38.9916","-88.1828","161.8","NEWTON, IL US","    0",",,7,2400","    0",",,7,2400","    0",",,7,2400","  317",",,7","  239",",,7","  244",",,7,2400",,,,,,,,,,,,,,
"USC00116157","2018-07-17","38.9916","-88.1828","161.8","NEWTON, IL US","    0",",,7,2400","    0",",,7,2400","    0",",,7,2400","  289",",,7","  206",",,7","  206",",,7,2400",,,,,,,,,,,,,,
"USC00116157","2018-07-18","38.9916","-88.1828","161.8","NEWTON, IL US","    0",",,7,2400","    0",",,7,2400","    0",",,7,2400","  272",",,7","  178",",,7","  189",",,7,2400",,,,,,,,,,,,,,
"USC00116157","2018-07-19","38.9916","-88.1828","161.8","NEWTON, IL US","    0",",,7,2400","    0",",,7,2400","    0",",,7,2400","  300",",,7","  167",",,7","  239",",,7,2400",,,,,,,,,,,,,,
"USC00116157","2018-07-20","38.9916","-88.1828","161.8","NEWTON, IL US","   53",",,7,2400","    0",",,7,2400","    0",",,7,2400","  311",",,7","  189",",,7","  217",",,7,2400",,,,,"    1",",,7",,,,,,,,
"USC00116157","2018-07-21","38.9916","-88.1828","161.8","NEWTON, IL US","   36",",,7,2400","    0",",,7,2400","    0",",,7,2400","  256",",,7","  194",",,7","  206",",,7,2400",,,,,,,,,,,,,,
"USC00116157","2018-07-22","38.9916","-88.1828","161.8","NEWTON, IL US","  178",",,7,2400","    0",",,7,2400","    0",",,7,2400","  261",",,7","  200",",,7","  200",",,7,2400",,,,,"    1",",,7",,,,,,,,
"USC00116157","2018-07-23","38.9916","-88.1828","161.8","NEWTON, IL US","    0",",,7,2400","    0",",,7,2400","    0",",,7,2400","  272",",,7","  183",",,7","  200",",,7,2400",,,,,,,,,,,,,,
"USC00116157","2018-07-24","38.9916","-88.1828","161.8","NEWTON, IL US","    0",",,7,2400","    0",",,7,2400","    0",",,7,2400","  289",",,7","  172",",,7","  211",",,7,2400",,,,,,,,,,,,,,
"USC00116157","2018-07-25","38.9916","-88.1828","161.8","NEWTON, IL US","    0",",,7,2400","    0",",,7,2400","    0",",,7,2400","  289",",,7","  178",",,7","  194",",,7,2400",,,,,,,,,,,,,,
"USC00116157","2018-07-26","38.9916","-88.1828","161.8","NEWTON, IL US","    0",",,7,2400","    0",",,7,2400","    0",",,7,2400","  300",",,7","  178",",,7","  189",",,7,2400",,,,,,,,,,,,,,
"USC00116157","2018-07-27","38.9916","-88.1828","161.8","NEWTON, IL US","    0",",,7,2400","    0",",,7,2400","    0",",,7,2400","  261",",,7","  156",",,7","  167",",,7,2400",,,,,,,,,,,,,,
"USC00116157","2018-07-28","38.9916","-88.1828","161.8","NEWTON, IL US","    0",",,7,2400","    0",",,7,2400","    0",",,7,2400","  267",",,7","  144",",,7","  183",",,7,2400",,,,,,,,,,,,,,
"USC00116157","2018-07-29","38.9916","-88.1828","161.8","NEWTON, IL US","  145",",,7,2400","    0",",,7,2400","    0",",,7,2400","  228",",,7","  167",",,7","  183",",,7,2400",,,,,,,,,,,,,,
"USC00116157","2018-07-30","38.9916","-88.1828","161.8","NEWTON, IL US","  483",",,7,2400","    0",",,7,2400","    0",",,7,2400","  228",",,7","  178",",,7","  189",",,7,2400",,,,,,,,,,,,,,
"USC00116157","2018-07-31","38.9916","-88.1828","161.8","NEWTON, IL US","   58",",,7,2400","    0",",,7,2400","    0",",,7,2400","  256",",,7","  183",",,7","  183",",,7,2400",,,,,,,,,,,,,,
"USC00116157","2018-08-01","38.9916","-88.1828","161.8","NEWTON, IL US","    0",",,7,2400","    0",",,7,2400","    0",",,7,2400","  261",",,7","  161",",,7","  183",",,7,2400",,,,,,,,,,,,,,
"USC00116157","2018-08-02","38.9916","-88.1828","161.8","NEWTON, IL US","    0",",,7,2400","    0",",,7,2400","    0",",,7,2400","  294",",,7","  161",",,7","  211",",,7,2400",,,"    1",",,7",,,,,,,,,,
"USC00116157","2018-08-03","38.9916","-88.1828","161.8","NEWTON, IL US","    5",",,7,2400","    0",",,7,2400","    0",",,7,2400","  306",",,7","  200",",,7","  239",",,7,2400",,,,,,,,,,,,,,
"USC00116157","2018-08-04","38.9916","-88.1828","161.8","NEWTON, IL US","    0",",,7,2400","    0",",,7,2400","    0",",,7,2400","  317",",,7","  200",",,7","  239",",,7,2400",,,,,,,,,,,,,,
"USC00116157","2018-08-05","38.9916","-88.1828","161.8","NEWTON, IL US","    0",",,7,2400","    0",",,7,2400","    0",",,7,2400","  322",",,7","  206",",,7","  239",",,7,2400",,,,,,,,,,,,,,
"USC00116157","2018-08-06","38.9916","-88.1828","161.8","NEWTON, IL US","    0",",,7,2400","    0",",,7,2400","    0",",,7,2400","  322",",,7","  217",",,7","  256",",,7,2400",,,,,,,,,,,,,,
"USC00116157","2018-08-07","38.9916","-88.1828","161.8","NEWTON, IL US","  343",",,7,2400","    0",",,7,2400","    0",",,7,2400","  256",",,7","  217",",,7","  228",",,7,2400",,,,,"    1",",,7",,,,,,,,
"USC00116157","2018-08-08","38.9916","-88.1828","161.8","NEWTON, IL US","    0",",,7,2400","    0",",,7,2400","    0",",,7,2400","  294",",,7","  206",",,7","  206",",,7,2400",,,,,,,,,,,,,,
"USC00116157","2018-08-09","38.9916","-88.1828","161.8","NEWTON, IL US","    0",",,7,2400","    0",",,7,2400","    0",",,7,2400","  289",",,7","  183",",,7","  222",",,7,2400",,,,,,,,,,,,,,
"USC00116157","2018-08-10","38.9916","-88.1828","161.8","NEWTON, IL US","    0",",,7,2400","    0",",,7,2400","    0",",,7,2400","  300",",,7","  206",",,7","  228",",,7,2400",,,,,,,,,,,,,,
"USC00116157","2018-08-11","38.9916","-88.1828","161.8","NEWTON, IL US","    0",",,7,2400","    0",",,7,2400","    0",",,7,2400","  283",",,7","  194",",,7","  206",",,7,2400",,,"    1",",,7",,,,,,,,,,
"USC00116157","2018-08-12","38.9916","-88.1828","161.8","NEWTON, IL US","    0",",,7,2400","    0",",,7,2400","    0",",,7,2400","  294",",,7","  183",",,7","  206",",,7,2400",,,,,,,,,,,,,,
"USC00116157","2018-08-13","38.9916","-88.1828","161.8","NEWTON, IL US","    0",",,7,2400","    0",",,7,2400","    0",",,7,2400","  294",",,7","  183",",,7","  206",",,7,2400",,,,,,,,,,,,,,
"USC00116157","2018-08-14","38.9916","-88.1828","161.8","NEWTON, IL US","    0",",,7,2400","    0",",,7,2400","    0",",,7,2400","  300",",,7","  178",",,7","  233",",,7,2400",,,,,,,,,,,,,,
"USC00116157","2018-08-15","38.9916","-88.1828","161.8","NEWTON, IL US","  117",",,7,2400","    0",",,7,2400","    0",",,7,2400","  256",",,7","  150",",,7","  222",",,7,2400",,,,,,,,,,,,,,
"USC00116157","2018-08-16","38.9916","-88.1828","161.8","NEWTON, IL US","    3",",,7,2400","    0",",,7,2400","    0",",,7,2400","  294",",,7","  217",",,7","  244",",,7,2400",,,,,,,,,,,,,,
"USC00116157","2018-08-17","38.9916","-88.1828","161.8","NEWTON, IL US","   91",",,7,2400","    0",",,7,2400","    0",",,7,2400","  283",",,7","  200",",,7","  211",",,7,2400",,,,,"    1",",,7",,,,,,,,
"USC00116157","2018-08-18","38.9916","-88.1828","161.8","NEWTON, IL US","    0",",,7,2400","    0",",,7,2400","    0",",,7,2400","  278",",,7","  200",",,7","  211",",,7,2400",,,"    1",",,7",,,,,,,,,,
"USC00116157","2018-08-19","38.9916","-88.1828","161.8","NEWTON, IL US","    0",",,7,2400","    0",",,7,2400","    0",",,7,2400","  294",",,7","  200",",,7","  233",",,7,2400",,,,,,,,,,,,,,
"USC00116157","2018-08-20","38.9916","-88.1828","161.8","NEWTON, IL US","  315",",,7,2400","    0",",,7,2400","    0",",,7,2400","  283",",,7","  211",",,7","  211",",,7,2400",,,,,,,,,,,,,,
"USC00116157","2018-08-21","38.9916","-88.1828","161.8","NEWTON, IL US","   10",",,7,2400","    0",",,7,2400","    0",",,7,2400","  256",",,7","  200",",,7","  200",",,7,2400",,,,,,,,,,,,,,
"USC00116157","2018-08-22","38.9916","-88.1828","161.8","NEWTON, IL US","    0",",,7,2400","    0",",,7,2400","    0",",,7,2400","  239",",,7","  156",",,7","  156",",,7,2400",,,,,,,,,,,,,,
"USC00116157","2018-08-23","38.9916","-88.1828","161.8","NEWTON, IL US","    0",",,7,2400","    0",",,7,2400","    0",",,7,2400","  261",",,7","  128",",,7","  167",",,7,2400",,,,,,,,,,,,,,
"USC00116157","2018-08-24","38.9916","-88.1828","161.8","NEWTON, IL US","  168",",,7,2400","    0",",,7,2400","    0",",,7,2400","  194",",,7","  150",",,7","  194",",,7,2400",,,,,,,,,,,,,,
"USC00116157","2018-08-25","38.9916","-88.1828","161.8","NEWTON, IL US","  267",",,7,2400","    0",",,7,2400","    0",",,7,2400","  300",",,7","  172",",,7","  256",",,7,2400",,,,,"    1",",,7",,,,,,,,
"USC00116157","2018-08-26","38.9916","-88.1828","161.8","NEWTON, IL US","    0",",,7,2400","    0",",,7,2400","    0",",,7,2400","  317",",,7","  228",",,7","  244",",,7,2400",,,,,,,,,,,,,,
"USC00116157","2018-08-27","38.9916","-88.1828","161.8","NEWTON, IL US","    0",",,7,2400","    0",",,7,2400","    0",",,7,2400","  317",",,7","  228",",,7","  250",",,7,2400",,,,,,,,,,,,,,
"USC00116157","2018-08-28","38.9916","-88.1828","161.8","NEWTON, IL US","    0",",,7,2400","    0",",,7,2400","    0",",,7,2400","  322",",,7","  222",",,7","  256",",,7,2400",,,,,,,,,,,,,,
"USC00116157","2018-08-29","38.9916","-88.1828","161.8","NEWTON, IL US","   48",",,7,2400","    0",",,7,2400","    0",",,7,2400","  267",",,7","  206",",,7","  206",",,7,2400",,,,,,,,,,,,,,
"USC00116157","2018-08-30","38.9916","-88.1828","161.8","NEWTON, IL US","    0",",,7,2400","    0",",,7,2400","    0",",,7,2400","  267",",,7","  194",",,7","  200",",,7,2400",,,,,,,,,,,,,,
"USC00116157","2018-08-31","38.9916","-88.1828","161.8","NEWTON, IL US","   20",",,7,2400","    0",",,7,2400","    0",",,7,2400","  300",",,7","  183",",,7","  228",",,7,2400",,,,,"    1",",,7",,,,,,,,
"USC00116157","2018-09-01","38.9916","-88.1828","161.8","NEWTON, IL US","    0",",,7,2400","    0",",,7,2400","    0",",,7,2400","  306",",,7","  211",",,7","  228",",,7,2400",,,,,,,,,,,,,,
"USC00116157","2018-09-02","38.9916","-88.1828","161.8","NEWTON, IL US","    0",",,7,2400","    0",",,7,2400","    0",",,7,2400","  317",",,7","  211",",,7","  239",",,7,2400",,,,,,,,,,,,,,
"USC00116157","2018-09-03","38.9916","-88.1828","161.8","NEWTON, IL US","    0",",,7,2400","    0",",,7,2400","    0",",,7,2400","  328",",,7","  222",",,7","  250",",,7,2400",,,,,,,,,,,,,,
"USC00116157","2018-09-04","38.9916","-88.1828","161.8","NEWTON, IL US","    0",",,7,2400","    0",",,7,2400","    0",",,7,2400","  328",",,7","  217",",,7","  239",",,7,2400",,,,,,,,,,,,,,
"USC00116157","2018-09-05","38.9916","-88.1828","161.8","NEWTON, IL US","    0",",,7,2400","    0",",,7,2400","    0",",,7,2400","  328",",,7","  217",",,7","  239",",,7,2400",,,,,,,,,,,,,,
"USC00116157","2018-09-06","38.9916","-88.1828","161.8","NEWTON, IL US","    0",",,7,2400","    0",",,7,2400","    0",",,7,2400","  306",",,7","  211",",,7","  222",",,7,2400",,,,,,,,,,,,,,
"USC00116157","2018-09-07","38.9916","-88.1828","161.8","NEWTON, IL US","   64",",,7,2400","    0",",,7,2400","    0",",,7,2400","  278",",,7","  200",",,7","  200",",,7,2400",,,,,,,,,,,,,,
"USC00116157","2018-09-08","38.9916","-88.1828","161.8","NEWTON, IL US"," 1133",",,7,2400","    0",",,7,2400","    0",",,7,2400","  200",",,7","  161",",,7","  161",",,7,2400",,,,,,,,,,,,,,
"USC00116157","2018-09-09","38.9916","-88.1828","161.8","NEWTON, IL US","   25",",,7,2400","    0",",,7,2400","    0",",,7,2400","  167",",,7","  156",",,7","  161",",,7,2400",,,,,,,,,,,,,,
"USC00116157","2018-09-10","38.9916","-88.1828","161.8","NEWTON, IL US","    0",",,7,2400","    0",",,7,2400","    0",",,7,2400","  244",",,7","  150",",,7","  172",",,7,2400",,,,,,,,,,,,,,
"USC00116157","2018-09-11","38.9916","-88.1828","161.8","NEWTON, IL US","    0",",,7,2400","    0",",,7,2400","    0",",,7,2400","  256",",,7","  144",",,7","  167",",,7,2400",,,,,,,,,,,,,,
"USC00116157","2018-09-12","38.9916","-88.1828","161.8","NEWTON, IL US","    0",",,7,2400","    0",",,7,2400","    0",",,7,2400","  250",",,7","  139",",,7","  172",",,7,2400",,,,,,,,,,,,,,
"USC00116157","2018-09-13","38.9916","-88.1828","161.8","NEWTON, IL US","    0",",,7,2400","    0",",,7,2400","    0",",,7,2400","  267",",,7","  156",",,7","  189",",,7,2400",,,,,,,,,,,,,,
"USC00116157","2018-09-14","38.9916","-88.1828","161.8","NEWTON, IL US","    0",",,7,2400","    0",",,7,2400","    0",",,7,2400","  306",",,7","  172",",,7","  206",",,7,2400",,,,,,,,,,,,,,
"USC00116157","2018-09-15","38.9916","-88.1828","161.8","NEWTON, IL US","    0",",,7,2400","    0",",,7,2400","    0",",,7,2400","  300",",,7","  183",",,7","  211",",,7,2400",,,,,,,,,,,,,,
"USC00116157","2018-09-16","38.9916","-88.1828","161.8","NEWTON, IL US","    0",",,7,2400","    0",",,7,2400","    0",",,7,2400","  300",",,7","  200",",,7","  217",",,7,2400",,,,,,,,,,,,,,
"USC00116157","2018-09-17","38.9916","-88.1828","161.8","NEWTON, IL US","    0",",,7,2400","    0",",,7,2400","    0",",,7,2400","  311",",,7","  194",",,7","  228",",,7,2400",,,,,,,,,,,,,,
"USC00116157","2018-09-18","38.9916","-88.1828","161.8","NEWTON, IL US","    0",",,7,2400","    0",",,7,2400","    0",",,7,2400","  328",",,7","  200",",,7","  222",",,7,2400",,,,,,,,,,,,,,
"USC00116157","2018-09-19","38.9916","-88.1828","161.8","NEWTON, IL US","    0",",,7,2400","    0",",,7,2400","    0",",,7,2400","  328",",,7","  206",",,7","  222",",,7,2400",,,,,,,,,,,,,,
"USC00116157","2018-09-20","38.9916","-88.1828","161.8","NEWTON, IL US","    0",",,7,2400","    0",",,7,2400","    0",",,7,2400","  339",",,7","  211",",,7","  244",",,7,2400",,,,,,,,,,,,,,
"USC00116157","2018-09-21","38.9916","-88.1828","161.8","NEWTON, IL US","   18",",,7,2400","    0",",,7,2400","    0",",,7,2400","  283",",,7","  178",",,7","  178",",,7,2400",,,,,,,,,,,,,,
"USC00116157","2018-09-22","38.9916","-88.1828","161.8","NEWTON, IL US","    0",",,7,2400","    0",",,7,2400","    0",",,7,2400","  178",",,7","  139",",,7","  139",",,7,2400",,,,,,,,,,,,,,
"USC00116157","2018-09-23","38.9916","-88.1828","161.8","NEWTON, IL US","    0",",,7,2400","    0",",,7,2400","    0",",,7,2400","  267",",,7","  133",",,7","  194",",,7,2400",,,,,,,,,,,,,,
