"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","DASF","DASF_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","MDSF","MDSF_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT11","WT11_ATTRIBUTES"
"USC00101018","2018-05-31","43.5253","-116.0542","865.6","BOISE LUCKY PEAK DAM, ID US",,,"    0",",,7","    0",",,7","  261",",,7","  122",",,7","    2",",,7",,,"    0",",,7",,,,,,,,,,,,,,
"USC00101018","2018-06-01","43.5253","-116.0542","865.6","BOISE LUCKY PEAK DAM, ID US","    0",",,7,0800","    0",",,7","    0",",,7","  217",",,7","   56",",,7",,,,,,,,,,,,,,,,,,,,
"USC00101018","2018-06-02","43.5253","-116.0542","865.6","BOISE LUCKY PEAK DAM, ID US","    0",",,7,0800","    0",",,7","    0",",,7","  211",",,7","   94",",,7",,,,,,,,,,,,,,,,,,,,
"USC00101018","2018-06-03","43.5253","-116.0542","865.6","BOISE LUCKY PEAK DAM, ID US","    0",",,7,0800","    0",",,7","    0",",,7","  294",",,7","  128",",,7",,,,,,,,,,,,,,,,,,,,
"USC00101018","2018-06-04","43.5253","-116.0542","865.6","BOISE LUCKY PEAK DAM, ID US","    0",",,7,0800","    0",",,7","    0",",,7","  333",",,7","  150",",,7",,,,,,,,,"  150",",,7,0800",,,,,,,,,,
"USC00101018","2018-06-05","43.5253","-116.0542","865.6","BOISE LUCKY PEAK DAM, ID US",,,"    0",",,7","    0",",,7","  306",",,7","   94",",,7",,,,,,,,,,,,,,,,,,,,
"USC00101018","2018-06-06","43.5253","-116.0542","865.6","BOISE LUCKY PEAK DAM, ID US",,,"    0",",,7","    0",",,7","  278",",,7","  133",",,7",,,,,,,,,,,,,,,,,,,,
"USC00101018","2018-06-07","43.5253","-116.0542","865.6","BOISE LUCKY PEAK DAM, ID US",,,"    0",",,7","    0",",,7","  317",",,7","  172",",,7","    3",",,7",,,"    0",",,7",,,,,,,,,,,,,,
"USC00101018","2018-06-08","43.5253","-116.0542","865.6","BOISE LUCKY PEAK DAM, ID US",,,"    0",",,7","    0",",,7","  306",",,7","  133",",,7",,,,,,,,,,,,,,,,,,,,
"USC00101018","2018-06-09","43.5253","-116.0542","865.6","BOISE LUCKY PEAK DAM, ID US",,,"    0",",,7","    0",",,7","  322",",,7","  128",",,7",,,,,,,,,,,,,,,,,,,,
"USC00101018","2018-06-10","43.5253","-116.0542","865.6","BOISE LUCKY PEAK DAM, ID US",,,"    0",",,7","    0",",,7","  261",",,7","   61",",,7",,,,,,,,,,,,,,,,,,,,
"USC00101018","2018-06-11","43.5253","-116.0542","865.6","BOISE LUCKY PEAK DAM, ID US",,,"    0",",,7","    0",",,7","  189",",,7","   83",",,7","    4",",,7",,,"   46",",,7",,,,,,,,,,,,,,
"USC00101018","2018-06-12","43.5253","-116.0542","865.6","BOISE LUCKY PEAK DAM, ID US",,,"    0",",,7","    0",",,7","  211",",,7","   72",",,7",,,,,,,,,,,,,,,,,,,,
"USC00101018","2018-06-13","43.5253","-116.0542","865.6","BOISE LUCKY PEAK DAM, ID US",,,"    0",",,7","    0",",,7","  300",",,7","  128",",,7",,,,,,,,,,,,,,,,,,,,
"USC00101018","2018-06-14","43.5253","-116.0542","865.6","BOISE LUCKY PEAK DAM, ID US",,,"    0",",,7","    0",",,7","  328",",,7","  117",",,7",,,,,,,,,,,,,,,,,,,,
"USC00101018","2018-06-15","43.5253","-116.0542","865.6","BOISE LUCKY PEAK DAM, ID US",,,"    0",",,7","    0",",,7","  233",",,7","  128",",,7",,,,,,,,,,,,,,,,,,,,
"USC00101018","2018-06-16","43.5253","-116.0542","865.6","BOISE LUCKY PEAK DAM, ID US",,,"    0",",,7","    0",",,7","  256",",,7","  100",",,7",,,,,,,,,,,,,,,,,,,,
"USC00101018","2018-06-17","43.5253","-116.0542","865.6","BOISE LUCKY PEAK DAM, ID US",,,"    0",",,7","    0",",,7","  250",",,7","  111",",,7",,,,,,,,,,,,,,,,,,,,
"USC00101018","2018-06-18","43.5253","-116.0542","865.6","BOISE LUCKY PEAK DAM, ID US",,,"    0",",,7","    0",",,7","  256",",,7","  111",",,7","    5",",,7",,,"   43",",,7",,,"  111",",,7,0800",,,,,,,,,,
"USC00101018","2018-06-19","43.5253","-116.0542","865.6","BOISE LUCKY PEAK DAM, ID US","    8",",,7,0800","    0",",,7","    0",",,7","  222",",,7","  111",",,7",,,,,,,,,,,,,,,,,,,,
"USC00101018","2018-06-20","43.5253","-116.0542","865.6","BOISE LUCKY PEAK DAM, ID US",,,"    0",",,7","    0",",,7","  261",",,7","  139",",,7",,,,,,,,,,,,,,,,,,,,
"USC00101018","2018-06-21","43.5253","-116.0542","865.6","BOISE LUCKY PEAK DAM, ID US","    0",",,7,0800","    0",",,7","    0",",,7","  317",",,7","  128",",,7",,,,,,,,,"  128",",,7,0800",,,,,,,,,,
"USC00101018","2018-06-22","43.5253","-116.0542","865.6","BOISE LUCKY PEAK DAM, ID US",,,"    0",",,7","    0",",,7","  283",",,7","  128",",,7",,,,,,,,,,,,,,,,,,,,
"USC00101018","2018-06-23","43.5253","-116.0542","865.6","BOISE LUCKY PEAK DAM, ID US",,,"    0",",,7","    0",",,7","  317",",,7","  106",",,7",,,,,,,,,,,,,,,,,,,,
"USC00101018","2018-06-24","43.5253","-116.0542","865.6","BOISE LUCKY PEAK DAM, ID US",,,"    0",",,7","    0",",,7","  256",",,7","  106",",,7",,,,,,,,,,,,,,,,,,,,
"USC00101018","2018-06-25","43.5253","-116.0542","865.6","BOISE LUCKY PEAK DAM, ID US",,,"    0",",,7","    0",",,7","  317",",,7","  161",",,7","    4",",L,7",,,,,,,"  161",",,7,0800",,,,,,,,,,
"USC00101018","2018-06-26","43.5253","-116.0542","865.6","BOISE LUCKY PEAK DAM, ID US",,,"    0",",,7","    0",",,7","  339",",,7","  122",",,7",,,,,,,,,,,,,,,,,,,,
"USC00101018","2018-06-27","43.5253","-116.0542","865.6","BOISE LUCKY PEAK DAM, ID US",,,"    0",",,7","    0",",,7","  283",",,7","  133",",,7",,,,,,,,,,,,,,,,,,,,
"USC00101018","2018-06-28","43.5253","-116.0542","865.6","BOISE LUCKY PEAK DAM, ID US",,,"    0",",,7","    0",",,7","  339",",,7","  122",",,7","    3",",,7",,,"    0",",,7",,,"  122",",,7,0800",,,,,,,,,,
"USC00101018","2018-06-29","43.5253","-116.0542","865.6","BOISE LUCKY PEAK DAM, ID US","    0",",,7,0800","    0",",,7","    0",",,7","  261",",,7","   89",",,7",,,,,,,,,,,,,,,,,,,,
"USC00101018","2018-06-30","43.5253","-116.0542","865.6","BOISE LUCKY PEAK DAM, ID US","    0",",,7,0800","    0",",,7","    0",",,7","  256",",,7","  100",",,7",,,,,,,,,,,,,,,,,,,,
"USC00101018","2018-07-01","43.5253","-116.0542","865.6","BOISE LUCKY PEAK DAM, ID US",,,"    0",",,7","    0",",,7","  278",",,7","  128",",,7",,,,,,,,,,,,,,,,,,,,
"USC00101018","2018-07-02","43.5253","-116.0542","865.6","BOISE LUCKY PEAK DAM, ID US",,,"    0",",,7","    0",",,7","  294",",,7","  111",",,7",,,,,,,,,,,,,,,,,,,,
"USC00101018","2018-07-03","43.5253","-116.0542","865.6","BOISE LUCKY PEAK DAM, ID US",,,"    0",",,7","    0",",,7","  272",",,7","   72",",,7",,,,,,,,,,,,,,,,,,,,
"USC00101018","2018-07-04","43.5253","-116.0542","865.6","BOISE LUCKY PEAK DAM, ID US",,,"    0",",,7","    0",",,7","  239",",,7","  117",",,7",,,,,,,,,,,,,,,,,,,,
"USC00101018","2018-07-05","43.5253","-116.0542","865.6","BOISE LUCKY PEAK DAM, ID US",,,"    0",",,7","    0",",,7","  356",",,7","  161",",,7",,,,,,,,,,,,,,,,,,,,
"USC00101018","2018-07-06","43.5253","-116.0542","865.6","BOISE LUCKY PEAK DAM, ID US",,,"    0",",,7","    0",",,7","  394",",,7","  172",",,7",,,,,,,,,,,,,,,,,,,,
"USC00101018","2018-07-07","43.5253","-116.0542","865.6","BOISE LUCKY PEAK DAM, ID US",,,"    0",",,7","    0",",,7","  333",",,7","  194",",,7",,,,,,,,,,,,,,,,,,,,
"USC00101018","2018-07-08","43.5253","-116.0542","865.6","BOISE LUCKY PEAK DAM, ID US",,,"    0",",,7","    0",",,7","  361",",,7","  167",",,7",,,,,,,,,,,,,,,,,,,,
"USC00101018","2018-07-09","43.5253","-116.0542","865.6","BOISE LUCKY PEAK DAM, ID US",,,"    0",",,7","    0",",,7","  361",",,7","  183",",,7","    9",",L,7",,,,,,,,,,,,,,,,,,
"USC00101018","2018-07-10","43.5253","-116.0542","865.6","BOISE LUCKY PEAK DAM, ID US",,,"    0",",,7","    0",",,7","  372",",,7","  144",",,7",,,,,,,,,,,,,,,,,,,,
"USC00101018","2018-07-11","43.5253","-116.0542","865.6","BOISE LUCKY PEAK DAM, ID US",,,"    0",",,7","    0",",,7","  311",",,7","  122",",,7",,,,,,,,,,,,,,,,,,,,
"USC00101018","2018-07-12","43.5253","-116.0542","865.6","BOISE LUCKY PEAK DAM, ID US",,,"    0",",,7","    0",",,7","  317",",,7","  133",",,7",,,,,,,,,,,,,,,,,,,,
"USC00101018","2018-07-13","43.5253","-116.0542","865.6","BOISE LUCKY PEAK DAM, ID US",,,"    0",",,7","    0",",,7","  322",",,7","  178",",,7",,,,,,,,,,,,,,,,,,,,
"USC00101018","2018-07-14","43.5253","-116.0542","865.6","BOISE LUCKY PEAK DAM, ID US",,,"    0",",,7","    0",",,7","  361",",,7","  183",",,7",,,,,,,,,,,,,,,,,,,,
