"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","DASF","DASF_ATTRIBUTES","EVAP","EVAP_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","MDSF","MDSF_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT11","WT11_ATTRIBUTES","WT14","WT14_ATTRIBUTES"
"USC00425815","2018-06-30","40.56173","-110.49252","2476.5","MOON LAKE, UT US",,,,,,,"  222",",,H","   72",",,H",,,,,,,,,,,"   89",",,H,VAR",,,,,,,,,,
"USC00425815","2018-07-01","40.56173","-110.49252","2476.5","MOON LAKE, UT US",,,,,,,"  211",",,H","   50",",,H",,,,,,,,,,,"   67",",,H,VAR",,,,,,,,,,
"USC00425815","2018-07-02","40.56173","-110.49252","2476.5","MOON LAKE, UT US",,,,,,,"  250",",,H","   44",",,H",,,,,,,,,,,"   94",",,H,VAR",,,,,,,,,,
"USC00425815","2018-07-03","40.56173","-110.49252","2476.5","MOON LAKE, UT US",,,,,,,"  267",",,H","   67",",,H",,,,,,,,,,,"   94",",,H,VAR",,,,,,,,,,
"USC00425815","2018-07-04","40.56173","-110.49252","2476.5","MOON LAKE, UT US",,,,,,,"  261",",,H","   78",",,H",,,,,,,,,,,"   78",",,H,VAR",,,,,,,,,,
"USC00425815","2018-07-05","40.56173","-110.49252","2476.5","MOON LAKE, UT US",,,,,,,"  261",",,H","   72",",,H",,,,,,,,,,,"  128",",,H,VAR",,,,,,,,,,
"USC00425815","2018-07-06","40.56173","-110.49252","2476.5","MOON LAKE, UT US",,,,,,,"  256",",,H","  100",",,H",,,,,,,,,,,"  106",",,H,VAR",,,,,,,,,,
"USC00425815","2018-07-07","40.56173","-110.49252","2476.5","MOON LAKE, UT US",,,,,,,"  294",",,H","  106",",,H",,,,,,,,,,,"  128",",,H,VAR",,,,,,,,,,
"USC00425815","2018-07-08","40.56173","-110.49252","2476.5","MOON LAKE, UT US",,,,,,,"  300",",,H","  117",",,H",,,,,,,,,,,"  144",",,H,VAR",,,,,,,,,,
"USC00425815","2018-07-09","40.56173","-110.49252","2476.5","MOON LAKE, UT US",,,,,,,"  289",",,H","  144",",,H",,,,,,,,,,,"  150",",,H,VAR",,,,,,,,,,
"USC00425815","2018-07-10","40.56173","-110.49252","2476.5","MOON LAKE, UT US",,,,,,,"  294",",,H","  122",",,H",,,,,,,,,,,"  128",",,H,VAR",,,,,,,,,,
"USC00425815","2018-07-11","40.56173","-110.49252","2476.5","MOON LAKE, UT US",,,,,,,"  306",",,H","  117",",,H",,,,,,,,,,,"  150",",,H,VAR",,,,,,,,,,
"USC00425815","2018-07-12","40.56173","-110.49252","2476.5","MOON LAKE, UT US",,,,,,,"  267",",,H","  111",",,H",,,,,,,,,,,"  111",",,H,VAR",,,,,,,,,,
