"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","DAWM","DAWM_ATTRIBUTES","EVAP","EVAP_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","MDWM","MDWM_ATTRIBUTES","MNPN","MNPN_ATTRIBUTES","MXPN","MXPN_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT08","WT08_ATTRIBUTES","WT11","WT11_ATTRIBUTES","WT16","WT16_ATTRIBUTES","WT18","WT18_ATTRIBUTES"
"USC00427064","2018-07-06","40.2458","-111.6508","1392.9","PROVO BYU, UT US","    0",",,7,1800","    0",",,7,1800","    0",",,7,1800","  400",",,7","  194",",,7",,,,,"   97",",,7,1800",,,,,"  194",",,7","  378",",,7","  378",",,7,1800",,,,,,,,,,,,,,,,
"USC00427064","2018-07-07","40.2458","-111.6508","1392.9","PROVO BYU, UT US","    0",",,7,1800","    0",",,7,1800","    0",",,7,1800","  389",",,7","  211",",,7",,,,,"   76",",,7,1800",,,,,"  217",",,7","  372",",,7","  344",",,7,1800",,,,,,,,,,,,,,,,
"USC00427064","2018-07-08","40.2458","-111.6508","1392.9","PROVO BYU, UT US","    0",",,7,1800","    0",",,7,1800","    0",",,7,1800","  394",",,7","  206",",,7",,,,,"  114",",,7,1800",,,,,"  211",",,7","  378",",,7","  344",",,7,1800",,,,,,,,,,,,,,,,
"USC00427064","2018-07-09","40.2458","-111.6508","1392.9","PROVO BYU, UT US","    8",",,7,1800","    0",",,7,1800","    0",",,7,1800","  383",",,7","  200",",,7",,,,,"   48",",,7,1800",,,,,"  211",",,7","  378",",,7","  361",",,7,1800",,,,,,,,,,,,,,,,
"USC00427064","2018-07-10","40.2458","-111.6508","1392.9","PROVO BYU, UT US","    0",",,7,1800","    0",",,7,1800","    0",",,7,1800","  383",",,7","  211",",,7",,,,,"   94",",,7,1800",,,,,"  217",",,7","  367",",,7","  378",",,7,1800",,,,,,,,,,,,,,,,
"USC00427064","2018-07-11","40.2458","-111.6508","1392.9","PROVO BYU, UT US","    0",",,7,1800","    0",",,7,1800","    0",",,7,1800","  383",",,7","  211",",,7",,,,,"   89",",,7,1800",,,,,"  217",",,7","  367",",,7","  317",",,7,1800",,,,,,,,,,,,,,,,
"USC00427064","2018-07-12","40.2458","-111.6508","1392.9","PROVO BYU, UT US","    0",",,7,1800","    0",",,7,1800","    0",",,7,1800","  361",",,7","  211",",,7",,,,,"   91",",,7,1800",,,,,"  217",",,7","  372",",,7","  339",",,7,1800",,,,,,,,,,,,,,,,
"USC00427064","2018-07-13","40.2458","-111.6508","1392.9","PROVO BYU, UT US","    0",",,7,1800","    0",",,7,1800","    0",",,7,1800","  372",",,7","  189",",,7",,,,,"   99",",,7,1800",,,,,,,,,"  344",",,7,1800",,,,,,,,,,,,,,,,
"USC00427064","2018-07-14","40.2458","-111.6508","1392.9","PROVO BYU, UT US","    0",",,7,1800","    0",",,7,1800","    0",",,7,1800","  344",",,7","  178",",,7",,,,,"   66",",,7,1800",,,,,"  228",",,7","  350",",,7","  289",",,7,1800",,,,,,,,,,,,,,,,
"USC00427064","2018-07-15","40.2458","-111.6508","1392.9","PROVO BYU, UT US","    0",",,7,1800","    0",",,7,1800","    0",",,7,1800","  367",",,7","  178",",,7",,,,,"   76",",,7,1800",,,,,"  200",",,7","  361",",,7","  367",",,7,1800",,,,,,,,,,,,,,,,
"USC00427064","2018-07-16","40.2458","-111.6508","1392.9","PROVO BYU, UT US","    0",",,7,1800","    0",",,7,1800","    0",",,7,1800","  372",",,7","  206",",,7",,,,,"   74",",,7,1800",,,,,"  206",",,7","  372",",,7","  367",",,7,1800",,,,,,,,,,,,,,,,
"USC00427064","2018-07-17","40.2458","-111.6508","1392.9","PROVO BYU, UT US","   28",",,7,1800","    0",",,7,1800","    0",",,7,1800","  367",",,7","  200",",,7",,,,,"   89",",,7,1800",,,,,"  211",",,7","  361",",,7","  350",",,7,1800",,,,,,,,,,,,,,,,
"USC00427064","2018-07-18","40.2458","-111.6508","1392.9","PROVO BYU, UT US","    0",",,7,1800","    0",",,7,1800","    0",",,7,1800","  372",",,7","  194",",,7",,,,,"  104",",,7,1800",,,,,"  206",",,7","  372",",,7","  367",",,7,1800",,,,,,,,,,,,,,,,
"USC00427064","2018-07-19","40.2458","-111.6508","1392.9","PROVO BYU, UT US","    0",",,7,1800","    0",",,7,1800","    0",",,7,1800","  383",",,7","  200",",,7",,,,,"   86",",,7,1800",,,,,"  211",",,7","  367",",,7","  344",",,7,1800",,,,,,,,,,,,,,,,
"USC00427064","2018-07-20","40.2458","-111.6508","1392.9","PROVO BYU, UT US","    0",",,7,1800","    0",",,7,1800","    0",",,7,1800","  361",",,7","  211",",,7",,,,,"   61",",,7,1800",,,,,"  211",",,7","  344",",,7","  339",",,7,1800",,,,,,,,,,,,,,,,
"USC00427064","2018-07-21","40.2458","-111.6508","1392.9","PROVO BYU, UT US","    0",",,7,1800","    0",",,7,1800","    0",",,7,1800","  389",",,7","  211",",,7",,,,,"   81",",,7,1800",,,,,"  217",",,7","  372",",,7","  350",",,7,1800",,,,,,,,,,,,,,,,
"USC00427064","2018-07-22","40.2458","-111.6508","1392.9","PROVO BYU, UT US","   71",",,7,1800","    0",",,7,1800","    0",",,7,1800","  350",",,7","  200",",,7",,,,,"   71",",,7,1800",,,,,"  217",",,7","  356",",,7","  311",",,7,1800",,,,,,,,,,,,,,,,
"USC00427064","2018-07-23","40.2458","-111.6508","1392.9","PROVO BYU, UT US","    0",",,7,1800","    0",",,7,1800","    0",",,7,1800","  361",",,7","  194",",,7",,,,,"   86",",,7,1800",,,,,"  211",",,7","  367",",,7","  356",",,7,1800",,,,,,,,,,,,,,,,
"USC00427064","2018-07-24","40.2458","-111.6508","1392.9","PROVO BYU, UT US","    0",",,7,1800","    0",",,7,1800","    0",",,7,1800","  383",",,7","  189",",,7",,,,,"   74",",,7,1800",,,,,"  206",",,7","  367",",,7","  372",",,7,1800",,,,,,,,,,,,,,,,
"USC00427064","2018-07-25","40.2458","-111.6508","1392.9","PROVO BYU, UT US","    0",",,7,1800","    0",",,7,1800","    0",",,7,1800","  378",",,7","  217",",,7",,,,,"   91",",,7,1800",,,,,"  222",",,7","  356",",,7","  367",",,7,1800",,,,,,,,,,,,,,,,
"USC00427064","2018-07-26","40.2458","-111.6508","1392.9","PROVO BYU, UT US","    0",",,7,1800","    0",",,7,1800","    0",",,7,1800","  372",",,7","  200",",,7",,,,,"   89",",,7,1800",,,,,"  211",",,7","  356",",,7","  339",",,7,1800",,,,,,,,,,,,,,,,
"USC00427064","2018-07-27","40.2458","-111.6508","1392.9","PROVO BYU, UT US","    0",",,7,1800","    0",",,7,1800","    0",",,7,1800","  383",",,7","  194",",,7",,,,,"   76",",,7,1800",,,,,"  339",",G,7","  350",",,7","  361",",,7,1800",,,,,,,,,,,,,,,,
