"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","SN32","SN32_ATTRIBUTES","SX32","SX32_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT07","WT07_ATTRIBUTES","WT08","WT08_ATTRIBUTES","WT10","WT10_ATTRIBUTES","WT11","WT11_ATTRIBUTES","WT14","WT14_ATTRIBUTES"
"USC00419952","2018-06-10","29.2738","-97.1555","89.9","YOAKUM, TX US","    0",",,7,0900","    0",",,7","    0",",,7","  350",",,7","  256",",,7",,,,,"  261",",,7,0900",,,,,,,,,,,,,,,,,,,,,,,,
"USC00419952","2018-06-11","29.2738","-97.1555","89.9","YOAKUM, TX US","    0",",,7,0900","    0",",,7","    0",",,7","  361",",,7","  261",",,7",,,,,"  272",",,7,0900",,,,,,,,,,,,,,,,,,,,,,,,
"USC00419952","2018-06-12","29.2738","-97.1555","89.9","YOAKUM, TX US","    0",",,7,0900","    0",",,7","    0",",,7","  356",",,7","  267",",,7",,,,,"  272",",,7,0900",,,,,,,,,,,,,,,,,,,,,,,,
"USC00419952","2018-06-13","29.2738","-97.1555","89.9","YOAKUM, TX US","    0",",,7,0900","    0",",,7","    0",",,7","  356",",,7","  256",",,7",,,,,"  261",",,7,0900",,,,,,,,,,,,,,,,,,,,,,,,
"USC00419952","2018-06-14","29.2738","-97.1555","89.9","YOAKUM, TX US","    0",",,7,0900","    0",",,7","    0",",,7","  361",",,7","  250",",,7",,,,,"  272",",,7,0900",,,,,,,,,,,,,,,,,,,,,,,,
"USC00419952","2018-06-15","29.2738","-97.1555","89.9","YOAKUM, TX US","    0",",,7,0900","    0",",,7","    0",",,7","  350",",,7","  250",",,7",,,,,"  267",",,7,0900",,,,,,,,,,,,,,,,,,,,,,,,
"USC00419952","2018-06-16","29.2738","-97.1555","89.9","YOAKUM, TX US","    0",",,7,0900","    0",",,7","    0",",,7","  350",",,7","  228",",,7",,,,,"  250",",,7,0900",,,,,,,,,,,,,,,,,,,,,,,,
"USC00419952","2018-06-17","29.2738","-97.1555","89.9","YOAKUM, TX US","    0",",,7,0900","    0",",,7","    0",",,7","  350",",,7","  222",",,7",,,,,"  256",",,7,0900",,,,,,,,,,,,,,,,,,,,,,,,
"USC00419952","2018-06-18","29.2738","-97.1555","89.9","YOAKUM, TX US","  239",",,7,0900","    0",",,7","    0",",,7","  350",",,7","  244",",,7",,,,,"  250",",,7,0900",,,,,,,,,,,,,,,,,,,,,,,,
"USC00419952","2018-06-19","29.2738","-97.1555","89.9","YOAKUM, TX US","  254",",,7,0900","    0",",,7","    0",",,7","  317",",,7","  233",",,7",,,,,"  233",",,7,0900",,,,,,,,,,,,,,,,,,,,,,,,
