"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","DASF","DASF_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","MDSF","MDSF_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WESD","WESD_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT11","WT11_ATTRIBUTES"
"USC00324879","2018-05-21","48.9797","-100.3344","652.9","LAKE METIGOSHE STATE PARK, ND US","    0",",,7,0800","    0",",,7,",,,"  233",",,7","   50",",,7",,,,,,,,,"  122",",,7,0800",,,,,,,,,,,,,,
"USC00324879","2018-05-22","48.9797","-100.3344","652.9","LAKE METIGOSHE STATE PARK, ND US","    0",",,7,0800","    0",",,7,",,,"  250",",,7","   94",",,7",,,,,,,,,"  144",",,7,0800",,,,,,,,,,,,,,
"USC00324879","2018-05-23","48.9797","-100.3344","652.9","LAKE METIGOSHE STATE PARK, ND US","    0",",,7,0800","    0",",,7,",,,"  283",",,7","  106",",,7",,,,,,,,,"  156",",,7,0800",,,,,,,,,,,,,,
"USC00324879","2018-05-24","48.9797","-100.3344","652.9","LAKE METIGOSHE STATE PARK, ND US","    5",",,7,0800","    0",",,7,",,,"  267",",,7","  156",",,7",,,,,,,,,"  167",",,7,0800",,,,,,,,,,,,,,
"USC00324879","2018-05-25","48.9797","-100.3344","652.9","LAKE METIGOSHE STATE PARK, ND US","   18",",,7,0800","    0",",,7,",,,"  294",",,7","  122",",,7",,,,,,,,,"  156",",,7,0800",,,,,,,,,,,,,,
"USC00324879","2018-05-26","48.9797","-100.3344","652.9","LAKE METIGOSHE STATE PARK, ND US",,,,,,,"  294",",,7","  128",",,7",,,,,,,,,,,,,,,,,,,,,,,,
"USC00324879","2018-05-27","48.9797","-100.3344","652.9","LAKE METIGOSHE STATE PARK, ND US",,,,,,,"  306",",,7","  150",",,7",,,,,,,,,,,,,,,,,,,,,,,,
"USC00324879","2018-05-28","48.9797","-100.3344","652.9","LAKE METIGOSHE STATE PARK, ND US",,,,,,,"  267",",,7","  117",",,7",,,,,,,,,,,,,,,,,,,,,,,,
"USC00324879","2018-05-29","48.9797","-100.3344","652.9","LAKE METIGOSHE STATE PARK, ND US",,,"    0",",,7,",,,"  250",",,7","  122",",,7","    4",",,7",,,"   58",",,7",,,,,,,,,,,,,,,,,,
"USC00324879","2018-05-30","48.9797","-100.3344","652.9","LAKE METIGOSHE STATE PARK, ND US","    3",",,7,0800","    0",",,7,",,,"  244",",,7","  139",",,7",,,,,,,,,"  150",",,7,0800",,,,,,,,,,,,,,
"USC00324879","2018-05-31","48.9797","-100.3344","652.9","LAKE METIGOSHE STATE PARK, ND US","   15",",,7,0800","    0",",,7,",,,"  183",",,7","  106",",,7",,,,,,,,,"  144",",,7,0800",,,,,,,,,,,,,,
"USC00324879","2018-06-01","48.9797","-100.3344","652.9","LAKE METIGOSHE STATE PARK, ND US","   13",",,7,0800",,,,,"  250",",,7","  144",",,7",,,,,,,,,"  144",",,7,0800",,,,,,,,,,,,,,
"USC00324879","2018-06-02","48.9797","-100.3344","652.9","LAKE METIGOSHE STATE PARK, ND US",,,,,,,"  183",",,7","  106",",,7",,,,,,,,,,,,,,,,,,,,,,,,
"USC00324879","2018-06-03","48.9797","-100.3344","652.9","LAKE METIGOSHE STATE PARK, ND US",,,,,,,"  117",",,7","   67",",,7",,,,,,,,,,,,,,,,,,,,,,,,
"USC00324879","2018-06-04","48.9797","-100.3344","652.9","LAKE METIGOSHE STATE PARK, ND US",,,,,,,"  217",",,7","   72",",,7","    3",",,7",,,"  254",",,7",,,"  117",",,7,0800",,,,,,,,,,,,,,
"USC00324879","2018-06-05","48.9797","-100.3344","652.9","LAKE METIGOSHE STATE PARK, ND US","  150",",,7,0800",,,,,"  233",",,7","  106",",,7",,,,,,,,,"  128",",,7,0800",,,,,,,,,,,,,,
"USC00324879","2018-06-06","48.9797","-100.3344","652.9","LAKE METIGOSHE STATE PARK, ND US","    0",",,7,0800",,,,,"  250",",,7","   89",",,7",,,,,,,,,"  122",",,7,0800",,,,,,,,,,,,,,
"USC00324879","2018-06-07","48.9797","-100.3344","652.9","LAKE METIGOSHE STATE PARK, ND US","    0",",,7,0800",,,,,"  233",",,7","  122",",,7",,,,,,,,,"  156",",,7,0800",,,,,,,,,,,,,,
