"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES"
"USC00087261","2018-04-28","29.0361","-80.918","4.9","NEW SMYRNA BEACH MARINE DISCOVERY CENTER, FL US","    0",",,7,0900",,,,,"  294",",,7","  161",",,7",,,,,"  211",",,7,0900"
"USC00087261","2018-04-29","29.0361","-80.918","4.9","NEW SMYRNA BEACH MARINE DISCOVERY CENTER, FL US","    0",",,7,0900",,,,,"  250",",,7","  167",",,7",,,,,"  200",",,7,0900"
"USC00087261","2018-04-30","29.0361","-80.918","4.9","NEW SMYRNA BEACH MARINE DISCOVERY CENTER, FL US","    0",",,7,0900",,,,,"  261",",,7","  167",",,7",,,,,"  239",",,7,0900"
"USC00087261","2018-05-01","29.0361","-80.918","4.9","NEW SMYRNA BEACH MARINE DISCOVERY CENTER, FL US",,,,,,,"  256",",,7","  200",",,7",,,,,,
"USC00087261","2018-05-02","29.0361","-80.918","4.9","NEW SMYRNA BEACH MARINE DISCOVERY CENTER, FL US",,,,,,,"  261",",,7","  217",",,7",,,,,,
"USC00087261","2018-05-03","29.0361","-80.918","4.9","NEW SMYRNA BEACH MARINE DISCOVERY CENTER, FL US",,,,,,,"  267",",,7","  222",",,7",,,,,,
"USC00087261","2018-05-04","29.0361","-80.918","4.9","NEW SMYRNA BEACH MARINE DISCOVERY CENTER, FL US",,,,,,,"  267",",,7","  200",",,7","    2",",,7","    0",",,7","  250",",,7,0900"
"USC00087261","2018-05-05","29.0361","-80.918","4.9","NEW SMYRNA BEACH MARINE DISCOVERY CENTER, FL US","    0",",,7,0900",,,,,"  272",",,7","  222",",,7",,,,,"  239",",,7,0900"
"USC00087261","2018-05-06","29.0361","-80.918","4.9","NEW SMYRNA BEACH MARINE DISCOVERY CENTER, FL US",,,,,,,"  239",",,7","  194",",,7",,,,,,
"USC00087261","2018-05-07","29.0361","-80.918","4.9","NEW SMYRNA BEACH MARINE DISCOVERY CENTER, FL US",,,,,,,"  272",",,7","  194",",,7","    2",",,7","  178",",,7","  239",",,7,0900"
"USC00087261","2018-05-08","29.0361","-80.918","4.9","NEW SMYRNA BEACH MARINE DISCOVERY CENTER, FL US","    0",",,7,0900",,,,,"  267",",,7","  178",",,7",,,,,"  239",",,7,0900"
"USC00087261","2018-05-09","29.0361","-80.918","4.9","NEW SMYRNA BEACH MARINE DISCOVERY CENTER, FL US","    0",",,7,0900",,,,,"  261",",,7","  178",",,7",,,,,"  250",",,7,0900"
"USC00087261","2018-05-10","29.0361","-80.918","4.9","NEW SMYRNA BEACH MARINE DISCOVERY CENTER, FL US",,,,,,,"  267",",,7","  183",",,7",,,,,,
"USC00087261","2018-05-11","29.0361","-80.918","4.9","NEW SMYRNA BEACH MARINE DISCOVERY CENTER, FL US",,,,,,,"  267",",,7","  194",",,7",,,,,,
"USC00087261","2018-05-12","29.0361","-80.918","4.9","NEW SMYRNA BEACH MARINE DISCOVERY CENTER, FL US",,,,,,,"  306",",,7","  211",",,7","    3",",,7","    0",",,7","  239",",,7,0900"
"USC00087261","2018-05-13","29.0361","-80.918","4.9","NEW SMYRNA BEACH MARINE DISCOVERY CENTER, FL US",,,,,,,"  267",",,7","  217",",,7",,,,,,
"USC00087261","2018-05-14","29.0361","-80.918","4.9","NEW SMYRNA BEACH MARINE DISCOVERY CENTER, FL US",,,,,,,"  278",",,7","  211",",,7","    2",",,7","  185",",,7","  222",",,7,0900"
