"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WESD","WESD_ATTRIBUTES"
"USC00206013","2018-07-07","42.8933","-85.54472","236.2","NWSFO GRAND RAPIDS, MI US","    0",",,7,2400","    0",",,7,2400","    0",",,7,2400","  278",",,7","  167",",,7","  172",",,7,2400",,
"USC00206013","2018-07-08","42.8933","-85.54472","236.2","NWSFO GRAND RAPIDS, MI US","    0",",,7,2400","    0",",,7,2400","    0",",,7,2400","  300",",,7","  133",",,7","  194",",,7,2400",,
"USC00206013","2018-07-09","42.8933","-85.54472","236.2","NWSFO GRAND RAPIDS, MI US","    0",",,7,2400","    0",",,7,2400","    0",",,7,2400","  300",",,7","  167",",,7","  233",",,7,2400",,
"USC00206013","2018-07-10","42.8933","-85.54472","236.2","NWSFO GRAND RAPIDS, MI US","    0",",,7,2400","    0",",,7,2400","    0",",,7,2400","  311",",,7","  217",",,7","  222",",,7,2400",,
"USC00206013","2018-07-11","42.8933","-85.54472","236.2","NWSFO GRAND RAPIDS, MI US","    0",",,7,2400","    0",",,7,2400","    0",",,7,2400","  289",",,7","  172",",,7","  200",",,7,2400",,
"USC00206013","2018-07-12","42.8933","-85.54472","236.2","NWSFO GRAND RAPIDS, MI US","    0",",,7,2400","    0",",,7,2400","    0",",,7,2400","  294",",,7","  161",",,7","  233",",,7,2400",,
"USC00206013","2018-07-13","42.8933","-85.54472","236.2","NWSFO GRAND RAPIDS, MI US","    0",",,7,2400","    0",",,7,2400","    0",",,7,2400","  317",",,7","  161",",,7","  233",",,7,2400",,
"USC00206013","2018-07-14","42.8933","-85.54472","236.2","NWSFO GRAND RAPIDS, MI US","    0","T,,7,2400","    0",",,7,2400","    0",",,7,2400","  267",",,7","  161",",,7","  211",",,7,2400",,
"USC00206013","2018-07-15","42.8933","-85.54472","236.2","NWSFO GRAND RAPIDS, MI US","   81",",,7,2400","    0",",,7,2400","    0",",,7,2400","  311",",,7","  183",",,7","  228",",,7,2400",,
"USC00206013","2018-07-16","42.8933","-85.54472","236.2","NWSFO GRAND RAPIDS, MI US","    0",",,7,2400","    0",",,7,2400","    0",",,7,2400","  317",",,7","  200",",,7","  200",",,7,2400",,
"USC00206013","2018-07-17","42.8933","-85.54472","236.2","NWSFO GRAND RAPIDS, MI US","    0",",,7,2400","    0",",,7,2400","    0",",,7,2400","  272",",,7","  167",",,7","  172",",,7,2400",,
"USC00206013","2018-07-18","42.8933","-85.54472","236.2","NWSFO GRAND RAPIDS, MI US","    0",",,7,2400","    0",",,7,2400","    0",",,7,2400","  261",",,7","  133",",,7","  189",",,7,2400",,
"USC00206013","2018-07-19","42.8933","-85.54472","236.2","NWSFO GRAND RAPIDS, MI US","    0",",,7,2400","    0",",,7,2400","    0",",,7,2400","  294",",,7","  144",",,7","  217",",,7,2400",,
"USC00206013","2018-07-20","42.8933","-85.54472","236.2","NWSFO GRAND RAPIDS, MI US","  163",",,7,2400","    0",",,7,2400","    0",",,7,2400","  283",",,7","  189",",,7","  189",",,7,2400",,
"USC00206013","2018-07-21","42.8933","-85.54472","236.2","NWSFO GRAND RAPIDS, MI US","  191",",,7,2400","    0",",,7,2400","    0",",,7,2400","  244",",,7","  189",",,7","  200",",,7,2400",,
