"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","ACMH","ACMH_ATTRIBUTES","ACSH","ACSH_ATTRIBUTES","AWND","AWND_ATTRIBUTES","FMTM","FMTM_ATTRIBUTES","FRGT","FRGT_ATTRIBUTES","PGTM","PGTM_ATTRIBUTES","PSUN","PSUN_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDF1","WDF1_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WDFM","WDFM_ATTRIBUTES","WESD","WESD_ATTRIBUTES","WSF1","WSF1_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES","WSFM","WSFM_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT02","WT02_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT07","WT07_ATTRIBUTES","WT08","WT08_ATTRIBUTES","WT09","WT09_ATTRIBUTES","WT11","WT11_ATTRIBUTES","WT12","WT12_ATTRIBUTES","WT13","WT13_ATTRIBUTES","WT14","WT14_ATTRIBUTES","WT15","WT15_ATTRIBUTES","WT16","WT16_ATTRIBUTES","WT17","WT17_ATTRIBUTES","WT18","WT18_ATTRIBUTES","WT19","WT19_ATTRIBUTES","WT22","WT22_ATTRIBUTES"
"USW00003103","2018-07-06","35.1441","-111.6663","2134.5","FLAGSTAFF AIRPORT, AZ US","    0",",,W,2400","    0",",,W,","    0",",,W,0500","  300",",,W","  139",",,W",,,,,"   30",",,W",,,,,,,,,,,,,,,,,"   50",",,W","   60",",,W",,,,,,,,,"   89",",,W","  134",",,W",,,,,,,,,,,,,,,,,,,"    1",",,W",,,,,,,,,,,,,,,,,,,,,,
"USW00003103","2018-07-07","35.1441","-111.6663","2134.5","FLAGSTAFF AIRPORT, AZ US","   86",",,W,2400","    0",",,W,","    0",",,W,0500","  289",",,W","  122",",,W",,,,,"   20",",,W",,,,,,,,,,,,,,,,,"  340",",,W","  350",",,W",,,,,,,,,"   81",",,W","  121",",,W",,,,,,,,,"    1",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00003103","2018-07-08","35.1441","-111.6663","2134.5","FLAGSTAFF AIRPORT, AZ US","   25",",,W,2400","    0",",,W,","    0",",,W,0500","  294",",,W","  117",",,W",,,,,"   28",",,W",,,,,,,,,,,,,,,,,"  210",",,W","  210",",,W",,,,,,,,,"  107",",,W","  121",",,W",,,,,,,,,"    1",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00003103","2018-07-09","35.1441","-111.6663","2134.5","FLAGSTAFF AIRPORT, AZ US","   41",",,W,2400","    0",",,W,","    0",",,W,0500","  267",",,W","  117",",,W",,,,,"   18",",,W",,,,,,,,,,,,,,,,,"  220",",,W","  220",",,W",,,,,,,,,"   94",",,W","  107",",,W",,,,,,,,,"    1",",,W",,,,,,,,,"    1",",,W",,,,,,,,,,,,,,,,,,,,,,
"USW00003103","2018-07-10","35.1441","-111.6663","2134.5","FLAGSTAFF AIRPORT, AZ US","    5",",,W,2400","    0",",,W,","    0",",,W,0500","  222",",,W","  111",",,W",,,,,"   16",",,W",,,,,,,,,,,,,,,,,"   90",",,W","  100",",,W",,,,,,,,,"   58",",,W","   76",",,W",,,,,,,,,"    1",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00003103","2018-07-11","35.1441","-111.6663","2134.5","FLAGSTAFF AIRPORT, AZ US","   23",",,W,2400","    0",",,W,","    0",",,W,0500","  233",",,W","  128",",,W",,,,,"   15",",,W",,,,,,,,,,,,,,,,,"  200",",,W","  200",",,W",,,,,,,,,"   72",",,W","   89",",,W",,,,,,,,,"    1",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00003103","2018-07-12","35.1441","-111.6663","2134.5","FLAGSTAFF AIRPORT, AZ US","   48",",,W,2400","    0",",,W,","    0",",,W,0500","  217",",,W","  128",",,W",,,,,"   18",",,W",,,,,,,,,,,,,,,,,"  260",",,W","  250",",,W",,,,,,,,,"   58",",,W","   76",",,W",,,,,"    1",",,W",,,"    1",",,W",,,,,,,,,"    1",",,W",,,,,,,,,,,,,,,,,,,,,,
"USW00003103","2018-07-13","35.1441","-111.6663","2134.5","FLAGSTAFF AIRPORT, AZ US","    0","T,,W,2400","    0",",,W,","    0",",,W,0500","  256",",,W","  122",",,W",,,,,"   23",",,W",,,,,,,,,,,,,,,,,"  200",",,W","  220",",,W",,,,,,,,,"   76",",,W","   89",",,W",,,,,,,,,"    1",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00003103","2018-07-14","35.1441","-111.6663","2134.5","FLAGSTAFF AIRPORT, AZ US","   18",",,W,2400","    0",",,W,","    0",",,W,0500","  211",",,W","  139",",,W",,,,,"   14",",,W",,,,,,,,,,,,,,,,,"   50",",,W","   50",",,W",,,,,,,,,"   67",",,W","   85",",,W",,,,,"    1",",,W",,,"    1",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00003103","2018-07-15","35.1441","-111.6663","2134.5","FLAGSTAFF AIRPORT, AZ US","   71",",,W,2400","    0",",,W,","    0",",,W,0500","  250",",,W","  128",",,W",,,,,"   14",",,W",,,,,,,,,,,,,,,,,"  220",",,W","  260",",,W",,,,,,,,,"   94",",,W","  125",",,W",,,,,"    1",",,W",,,"    1",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00003103","2018-07-16","35.1441","-111.6663","2134.5","FLAGSTAFF AIRPORT, AZ US","   25",",,W,2400","    0",",,W,","    0",",,W,0500","  278",",,W","  139",",,W",,,,,"   25",",,W",,,,,,,,,,,,,,,,,"  200",",,W","  210",",,W",,,,,,,,,"   98",",,W","  125",",,W",,,,,"    1",",,W",,,"    1",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00003103","2018-07-17","35.1441","-111.6663","2134.5","FLAGSTAFF AIRPORT, AZ US","    0",",,W,2400","    0",",,W,","    0",",,W,0500","  278",",,W","  139",",,W",,,,,"   23",",,W",,,,,,,,,,,,,,,,,"  220",",,W","   80",",,W",,,,,,,,,"   67",",,W","   89",",,W",,,,,,,,,"    1",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00003103","2018-07-18","35.1441","-111.6663","2134.5","FLAGSTAFF AIRPORT, AZ US","   58",",,W,2400","    0",",,W,","    0",",,W,0500","  272",",,W","  150",",,W",,,,,"   21",",,W",,,,,,,,,,,,,,,,,"   60",",,W","   70",",,W",,,,,,,,,"   76",",,W","  103",",,W",,,,,"    1",",,W",,,"    1",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00003103","2018-07-19","35.1441","-111.6663","2134.5","FLAGSTAFF AIRPORT, AZ US","   46",",,W,2400","    0",",,W,","    0",",,W,0500","  294",",,W","  117",",,W",,,,,"   19",",,W",,,,,,,,,,,,,,,,,"   70",",,W","  360",",,W",,,,,,,,,"   81",",,W","  107",",,W",,,,,"    1",",,W",,,"    1",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00003103","2018-07-20","35.1441","-111.6663","2134.5","FLAGSTAFF AIRPORT, AZ US","    0","T,,W,2400","    0",",,W,","    0",",,W,0500","  300",",,W","  122",",,W",,,,,"   18",",,W",,,,,,,,,,,,,,,,,"  240",",,W","  250",",,W",,,,,,,,,"   76",",,W","  107",",,W",,,,,"    1",",,W",,,"    1",",,W",,,,,,,,,"    1",",,W",,,,,,,,,,,,,,,,,,,,,,
"USW00003103","2018-07-21","35.1441","-111.6663","2134.5","FLAGSTAFF AIRPORT, AZ US","    5",",,W,2400","    0",",,W,","    0",",,W,0500","  300",",,W","  139",",,W",,,,,"   19",",,W",,,,,,,,,,,,,,,,,"  140",",,W","  130",",,W",,,,,,,,,"   89",",,W","  125",",,W",,,,,,,,,"    1",",,W",,,,,,,,,"    1",",,W",,,,,,,,,,,,,,,,,,,,,,
"USW00003103","2018-07-22","35.1441","-111.6663","2134.5","FLAGSTAFF AIRPORT, AZ US","    0",",,W,2400","    0",",,W,","    0",",,W,0500","  294",",,W","  111",",,W",,,,,"   19",",,W",,,,,,,,,,,,,,,,,"  210",",,W","  220",",,W",,,,,,,,,"   67",",,W","   98",",,W",,,,,,,,,,,,,,,,,,,"    1",",,W",,,,,,,,,,,,,,,,,,,,,,
"USW00003103","2018-07-23","35.1441","-111.6663","2134.5","FLAGSTAFF AIRPORT, AZ US","    0",",,W,2400","    0",",,W,","    0",",,W,0500","  317",",,W","  122",",,W",,,,,"   16",",,W",,,,,,,,,,,,,,,,,"   80",",,W","   80",",,W",,,,,,,,,"   81",",,W","  116",",,W",,,,,,,,,"    1",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00003103","2018-07-24","35.1441","-111.6663","2134.5","FLAGSTAFF AIRPORT, AZ US","    0",",,W,2400","    0",",,W,","    0",",,W,0500","  317",",,W","  117",",,W",,,,,"   20",",,W",,,,,,,,,,,,,,,,,"  210",",,W","  260",",,W",,,,,,,,,"  107",",,W","  130",",,W",,,,,,,,,"    1",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00003103","2018-07-25","35.1441","-111.6663","2134.5","FLAGSTAFF AIRPORT, AZ US","   20",",,W,2400","    0",",,W,","    0",",,W,0500","  311",",,W","  122",",,W",,,,,"   20",",,W",,,,,,,,,,,,,,,,,"  260",",,W","  220",",,W",,,,,,,,,"   94",",,W","  134",",,W",,,,,,,,,"    1",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00003103","2018-07-26","35.1441","-111.6663","2134.5","FLAGSTAFF AIRPORT, AZ US","    0","T,,W,2400","    0",",,W,","    0",",,W,0500","  311",",,W","  133",",,W",,,,,"   20",",,W",,,,,,,,,,,,,,,,,"  210",",,W","  210",",,W",,,,,,,,,"   89",",,W","  107",",,W",,,,,,,,,"    1",",,W",,,,,,,,,"    1",",,W",,,,,,,,,,,,,,,,,,,,,,
"USW00003103","2018-07-27","35.1441","-111.6663","2134.5","FLAGSTAFF AIRPORT, AZ US","  282",",,W,2400","    0",",,W,","    0",",,W,0500","  294",",,W","  122",",,W",,,,,"   23",",,W",,,,,,,,,,,,,,,,,"   40",",,W","   30",",,W",,,,,,,,,"  116",",,W","  143",",,W",,,,,,,,,"    1",",,W",,,,,,,,,"    1",",,W",,,,,,,,,,,,,,,,,,,,,,
"USW00003103","2018-07-28","35.1441","-111.6663","2134.5","FLAGSTAFF AIRPORT, AZ US","   13",",,W,2400","    0",",,W,","    0",",,W,0500","  272",",,W","  106",",,W",,,,,"   25",",,W",,,,,,,,,,,,,,,,,"   10",",,W","   10",",,W",,,,,,,,,"   76",",,W","  103",",,W",,,,,,,,,"    1",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00003103","2018-07-29","35.1441","-111.6663","2134.5","FLAGSTAFF AIRPORT, AZ US","   30",",,W,2400","    0",",,W,","    0",",,W,0500","  289",",,W","  111",",,W",,,,,"   17",",,W",,,,,,,,,,,,,,,,,"  340",",,W","  340",",,W",,,,,,,,,"   76",",,W","  121",",,W",,,,,,,,,"    1",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00003103","2018-07-30","35.1441","-111.6663","2134.5","FLAGSTAFF AIRPORT, AZ US","    0",",,W,2400","    0",",,W,","    0",",,W,0500","  306",",,W","  122",",,W",,,,,"   20",",,W",,,,,,,,,,,,,,,,,"  210",",,W","  210",",,W",,,,,,,,,"   76",",,W","   89",",,W",,,,,,,,,"    1",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00003103","2018-07-31","35.1441","-111.6663","2134.5","FLAGSTAFF AIRPORT, AZ US","    0",",,W,2400","    0",",,W,","    0",",,W,0500","  300",",,W","  133",",,W",,,,,"   18",",,W",,,,,,,,,,,,,,,,,"  260",",,W","  260",",,W",,,,,,,,,"   63",",,W","   81",",,W",,,,,,,,,"    1",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00003103","2018-08-01","35.1441","-111.6663","2134.5","FLAGSTAFF AIRPORT, AZ US","  246",",,W,2400","    0",",,W,","    0",",,W,0500","  300",",,W","  133",",,W",,,,,"   28",",,W",,,,,,,,,,,,,,,,,"   30",",,W","   10",",,W",,,,,,,,,"   81",",,W","  107",",,W",,,,,"    1",",,W",,,"    1",",,W",,,,,,,,,"    1",",,W",,,,,,,,,,,,,,,,,,,,,,
"USW00003103","2018-08-02","35.1441","-111.6663","2134.5","FLAGSTAFF AIRPORT, AZ US","   36",",,W,2400","    0",",,W,","    0",",,W,0500","  278",",,W","  122",",,W",,,,,"   17",",,W",,,,,,,,,,,,,,,,,"  270",",,W","  320",",,W",,,,,,,,,"   67",",,W","  112",",,W",,,,,"    1",",,W",,,"    1",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00003103","2018-08-03","35.1441","-111.6663","2134.5","FLAGSTAFF AIRPORT, AZ US","    0",",,W,2400","    0",",,W,","    0",",,W,0500","  278",",,W","  128",",,W",,,,,"   21",",,W",,,,,,,,,,,,,,,,,"  220",",,W","  220",",,W",,,,,,,,,"   72",",,W","  107",",,W",,,,,,,,,"    1",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00003103","2018-08-04","35.1441","-111.6663","2134.5","FLAGSTAFF AIRPORT, AZ US","    0",",,W,2400","    0",",,W,","    0",",,W,0500","  283",",,W","  122",",,W",,,,,"   24",",,W",,,,,,,,,,,,,,,,,"  220",",,W","  220",",,W",,,,,,,,,"   89",",,W","  116",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
