"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT08","WT08_ATTRIBUTES","WT09","WT09_ATTRIBUTES","WT11","WT11_ATTRIBUTES","WT14","WT14_ATTRIBUTES","WT16","WT16_ATTRIBUTES"
"USC00454169","2018-04-15","47.4172","-122.2433","9.1","KENT, WA US","  165",",,7,1700",,,,,"  106",",,7","   61",",,7",,,,,"   78",",,7,1700",,,,,,,,,,,,,,,,,,,,
"USC00454169","2018-04-16","47.4172","-122.2433","9.1","KENT, WA US","  140",",,7,1700",,,,,"  106",",,7","   50",",,7",,,,,"   78",",,7,1700",,,,,,,,,,,,,,,,,,,,
"USC00454169","2018-04-17","47.4172","-122.2433","9.1","KENT, WA US","   33",",,7,1700",,,,,"  117",",,7","   50",",,7",,,,,"  106",",,7,1700",,,,,,,,,,,,,,,,,,,,
"USC00454169","2018-04-18","47.4172","-122.2433","9.1","KENT, WA US","   13",",,7,1700",,,,,"  144",",,7","   44",",,7",,,,,"  117",",,7,1700",,,,,,,,,,,,,,,,,,,,
"USC00454169","2018-04-19","47.4172","-122.2433","9.1","KENT, WA US","    0",",,7,1700",,,,,"  167",",,7","   44",",,7",,,,,"  161",",,7,1700",,,,,,,,,,,,,,,,,,,,
"USC00454169","2018-04-20","47.4172","-122.2433","9.1","KENT, WA US","    0",",,7,1700",,,,,"  172",",,7","   44",",,7",,,,,"  150",",,7,1700",,,,,,,,,,,,,,,,,,,,
"USC00454169","2018-04-21","47.4172","-122.2433","9.1","KENT, WA US","   13",",,7,1700",,,,,"  150",",,7","   72",",,7",,,,,"  122",",,7,1700",,,,,,,,,,,,,,,,,,,,
"USC00454169","2018-04-22","47.4172","-122.2433","9.1","KENT, WA US","    0",",,7,1700",,,,,"  144",",,7","   61",",,7",,,,,"  144",",,7,1700",,,,,,,,,,,,,,,,,,,,
"USC00454169","2018-04-23","47.4172","-122.2433","9.1","KENT, WA US","    0",",,7,1700",,,,,"  200",",,7","   39",",,7",,,,,"  172",",,7,1700",,,,,,,,,,,,,,,,,,,,
"USC00454169","2018-04-24","47.4172","-122.2433","9.1","KENT, WA US","    0",",,7,1700",,,,,"  267",",,7","   39",",,7",,,,,"  233",",,7,1700",,,,,,,,,,,,,,,,,,,,
