"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","AWND","AWND_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","FMTM","FMTM_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","PGTM","PGTM_ATTRIBUTES","PSUN","PSUN_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT02","WT02_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT08","WT08_ATTRIBUTES","WT09","WT09_ATTRIBUTES"
"USW00013810","2018-07-16","38.22806","-85.66361","164.6","LOUISVILLE BOWMAN FIELD, KY US","   86",",,W",,,,,"  306",",,W","  228",",,W","   21",",,W",,,,,,,,,,,,,,,"  260",",,W","  250",",,W","   58",",,W","   72",",,W","    1",",,W",,,,,,,,,,,,,,
"USW00013810","2018-07-17","38.22806","-85.66361","164.6","LOUISVILLE BOWMAN FIELD, KY US","    0",",,W",,,,,"  317",",,W","  228",",,W","   18",",,W",,,,,,,,,,,,,,,"   20",",,W","   20",",,W","   63",",,W","   89",",,W","    1",",,W",,,,,,,,,,,,,,
"USW00013810","2018-07-18","38.22806","-85.66361","164.6","LOUISVILLE BOWMAN FIELD, KY US","    0",",,W",,,,,"  306",",,W","  194",",,W","   14",",,W",,,,,,,,,,,,,,,"   30",",,W","   10",",,W","   54",",,W","   72",",,W",,,,,,,,,,,,,,,,
"USW00013810","2018-07-19","38.22806","-85.66361","164.6","LOUISVILLE BOWMAN FIELD, KY US","    0",",,W",,,,,"  317",",,W","  172",",,W","   20",",,W",,,,,,,,,,,,,,,"  110",",,W","  100",",,W","   58",",,W","   89",",,W",,,,,,,,,,,,,,,,
"USW00013810","2018-07-20","38.22806","-85.66361","164.6","LOUISVILLE BOWMAN FIELD, KY US","  434",",,W",,,,,"  311",",,W","  194",",,W","   39",",,W",,,,,,,,,,,,,,,"  190",",,W","  330",",,W","  134",",,W","  268",",,W","    1",",,W",,,"    1",",,W",,,,,,,,,,
"USW00013810","2018-07-21","38.22806","-85.66361","164.6","LOUISVILLE BOWMAN FIELD, KY US","   10",",,W",,,,,"  289",",,W","  189",",,W","   45",",,W",,,,,,,,,,,,,,,"  280",",,W","  270",",,W","   36",",,W","  130",",,W",,,,,,,,,,,,,,,,
"USW00013810","2018-07-22","38.22806","-85.66361","164.6","LOUISVILLE BOWMAN FIELD, KY US","   56",",,W",,,,,"  283",",,W","  194",",,W","   38",",,W",,,,,,,,,,,,,,,"   10",",,W","  340",",,W","   72",",,W","   94",",,W","    1",",,W",,,"    1",",,W",,,,,,,"    1",",,W",,
"USW00013810","2018-07-23","38.22806","-85.66361","164.6","LOUISVILLE BOWMAN FIELD, KY US","    0",",,W",,,,,"  278",",,W","  189",",,W","   23",",,W",,,,,,,,,,,,,,,"   20",",,W","   10",",,W","   58",",,W","   89",",,W",,,,,,,,,,,,,,,,
"USW00013810","2018-07-24","38.22806","-85.66361","164.6","LOUISVILLE BOWMAN FIELD, KY US","    0",",,W",,,,,"  300",",,W","  189",",,W","   14",",,W",,,,,,,,,,,,,,,"  350",",,W","  340",",,W","   63",",,W","   94",",,W","    1",",,W",,,,,,,,,,,"    1",",,W",,
"USW00013810","2018-07-25","38.22806","-85.66361","164.6","LOUISVILLE BOWMAN FIELD, KY US","    0",",,W",,,,,"  322",",,W","  194",",,W","   14",",,W",,,,,,,,,,,,,,,"  320",",,W","  330",",,W","   54",",,W","   76",",,W","    1",",,W","    1",",,W",,,,,,,,,"    1",",,W",,
"USW00013810","2018-07-26","38.22806","-85.66361","164.6","LOUISVILLE BOWMAN FIELD, KY US","    0",",,W",,,,,"  317",",,W","  200",",,W","   24",",,W",,,,,,,,,,,,,,,"  240",",,W","  220",",,W","   63",",,W","   94",",,W",,,,,,,,,,,,,,,,
"USW00013810","2018-07-27","38.22806","-85.66361","164.6","LOUISVILLE BOWMAN FIELD, KY US","    0","T,,W",,,,,"  289",",,W","  194",",,W","   22",",,W",,,,,,,,,,,,,,,"  290",",,W","  280",",,W","   72",",,W","  103",",,W",,,,,,,,,,,,,,,,
"USW00013810","2018-07-28","38.22806","-85.66361","164.6","LOUISVILLE BOWMAN FIELD, KY US","    0",",,W",,,,,"  289",",,W","  167",",,W","    6",",,W",,,,,,,,,,,,,,,"  330",",,W","  330",",,W","   36",",,W","   58",",,W",,,,,,,,,,,,,,,,
"USW00013810","2018-07-29","38.22806","-85.66361","164.6","LOUISVILLE BOWMAN FIELD, KY US","    0",",,W",,,,,"  300",",,W","  167",",,W","   14",",,W",,,,,,,,,,,,,,,"  130",",,W","  220",",,W","   40",",,W","   63",",,W",,,,,,,,,,,,,,,,
"USW00013810","2018-07-30","38.22806","-85.66361","164.6","LOUISVILLE BOWMAN FIELD, KY US","  102",",,W",,,,,"  283",",,W","  211",",,W","   21",",,W",,,,,,,,,,,,,,,"   70",",,W","   70",",,W","   54",",,W","   67",",,W","    1",",,W",,,"    1",",,W",,,,,,,,,,
"USW00013810","2018-07-31","38.22806","-85.66361","164.6","LOUISVILLE BOWMAN FIELD, KY US","  269",",,W",,,,,"  272",",,W","  211",",,W","   29",",,W",,,,,,,,,,,,,,,"  250",",,W","  230",",,W","   94",",,W","  130",",,W","    1",",,W",,,"    1",",,W",,,,,,,"    1",",,W",,
"USW00013810","2018-08-01","38.22806","-85.66361","164.6","LOUISVILLE BOWMAN FIELD, KY US","   74",",,W",,,,,"  283",",,W","  200",",,W","   10",",,W",,,,,,,,,,,,,,,"  100",",,W","  180",",,W","   45",",,W","   63",",,W","    1",",,W",,,,,,,,,,,,,,
"USW00013810","2018-08-02","38.22806","-85.66361","164.6","LOUISVILLE BOWMAN FIELD, KY US","    0",",,W",,,,,"  294",",,W","  194",",,W","   13",",,W",,,,,,,,,,,,,,,"  140",",,W","  150",",,W","   45",",,W","   58",",,W","    1",",,W","    1",",,W",,,,,,,,,,,,
"USW00013810","2018-08-03","38.22806","-85.66361","164.6","LOUISVILLE BOWMAN FIELD, KY US","    0",",,W",,,,,"  322",",,W","  194",",,W","   14",",,W",,,,,,,,,,,,,,,"  260",",,W","  240",",,W","   40",",,W","   54",",,W","    1",",,W",,,,,,,,,,,,,,
"USW00013810","2018-08-04","38.22806","-85.66361","164.6","LOUISVILLE BOWMAN FIELD, KY US","    0","T,,W",,,,,"  333",",,W","  222",",,W","   14",",,W",,,,,,,,,,,,,,,"  210",",,W","  140",",,W","   45",",,W","   72",",,W",,,,,,,,,,,,,,,,
"USW00013810","2018-08-05","38.22806","-85.66361","164.6","LOUISVILLE BOWMAN FIELD, KY US","    0",",,W",,,,,"  339",",,W","  217",",,W","   24",",,W",,,,,,,,,,,,,,,"  160",",,W","  170",",,W","   76",",,W","  103",",,W",,,,,,,,,,,,,"    1",",,W",,
"USW00013810","2018-08-06","38.22806","-85.66361","164.6","LOUISVILLE BOWMAN FIELD, KY US","    0",",,W",,,,,"  333",",,W","  222",",,W","   27",",,W",,,,,,,,,,,,,,,"  230",",,W","  240",",,W","   72",",,W","   98",",,W",,,,,,,,,,,,,,,,
"USW00013810","2018-08-07","38.22806","-85.66361","164.6","LOUISVILLE BOWMAN FIELD, KY US","    0","T,,W",,,,,"  317",",,W","  244",",,W","   27",",,W",,,,,,,,,,,,,,,"  220",",,W","  230",",,W","   76",",,W","   98",",,W","    1",",,W",,,"    1",",,W",,,,,,,,,,
"USW00013810","2018-08-08","38.22806","-85.66361","164.6","LOUISVILLE BOWMAN FIELD, KY US","   61",",,W",,,,,"  306",",,W","  233",",,W","   30",",,W",,,,,,,,,,,,,,,"  230",",,W","  220",",,W","   63",",,W","  107",",,W","    1",",,W",,,"    1",",,W",,,,,,,,,,
"USW00013810","2018-08-09","38.22806","-85.66361","164.6","LOUISVILLE BOWMAN FIELD, KY US","    0",",,W",,,,,"  311",",,W","  228",",,W","   12",",,W",,,,,,,,,,,,,,,"  240",",,W","  290",",,W","   45",",,W","   63",",,W","    1",",,W",,,,,,,,,,,"    1",",,W",,
"USW00013810","2018-08-10","38.22806","-85.66361","164.6","LOUISVILLE BOWMAN FIELD, KY US","    0",",,W",,,,,"  294",",,W","  211",",,W","   11",",,W",,,,,,,,,,,,,,,"  270",",,W","  270",",,W","   31",",,W","   40",",,W","    1",",,W",,,,,,,,,,,"    1",",,W",,
"USW00013810","2018-08-11","38.22806","-85.66361","164.6","LOUISVILLE BOWMAN FIELD, KY US","    3",",,W",,,,,"  328",",,W","  217",",,W","   22",",,W",,,,,,,,,,,,,,,"  300",",,W","  360",",,W","   58",",,W","   85",",,W","    1",",,W",,,"    1",",,W",,,,,,,"    1",",,W",,
"USW00013810","2018-08-12","38.22806","-85.66361","164.6","LOUISVILLE BOWMAN FIELD, KY US","    0",",,W",,,,,"  317",",,W","  211",",,W","   20",",,W",,,,,,,,,,,,,,,"   20",",,W","   10",",,W","   76",",,W","  112",",,W","    1",",,W",,,,,,,,,,,,,,
"USW00013810","2018-08-13","38.22806","-85.66361","164.6","LOUISVILLE BOWMAN FIELD, KY US","    0",",,W",,,,,"  317",",,W","  189",",,W","   11",",,W",,,,,,,,,,,,,,,"  340",",,W","   40",",,W","   40",",,W","   63",",,W","    1",",,W",,,,,,,,,,,,,,
"USW00013810","2018-08-14","38.22806","-85.66361","164.6","LOUISVILLE BOWMAN FIELD, KY US","    0",",,W",,,,,"  322",",,W","  194",",,W","    4",",,W",,,,,,,,,,,,,,,"  280",",,W","  290",",,W","   40",",,W","   49",",,W","    1",",,W",,,,,,,,,,,,,,
"USW00013810","2018-08-15","38.22806","-85.66361","164.6","LOUISVILLE BOWMAN FIELD, KY US","  140",",,W",,,,,"  278",",,W","  206",",,W","   28",",,W",,,,,,,,,,,,,,,"  260",",,W","  270",",,W","  107",",,W","  179",",,W","    1",",,W",,,"    1",",,W",,,,,,,"    1",",,W",,
"USW00013810","2018-08-16","38.22806","-85.66361","164.6","LOUISVILLE BOWMAN FIELD, KY US","  749",",,W",,,,,"  300",",,W","  211",",,W","   41",",,W",,,,,,,,,,,,,,,"  170",",,W","  170",",,W","   81",",,W","  107",",,W","    1",",,W",,,"    1",",,W",,,,,,,,,,
"USW00013810","2018-08-17","38.22806","-85.66361","164.6","LOUISVILLE BOWMAN FIELD, KY US","    0","T,,W",,,,,"  306",",,W","  239",",,W","   30",",,W",,,,,,,,,,,,,,,"  230",",,W","  230",",,W","   81",",,W","  103",",,W",,,,,,,,,,,,,,,,
"USW00013810","2018-08-18","38.22806","-85.66361","164.6","LOUISVILLE BOWMAN FIELD, KY US","   10",",,W",,,,,"  306",",,W","  222",",,W","   17",",,W",,,,,,,,,,,,,,,"  190",",,W","   10",",,W","   40",",,W","   58",",,W","    1",",,W",,,,,,,,,,,,,,
"USW00013810","2018-08-19","38.22806","-85.66361","164.6","LOUISVILLE BOWMAN FIELD, KY US","   74",",,W",,,,,"  322",",,W","  211",",,W","   10",",,W",,,,,,,,,,,,,,,"  280",",,W","  280",",,W","   63",",,W","   72",",,W","    1",",,W",,,,,,,,,,,,,,
"USW00013810","2018-08-20","38.22806","-85.66361","164.6","LOUISVILLE BOWMAN FIELD, KY US","   66",",,W",,,,,"  311",",,W","  233",",,W","   37",",,W",,,,,,,,,,,,,,,"  190",",,W","  190",",,W","   94",",,W","  130",",,W","    1",",,W",,,"    1",",,W",,,,,,,,,,
"USW00013810","2018-08-21","38.22806","-85.66361","164.6","LOUISVILLE BOWMAN FIELD, KY US","   20",",,W",,,,,"  283",",,W","  222",",,W","   39",",,W",,,,,,,,,,,,,,,"  190",",,W","  200",",,W","   94",",,W","  139",",,W","    1",",,W",,,,,,,,,,,"    1",",,W",,
"USW00013810","2018-08-22","38.22806","-85.66361","164.6","LOUISVILLE BOWMAN FIELD, KY US","    0",",,W",,,,,"  272",",,W","  172",",,W","   23",",,W",,,,,,,,,,,,,,,"  340",",,W","   30",",,W","   67",",,W","   98",",,W","    1",",,W",,,,,,,,,,,,,,
"USW00013810","2018-08-23","38.22806","-85.66361","164.6","LOUISVILLE BOWMAN FIELD, KY US","    0",",,W",,,,,"  278",",,W","  144",",,W","    8",",,W",,,,,,,,,,,,,,,"   50",",,W","  310",",,W","   36",",,W","   58",",,W","    1",",,W",,,,,,,,,,,,,,
"USW00013810","2018-08-24","38.22806","-85.66361","164.6","LOUISVILLE BOWMAN FIELD, KY US","    0",",,W",,,,,"  256",",,W","  144",",,W","   26",",,W",,,,,,,,,,,,,,,"  170",",,W","  180",",,W","   67",",,W","   85",",,W",,,,,,,,,,,,,,,,
"USW00013810","2018-08-25","38.22806","-85.66361","164.6","LOUISVILLE BOWMAN FIELD, KY US","    5",",,W",,,,,"  311",",,W","  222",",,W","   41",",,W",,,,,,,,,,,,,,,"  190",",,W","  180",",,W","   81",",,W","  112",",,W",,,,,"    1",",,W",,,,,,,,,,
"USW00013810","2018-08-26","38.22806","-85.66361","164.6","LOUISVILLE BOWMAN FIELD, KY US","    0",",,W",,,,,"  328",",,W","  250",",,W","   35",",,W",,,,,,,,,,,,,,,"  200",",,W","  230",",,W","   67",",,W","   89",",,W",,,,,,,,,,,,,,,,
"USW00013810","2018-08-27","38.22806","-85.66361","164.6","LOUISVILLE BOWMAN FIELD, KY US","    0",",,W",,,,,"  339",",,W","  244",",,W","   36",",,W",,,,,,,,,,,,,,,"  190",",,W","  200",",,W","   72",",,W","   98",",,W",,,,,,,,,,,,,,,,
"USW00013810","2018-08-28","38.22806","-85.66361","164.6","LOUISVILLE BOWMAN FIELD, KY US","    0",",,W",,,,,"  344",",,W","  239",",,W","   36",",,W",,,,,,,,,,,,,,,"  210",",,W","  210",",,W","   72",",,W","  116",",,W",,,,,,,,,,,,,,,,
"USW00013810","2018-08-29","38.22806","-85.66361","164.6","LOUISVILLE BOWMAN FIELD, KY US","    0","T,,W",,,,,"  333",",,W","  244",",,W","   34",",,W",,,,,,,,,,,,,,,"  240",",,W","  220",",,W","   81",",,W","  121",",,W",,,,,,,,,,,,,,,,
"USW00013810","2018-08-30","38.22806","-85.66361","164.6","LOUISVILLE BOWMAN FIELD, KY US","    0","T,,W",,,,,"  311",",,W","  222",",,W","   17",",,W",,,,,,,,,,,,,,,"   20",",,W","   10",",,W","   45",",,W","   63",",,W",,,,,,,,,,,,,,,,
"USW00013810","2018-08-31","38.22806","-85.66361","164.6","LOUISVILLE BOWMAN FIELD, KY US","  333",",,W",,,,,"  328",",,W","  211",",,W","   14",",,W",,,,,,,,,,,,,,,"   90",",,W","   10",",,W","   72",",,W","  116",",,W","    1",",,W",,,"    1",",,W",,,,,,,"    1",",,W",,
"USW00013810","2018-09-01","38.22806","-85.66361","164.6","LOUISVILLE BOWMAN FIELD, KY US","    0","T,,W",,,,,"  317",",,W","  217",",,W","   29",",,W",,,,,,,,,,,,,,,"  220",",,W","  200",",,W","   67",",,W","   85",",,W",,,,,,,,,,,,,,,,
"USW00013810","2018-09-02","38.22806","-85.66361","164.6","LOUISVILLE BOWMAN FIELD, KY US","    0","T,,W",,,,,"  339",",,W","  211",",,W","   21",",,W",,,,,,,,,,,,,,,"  150",",,W","  210",",,W","   54",",,W","   81",",,W",,,,,,,,,,,,,,,,
"USW00013810","2018-09-03","38.22806","-85.66361","164.6","LOUISVILLE BOWMAN FIELD, KY US","    0",",,W",,,,,"  344",",,W","  228",",,W","   16",",,W",,,,,,,,,,,,,,,"  160",",,W","  140",",,W","   54",",,W","   81",",,W",,,,,,,,,,,,,,,,
"USW00013810","2018-09-04","38.22806","-85.66361","164.6","LOUISVILLE BOWMAN FIELD, KY US","    0","T,,W",,,,,"  350",",,W","  228",",,W","    9",",,W",,,,,,,,,,,,,,,"  190",",,W","  160",",,W","   54",",,W","   89",",,W",,,,,,,,,,,,,,,,
"USW00013810","2018-09-05","38.22806","-85.66361","164.6","LOUISVILLE BOWMAN FIELD, KY US","    0","T,,W",,,,,"  328",",,W","  233",",,W","   15",",,W",,,,,,,,,,,,,,,"  240",",,W","  240",",,W","   54",",,W","   72",",,W",,,,,,,,,,,,,,,,
"USW00013810","2018-09-06","38.22806","-85.66361","164.6","LOUISVILLE BOWMAN FIELD, KY US","   48",",,W",,,,,"  306",",,W","  233",",,W","   13",",,W",,,,,,,,,,,,,,,"  210",",,W","  200",",,W","   72",",,W","  116",",,W","    1",",,W",,,"    1",",,W",,,,,,,,,,
"USW00013810","2018-09-07","38.22806","-85.66361","164.6","LOUISVILLE BOWMAN FIELD, KY US","    3",",,W",,,,,"  322",",,W","  233",",,W","   18",",,W",,,,,,,,,,,,,,,"   60",",,W","   40",",,W","   58",",,W","   81",",,W","    1",",,W",,,"    1",",,W",,,,,,,,,,
"USW00013810","2018-09-08","38.22806","-85.66361","164.6","LOUISVILLE BOWMAN FIELD, KY US","  805",",,W",,,,,"  244",",,W","  194",",,W","   40",",,W",,,,,,,,,,,,,,,"  120",",,W","  290",",,W","  125",",,W","  219",",,W","    1",",,W",,,"    1",",,W",,,,,,,,,,
