"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","DATN","DATN_ATTRIBUTES","DWPR","DWPR_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","MDTN","MDTN_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES"
"ASN00091245","2018-07-06","-40.6828","144.69","94.0","CAPE GRIM BAPS, AS","   90",",,a",,,,,,,,,,,,,,,,
"ASN00091245","2018-07-07","-40.6828","144.69","94.0","CAPE GRIM BAPS, AS","   98",",,a",,,,,,,,,,,,,,,,
"ASN00091245","2018-07-08","-40.6828","144.69","94.0","CAPE GRIM BAPS, AS","   74",",,a",,,,,,,,,,,,,,,,
"ASN00091245","2018-07-09","-40.6828","144.69","94.0","CAPE GRIM BAPS, AS","   30",",,a",,,,,,,,,,,,,,,,
"ASN00091245","2018-07-10","-40.6828","144.69","94.0","CAPE GRIM BAPS, AS","    4",",,a",,,,,,,,,,,,,,,,
"ASN00091245","2018-07-11","-40.6828","144.69","94.0","CAPE GRIM BAPS, AS","   20",",,a","  129",",,a",,,,,,,,,,,,,"   89","H,,S"
"ASN00091245","2018-07-12","-40.6828","144.69","94.0","CAPE GRIM BAPS, AS","    0",",,a","  135",",,a","   61",",,a",,,,,,,,,,,"  103","H,,S"
"ASN00091245","2018-07-13","-40.6828","144.69","94.0","CAPE GRIM BAPS, AS","    0",",,a","  136",",,a","   75",",,a",,,,,,,,,,,"  102","H,,S"
"ASN00091245","2018-07-14","-40.6828","144.69","94.0","CAPE GRIM BAPS, AS","    0",",,a","  122",",,a","   64",",,a",,,,,,,,,,,"  104","H,,S"
"ASN00091245","2018-07-15","-40.6828","144.69","94.0","CAPE GRIM BAPS, AS","   20",",,a","  135",",,a","   79",",,a",,,,,,,,,,,"  116","H,,S"
"ASN00091245","2018-07-16","-40.6828","144.69","94.0","CAPE GRIM BAPS, AS","   10",",,a","  134",",,a","  101",",,a",,,,,,,,,,,"  123","H,,S"
"ASN00091245","2018-07-17","-40.6828","144.69","94.0","CAPE GRIM BAPS, AS","   34",",,a","  137",",,a","  109",",,a",,,,,,,,,,,"  108","H,,S"
"ASN00091245","2018-07-18","-40.6828","144.69","94.0","CAPE GRIM BAPS, AS","   90",",,a","  137",",,a","   76",",,a",,,,,,,,,,,"  121","H,,S"
"ASN00091245","2018-07-19","-40.6828","144.69","94.0","CAPE GRIM BAPS, AS",,,"  118",",,a",,,,,,,,,,,,,"  100","H,,S"
"ASN00091245","2018-07-20","-40.6828","144.69","94.0","CAPE GRIM BAPS, AS","   24",",,a",,,"   74",",,a",,,,,,,,,,,"   93","H,,S"
"ASN00091245","2018-07-21","-40.6828","144.69","94.0","CAPE GRIM BAPS, AS",,,"  120",",,a","   71",",,a",,,,,,,,,,,"  101","H,,S"
"ASN00091245","2018-07-22","-40.6828","144.69","94.0","CAPE GRIM BAPS, AS","   16",",,a","  137",",,a","   84",",,a",,,,,,,,,,,"  112","H,,S"
"ASN00091245","2018-07-23","-40.6828","144.69","94.0","CAPE GRIM BAPS, AS","    6",",,a","  123",",,a","   93",",,a",,,,,,,,,,,"  108","H,,S"
"ASN00091245","2018-07-24","-40.6828","144.69","94.0","CAPE GRIM BAPS, AS","   84",",,a","  124",",,a","   91",",,a",,,,,,,,,,,"  105","H,,S"
"ASN00091245","2018-07-25","-40.6828","144.69","94.0","CAPE GRIM BAPS, AS","  106",",,a","  122",",,a","   82",",,a",,,,,,,,,,,"  105","H,,S"
"ASN00091245","2018-07-26","-40.6828","144.69","94.0","CAPE GRIM BAPS, AS","   24",",,a","  129",",,a","   89",",,a",,,,,,,,,,,"  117","H,,S"
"ASN00091245","2018-07-27","-40.6828","144.69","94.0","CAPE GRIM BAPS, AS","   10",",,a","  139",",,a","  100",",,a",,,,,,,,,,,"  109","H,,S"
"ASN00091245","2018-07-28","-40.6828","144.69","94.0","CAPE GRIM BAPS, AS","   22",",,a","  131",",,a","   88",",,a",,,,,,,,,,,"  110","H,,S"
"ASN00091245","2018-07-29","-40.6828","144.69","94.0","CAPE GRIM BAPS, AS","   98",",,a","  111",",,a","   84",",,a",,,,,,,,,,,"   95","H,,S"
"ASN00091245","2018-07-30","-40.6828","144.69","94.0","CAPE GRIM BAPS, AS","  102",",,a","  129",",,a","   72",",,a",,,,,,,,,,,"  109","H,,S"
"ASN00091245","2018-07-31","-40.6828","144.69","94.0","CAPE GRIM BAPS, AS","   46",",,a","  129",",,a","   86",",,a",,,,,,,,,,,"  101","H,,S"
"ASN00091245","2018-08-01","-40.6828","144.69","94.0","CAPE GRIM BAPS, AS","  114",",,a","  133",",,a","   76",",,a",,,,,,,,,,,"   99","H,,S"
"ASN00091245","2018-08-02","-40.6828","144.69","94.0","CAPE GRIM BAPS, AS","    2",",,a","  138",",,a","   71",",,a",,,,,,,,,,,"  114","H,,S"
"ASN00091245","2018-08-03","-40.6828","144.69","94.0","CAPE GRIM BAPS, AS","    0",",,a","  163",",,a","  102",",,a",,,,,,,,,,,"  111","H,,S"
"ASN00091245","2018-08-04","-40.6828","144.69","94.0","CAPE GRIM BAPS, AS","   70",",,a","  130",",,a","   89",",,a",,,,,,,,,,,"  120","H,,S"
"ASN00091245","2018-08-05","-40.6828","144.69","94.0","CAPE GRIM BAPS, AS","   28",",,a","  144",",,a","  105",",,a",,,,,,,,,,,"  116","H,,S"
"ASN00091245","2018-08-06","-40.6828","144.69","94.0","CAPE GRIM BAPS, AS","   66",",,a","  122",",,a","   85",",,a",,,,,,,,,,,"   92","H,,S"
"ASN00091245","2018-08-07","-40.6828","144.69","94.0","CAPE GRIM BAPS, AS","  108",",,a","  125",",,a","   75",",,a",,,,,,,,,,,"  112","H,,S"
"ASN00091245","2018-08-08","-40.6828","144.69","94.0","CAPE GRIM BAPS, AS","   72",",,a","  125",",,a","   82",",,a",,,,,,,,,,,"  107","H,,S"
"ASN00091245","2018-08-09","-40.6828","144.69","94.0","CAPE GRIM BAPS, AS","   26",",,a","  131",",,a","   90",",,a",,,,,,,,,,,"  119","H,,S"
"ASN00091245","2018-08-10","-40.6828","144.69","94.0","CAPE GRIM BAPS, AS","   12",",,a","  140",",,a","  107",",,a",,,,,,,,,,,"   82","H,,S"
"ASN00091245","2018-08-11","-40.6828","144.69","94.0","CAPE GRIM BAPS, AS","  272",",,a","  110",",,a","   57",",,a",,,,,,,,,,,"   81","H,,S"
"ASN00091245","2018-08-12","-40.6828","144.69","94.0","CAPE GRIM BAPS, AS","   72",",,a","  119",",,a","   60",",,a",,,,,,,,,,,"  107","H,,S"
"ASN00091245","2018-08-13","-40.6828","144.69","94.0","CAPE GRIM BAPS, AS","   36",",,a","  130",",,a","   86",",,a",,,,,,,,,,,"  121","H,,S"
"ASN00091245","2018-08-14","-40.6828","144.69","94.0","CAPE GRIM BAPS, AS","    4",",,a","  145",",,a","  102",",,a",,,,,,,,,,,"  129","H,,S"
"ASN00091245","2018-08-15","-40.6828","144.69","94.0","CAPE GRIM BAPS, AS","   34",",,a","  124",",,a","   89",",,a",,,,,,,,,,,"  106","H,,S"
"ASN00091245","2018-08-16","-40.6828","144.69","94.0","CAPE GRIM BAPS, AS","   66",",,a","  120",",,a","   84",",,a",,,,,,,,,,,"  102","H,,S"
"ASN00091245","2018-08-17","-40.6828","144.69","94.0","CAPE GRIM BAPS, AS","   14",",,a","  132",",,a","   83",",,a",,,,,,,,,,,"  104","H,,S"
"ASN00091245","2018-08-18","-40.6828","144.69","94.0","CAPE GRIM BAPS, AS","  144",",,a","  110",",,a","   79",",,a",,,,,,,,,,,"   78","H,,S"
"ASN00091245","2018-08-19","-40.6828","144.69","94.0","CAPE GRIM BAPS, AS","  182",",,a","  101",",,a","   46",",,a",,,,,,,,,,,"   84","H,,S"
"ASN00091245","2018-08-20","-40.6828","144.69","94.0","CAPE GRIM BAPS, AS","    2",",,a","  117",",,a","   74",",,a",,,,,,,,,,,"   94","H,,S"
"ASN00091245","2018-08-21","-40.6828","144.69","94.0","CAPE GRIM BAPS, AS","   38",",,a","  118",",,a","   76",",,a",,,,,,,,,,,"   86","H,,S"
"ASN00091245","2018-08-22","-40.6828","144.69","94.0","CAPE GRIM BAPS, AS","   20",",,a","  133",",,a","   56",",,a",,,,,,,,,,,"   84","H,,S"
"ASN00091245","2018-08-23","-40.6828","144.69","94.0","CAPE GRIM BAPS, AS","    0",",,a","  142",",,a","   49",",,a",,,,,,,,,,,"   96","H,,S"
"ASN00091245","2018-08-24","-40.6828","144.69","94.0","CAPE GRIM BAPS, AS","    4",",,a","  150",",,a","   65",",,a",,,,,,,,,,,"  108","H,,S"
"ASN00091245","2018-08-25","-40.6828","144.69","94.0","CAPE GRIM BAPS, AS","    4",",,a","  127",",,a","   78",",,a",,,,,,,,,,,"  107","H,,S"
"ASN00091245","2018-08-26","-40.6828","144.69","94.0","CAPE GRIM BAPS, AS","    0",",,a","  121",",,a","   95",",,a",,,,,,,,,,,"   83","H,,S"
"ASN00091245","2018-08-27","-40.6828","144.69","94.0","CAPE GRIM BAPS, AS","   20",",,a","  109",",,a","   48",",,a",,,,,,,,,,,"   62","H,,S"
"ASN00091245","2018-08-28","-40.6828","144.69","94.0","CAPE GRIM BAPS, AS","    0",",,a","  112",",,a","   25",",,a",,,,,,,,,,,"   73","H,,S"
"ASN00091245","2018-08-29","-40.6828","144.69","94.0","CAPE GRIM BAPS, AS","    2",",,a","  128",",,a","   42",",,a",,,,,,,,,,,"   84","H,,S"
"ASN00091245","2018-08-30","-40.6828","144.69","94.0","CAPE GRIM BAPS, AS","    0",",,a","  117",",,a","   52",",,a",,,,,,,,,,,"  103","H,,S"
"ASN00091245","2018-08-31","-40.6828","144.69","94.0","CAPE GRIM BAPS, AS","   80",",,a","  116",",,a","   89",",,a",,,,,,,,,,,"  105","H,,S"
"ASN00091245","2018-09-01","-40.6828","144.69","94.0","CAPE GRIM BAPS, AS","   54",",,a","  100",",,a","   83",",,a",,,,,,,,,,,"   86","H,,S"
"ASN00091245","2018-09-02","-40.6828","144.69","94.0","CAPE GRIM BAPS, AS","   12",",,a","  110",",,a","   67",",,a",,,,,,,,,,,"   84","H,,S"
"ASN00091245","2018-09-03","-40.6828","144.69","94.0","CAPE GRIM BAPS, AS","    0",",,a","  121",",,a","   65",",,a",,,,,,,,,,,"   86","H,,S"
