"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","AWND","AWND_ATTRIBUTES","FMTM","FMTM_ATTRIBUTES","PGTM","PGTM_ATTRIBUTES","PSUN","PSUN_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT02","WT02_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT08","WT08_ATTRIBUTES","WT09","WT09_ATTRIBUTES","WT13","WT13_ATTRIBUTES","WT14","WT14_ATTRIBUTES","WT15","WT15_ATTRIBUTES","WT16","WT16_ATTRIBUTES","WT17","WT17_ATTRIBUTES","WT18","WT18_ATTRIBUTES","WT22","WT22_ATTRIBUTES"
"USW00014753","2018-05-03","42.2123","-71.1137","190.5","BLUE HILL LCD, MA US","   33",",,W,2400","    0",",,W,2400","    0",",,W,2400","  322",",,W","  194",",,W","   52",",,W",,,,,"   51",",,W",,,"  433",",,W","  220",",,W","  220",",,W","  116",",,W","  161",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014753","2018-05-04","42.2123","-71.1137","190.5","BLUE HILL LCD, MA US","   13",",,W,2400","    0",",,W,2400","    0",",,W,2400","  272",",,W","  194",",,W","   64",",,W",,,,,"   12",",,W",,,"  102",",,W","  210",",,W","  210",",,W","  134",",,W","  174",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014753","2018-05-05","42.2123","-71.1137","190.5","BLUE HILL LCD, MA US","    0",",,W,2400","    0",",,W,2400","    0",",,W,2400","  228",",,W","  122",",,W","   66",",,W",,,,,"   72",",,W",,,"  615",",,W","  270",",,W","  270",",,W","  165",",,W","  250",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014753","2018-05-06","42.2123","-71.1137","190.5","BLUE HILL LCD, MA US","   53",",,W,2400","    0",",,W,2400","    0",",,W,2400","  183",",,W","   89",",,W","   33",",,W",,,,,"    0",",,W",,,"    0",",,W","  210",",,W","   40",",,W","   72",",,W","  107",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014753","2018-05-07","42.2123","-71.1137","190.5","BLUE HILL LCD, MA US","    0",",,W,2400","    0",",,W,2400","    0",",,W,2400","  167",",,W","   94",",,W","   37",",,W",,,,,"   83",",,W",,,"  713",",,W","   40",",,W","   70",",,W","   76",",,W","  116",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014753","2018-05-08","42.2123","-71.1137","190.5","BLUE HILL LCD, MA US","    0",",,W,2400","    0",",,W,2400","    0",",,W,2400","  228",",,W","   78",",,W","   30",",,W",,,,,"   99",",,W",,,"  852",",,W","  160",",,W","  160",",,W","   72",",,W","  112",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014753","2018-05-09","42.2123","-71.1137","190.5","BLUE HILL LCD, MA US","    0",",,W,2400","    0",",,W,2400","    0",",,W,2400","  233",",,W","   89",",,W","   34",",,W",,,,,"   89",",,W",,,"  768",",,W","  120",",,W","  120",",,W","   63",",,W","  103",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014753","2018-05-10","42.2123","-71.1137","190.5","BLUE HILL LCD, MA US","    8",",,W,2400","    0",",,W,2400","    0",",,W,2400","  228",",,W","   89",",,W","   45",",,W",,,,,"   41",",,W",,,"  355",",,W","  180",",,W","  180",",,W","  107",",,W","  148",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014753","2018-05-11","42.2123","-71.1137","190.5","BLUE HILL LCD, MA US","    0",",,W,2400","    0",",,W,2400","    0",",,W,2400","  211",",,W","  106",",,W","   47",",,W",,,,,"   81",",,W",,,"  703",",,W","  320",",,W","  300",",,W","   81",",,W","  116",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014753","2018-05-12","42.2123","-71.1137","190.5","BLUE HILL LCD, MA US","   48",",,W,2400","    0",",,W,2400","    0",",,W,2400","  106",",,W","   83",",,W","   30",",,W",,,,,"    0",",,W",,,"    0",",,W","   90",",,W","   90",",,W","   81",",,W","  112",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
