"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","ACMH","ACMH_ATTRIBUTES","ACSH","ACSH_ATTRIBUTES","AWND","AWND_ATTRIBUTES","FMTM","FMTM_ATTRIBUTES","FRGT","FRGT_ATTRIBUTES","PGTM","PGTM_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDF1","WDF1_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WESD","WESD_ATTRIBUTES","WSF1","WSF1_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT02","WT02_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT07","WT07_ATTRIBUTES","WT08","WT08_ATTRIBUTES","WT09","WT09_ATTRIBUTES","WT11","WT11_ATTRIBUTES","WT13","WT13_ATTRIBUTES","WT14","WT14_ATTRIBUTES","WT15","WT15_ATTRIBUTES","WT16","WT16_ATTRIBUTES","WT17","WT17_ATTRIBUTES","WT18","WT18_ATTRIBUTES","WT19","WT19_ATTRIBUTES","WT22","WT22_ATTRIBUTES","WV03","WV03_ATTRIBUTES"
"USW00093997","2018-07-06","38.87611","-98.80917","568.1","RUSSELL MUNICIPAL AIRPORT, KS US","    0",",,W,",,,,,"  317",",,W","  211",",,W",,,,,"   34",",,W",,,,," 0609",",,W",,,,,,,"   90",",,W","   90",",,W",,,,,"   63",",,W","  148",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00093997","2018-07-07","38.87611","-98.80917","568.1","RUSSELL MUNICIPAL AIRPORT, KS US","    0",",,W,",,,,,"  333",",,W","  200",",,W",,,,,"   45",",,W",,,,," 1901",",,W",,,,,,,"  160",",,W","  150",",,W",,,,,"   81",",,W","  116",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00093997","2018-07-08","38.87611","-98.80917","568.1","RUSSELL MUNICIPAL AIRPORT, KS US","    0",",,W,",,,,,"  339",",,W","  194",",,W",,,,,"   53",",,W",,,,," 1432",",,W",,,,,,,"  140",",,W","  140",",,W",,,,,"   89",",,W","  125",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00093997","2018-07-09","38.87611","-98.80917","568.1","RUSSELL MUNICIPAL AIRPORT, KS US","    0",",,W,",,,,,"  350",",,W","  183",",,W",,,,,"   39",",,W",,,,," 0928",",,W",,,,,,,"  190",",,W","  200",",,W",,,,,"   67",",,W","   85",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00093997","2018-07-10","38.87611","-98.80917","568.1","RUSSELL MUNICIPAL AIRPORT, KS US","    0",",,W,",,,,,"  361",",,W","  189",",,W",,,,,"   43",",,W",,,,," 1345",",,W",,,,,,,"  150",",,W","  150",",,W",,,,,"   76",",,W","  107",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00093997","2018-07-11","38.87611","-98.80917","568.1","RUSSELL MUNICIPAL AIRPORT, KS US","    0",",,W,",,,,,"  367",",,W","  217",",,W",,,,,"   58",",,W",,,,," 1330",",,W",,,,,,,"  150",",,W","  160",",,W",,,,,"   98",",,W","  130",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00093997","2018-07-12","38.87611","-98.80917","568.1","RUSSELL MUNICIPAL AIRPORT, KS US","    0",",,W,",,,,,"  383",",,W","  239",",,W",,,,,"   67",",,W",,,,," 1749",",,W",,,,,,,"  170",",,W","  150",",,W",,,,,"  125",",,W","  152",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00093997","2018-07-13","38.87611","-98.80917","568.1","RUSSELL MUNICIPAL AIRPORT, KS US","    3",",,W,",,,,,"  356",",,W","  211",",,W",,,,,"   45",",,W",,,,," 1442",",,W",,,,,,,"  180",",,W","  180",",,W",,,,,"  134",",,W","  165",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00093997","2018-07-14","38.87611","-98.80917","568.1","RUSSELL MUNICIPAL AIRPORT, KS US","    0",",,W,",,,,,"  328",",,W","  194",",,W",,,,,"   21",",,W",,,,," 1313",",,W",,,,,,,"  190",",,W","  100",",,W",,,,,"   45",",,W","   58",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00093997","2018-07-15","38.87611","-98.80917","568.1","RUSSELL MUNICIPAL AIRPORT, KS US","    0",",,W,",,,,,"  344",",,W","  228",",,W",,,,,"   36",",,W",,,,," 1250",",,W",,,,,,,"   90",",,W","   90",",,W",,,,,"  107",",,W","  139",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
