"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","MDSF","MDSF_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT11","WT11_ATTRIBUTES"
"USC00293428","2018-06-02","35.5282","-108.7031","2004.7","GALLUP SAND AND GRAVEL, NM US","    0",",,7,0800","    0",",,7","    0",",,7","  300",",,7","   61",",,7",,,,,,,"  144",",,7,0800",,,,,,,,,,
"USC00293428","2018-06-03","35.5282","-108.7031","2004.7","GALLUP SAND AND GRAVEL, NM US","    0",",,7,0800","    0",",,7","    0",",,7","  328",",,7","  144",",,7",,,,,,,"  167",",,7,0800",,,,,,,,,,
"USC00293428","2018-06-04","35.5282","-108.7031","2004.7","GALLUP SAND AND GRAVEL, NM US","    0","T,,7,0800","    0",",,7","    0",",,7","  311",",,7","  106",",,7",,,,,,,"  156",",,7,0800",,,,,,,,,,
"USC00293428","2018-06-05","35.5282","-108.7031","2004.7","GALLUP SAND AND GRAVEL, NM US","    0",",,7,0800","    0",",,7","    0",",,7","  328",",,7","   89",",,7",,,,,,,"  150",",,7,0800",,,,,,,,,,
"USC00293428","2018-06-06","35.5282","-108.7031","2004.7","GALLUP SAND AND GRAVEL, NM US","    0",",,7,0800","    0",",,7","    0",",,7","  311",",,7","   94",",,7",,,,,,,"  161",",,7,0800",,,,,,,,,,
"USC00293428","2018-06-07","35.5282","-108.7031","2004.7","GALLUP SAND AND GRAVEL, NM US","    0",",,7,0800","    0",",,7","    0",",,7","  306",",,7","   83",",,7",,,,,,,"  161",",,7,0800",,,,,,,,,,
"USC00293428","2018-06-08","35.5282","-108.7031","2004.7","GALLUP SAND AND GRAVEL, NM US","    0",",,7,0800","    0",",,7","    0",",,7","  311",",,7","   94",",,7",,,,,,,"  144",",,7,0800",,,,,,,,,,
"USC00293428","2018-06-09","35.5282","-108.7031","2004.7","GALLUP SAND AND GRAVEL, NM US","    0",",,7,0800","    0",",,7","    0",",,7","  317",",,7","   94",",,7",,,,,,,"  139",",,7,0800",,,,,,,,,,
"USC00293428","2018-06-10","35.5282","-108.7031","2004.7","GALLUP SAND AND GRAVEL, NM US","    0",",,7,0800","    0",",,7","    0",",,7","  311",",,7","  133",",,7",,,,,,,"  189",",,7,0800",,,,,,,,,,
"USC00293428","2018-06-11","35.5282","-108.7031","2004.7","GALLUP SAND AND GRAVEL, NM US","    0",",,7,0800","    0",",,7","    0",",,7","  311",",,7","   94",",,7",,,,,,,"  189",",,7,0800",,,,,,,,,,
