"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","DASF","DASF_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","MDSF","MDSF_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WESD","WESD_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT06","WT06_ATTRIBUTES"
"USC00211771","2018-06-21","47.8948","-92.5337","413.0","COOK 8 NE, MN US","    0",",,7,0800","    0",",,7","    0",",,7","  283",",,7","  128",",,7",,,,,,,,,"  139",",,7,0800",,,,,,,,,,
"USC00211771","2018-06-22","47.8948","-92.5337","413.0","COOK 8 NE, MN US","    0",",,7,0800","    0",",,7","    0",",,7","  278",",,7","  128",",,7",,,,,,,,,"  139",",,7,0800",,,,,,,,,,
"USC00211771","2018-06-23","47.8948","-92.5337","413.0","COOK 8 NE, MN US","   51",",,7,0800","    0",",,7","    0",",,7","  272",",,7","  139",",,7",,,,,,,,,"  167",",,7,0800",,,,,,,,,,
"USC00211771","2018-06-24","47.8948","-92.5337","413.0","COOK 8 NE, MN US","   33",",,7,0800","    0",",,7","    0",",,7","  250",",,7","  122",",,7",,,,,,,,,"  128",",,7,0800",,,,,,,,,,
"USC00211771","2018-06-25","47.8948","-92.5337","413.0","COOK 8 NE, MN US","    0",",,7,0800","    0",",,7","    0",",,7","  206",",,7","  111",",,7",,,,,,,,,"  128",",,7,0800",,,,,,,,,,
"USC00211771","2018-06-26","47.8948","-92.5337","413.0","COOK 8 NE, MN US","    0",",,7,0800","    0",",,7","    0",",,7","  233",",,7","  122",",,7",,,,,,,,,"  133",",,7,0800",,,,,,,,,,
"USC00211771","2018-06-27","47.8948","-92.5337","413.0","COOK 8 NE, MN US","    0",",,7,0800","    0",",,7","    0",",,7","  239",",,7","  128",",,7",,,,,,,,,"  128",",,7,0800",,,,,,,,,,
"USC00211771","2018-06-28","47.8948","-92.5337","413.0","COOK 8 NE, MN US","   66",",,7,0800","    0",",,7","    0",",,7","  267",",,7","  128",",,7",,,,,,,,,"  139",",,7,0800",,,,,,,,,,
"USC00211771","2018-06-29","47.8948","-92.5337","413.0","COOK 8 NE, MN US","    0",",,7,0800","    0",",,7","    0",",,7","  267",",,7","  139",",,7",,,,,,,,,"  183",",,7,0800",,,,,,,,,,
"USC00211771","2018-06-30","47.8948","-92.5337","413.0","COOK 8 NE, MN US","  221",",,7,0800","    0",",,7","    0",",,7","  256",",,7","  156",",,7",,,,,,,,,"  194",",,7,0800",,,,,,,,,,
"USC00211771","2018-07-01","47.8948","-92.5337","413.0","COOK 8 NE, MN US","    0",",,7,0800","    0",",,7","    0",",,7","  272",",,7","  178",",,7",,,,,,,,,"  178",",,7,0800",,,,,,,,,,
"USC00211771","2018-07-02","47.8948","-92.5337","413.0","COOK 8 NE, MN US","  170",",,7,0800","    0",",,7","    0",",,7","  183",",,7","  122",",,7",,,,,,,,,"  128",",,7,0800",,,,,,,,,,
"USC00211771","2018-07-03","47.8948","-92.5337","413.0","COOK 8 NE, MN US","  104",",,7,0800","    0",",,7","    0",",,7","  278",",,7","  128",",,7",,,,,,,,,"  178",",,7,0800",,,,,,,,,,
"USC00211771","2018-07-04","47.8948","-92.5337","413.0","COOK 8 NE, MN US","    8",",,7,0800","    0",",,7","    0",",,7","  278",",,7","  178",",,7",,,,,,,,,"  206",",,7,0800",,,,,,,,,,
