"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","AWND","AWND_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WESD","WESD_ATTRIBUTES"
"USS0021B17S","2018-07-06","47.3","-121.6","1161.3","REX RIVER, WA US","   51",",,T","    0",",,T","  184",",,T","   86",",,T",,,"  130",",,T","   86",",,T","    0",",,T"
"USS0021B17S","2018-07-07","47.3","-121.6","1161.3","REX RIVER, WA US","    0",",,T","    0",",,T","  144",",,T","   74",",,T",,,"  102",",,T","   78",",,T","    0",",,T"
"USS0021B17S","2018-07-08","47.3","-121.6","1161.3","REX RIVER, WA US","    0",",,T","    0",",,T","  203",",,T","   73",",,T",,,"  134",",,T","  104",",,T","    0",",,T"
"USS0021B17S","2018-07-09","47.3","-121.6","1161.3","REX RIVER, WA US","    0",",,T","    0",",,T","  181",",,T","   85",",,T",,,"  124",",,T","   87",",,T","    0",",,T"
"USS0021B17S","2018-07-10","47.3","-121.6","1161.3","REX RIVER, WA US","   25",",,T","    0",",,T","  143",",,T","   73",",,T",,,"   98",",,T","   80",",I,T","    0",",,T"
"USS0021B17S","2018-07-11","47.3","-121.6","1161.3","REX RIVER, WA US","    0",",,T","    0",",,T","  244",",,T","  110",",I,T",,,"  176",",,T","  145",",,T",,
"USS0021B17S","2018-07-12","47.3","-121.6","1161.3","REX RIVER, WA US","    0",",,T","    0",",,T","  237",",,T","  133",",,T",,,"  183",",,T","  139",",,T","    0",",,T"
"USS0021B17S","2018-07-13","47.3","-121.6","1161.3","REX RIVER, WA US","    0",",,T","    0",",,T","  227",",,T","  122",",,T",,,"  171",",,T","  127",",,T","    0",",,T"
"USS0021B17S","2018-07-14","47.3","-121.6","1161.3","REX RIVER, WA US","    0",",,T","    0",",,T","  234",",,T","  102",",,T",,,"  170",",,T","  164",",,T","    0",",,T"
"USS0021B17S","2018-07-15","47.3","-121.6","1161.3","REX RIVER, WA US","    0",",,T","    0",",,T","  260",",,T","  146",",,T",,,"  206",",,T","  149",",,T","    0",",,T"
"USS0021B17S","2018-07-16","47.3","-121.6","1161.3","REX RIVER, WA US","    0",",,T","    0",",,T","  249",",,T","  145",",,T",,,"  194",",,T","  156",",,T","    0",",,T"
"USS0021B17S","2018-07-17","47.3","-121.6","1161.3","REX RIVER, WA US","    0",",,T","    0",",,T","  235",",,T","  118",",,T",,,"  179",",,T","  121",",,T","    0",",,T"
"USS0021B17S","2018-07-18","47.3","-121.6","1161.3","REX RIVER, WA US","    0",",,T","    0",",,T","  191",",,T","   97",",,T",,,"  139",",,T","  112",",,T","    0",",,T"
"USS0021B17S","2018-07-19","47.3","-121.6","1161.3","REX RIVER, WA US","    0",",,T","    0",",,T","  144",",,T","   85",",,T",,,"  106",",,T","   85",",,T","    0",",,T"
"USS0021B17S","2018-07-20","47.3","-121.6","1161.3","REX RIVER, WA US","    0",",,T","    0",",,T","  151",",,T","   69",",,T",,,"  103",",,T","   70",",,T","    0",",,T"
