"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","DATN","DATN_ATTRIBUTES","MDTN","MDTN_ATTRIBUTES"
"ASN00090176","2018-06-06","-38.0737","142.7744","130.0","MORTLAKE RACECOURSE, AS","    0",",,a","  182",",,a","   24",",,a",,,,
"ASN00090176","2018-06-07","-38.0737","142.7744","130.0","MORTLAKE RACECOURSE, AS","    0",",,a","  158",",,a","   59",",,a",,,,
"ASN00090176","2018-06-08","-38.0737","142.7744","130.0","MORTLAKE RACECOURSE, AS","    2",",,a","  155",",,a","  102",",,a",,,,
"ASN00090176","2018-06-09","-38.0737","142.7744","130.0","MORTLAKE RACECOURSE, AS","    0",",,a","  150",",,a","   50",",,a",,,,
"ASN00090176","2018-06-10","-38.0737","142.7744","130.0","MORTLAKE RACECOURSE, AS","    2",",,a","  164",",,a","   41",",,a",,,,
"ASN00090176","2018-06-11","-38.0737","142.7744","130.0","MORTLAKE RACECOURSE, AS","    0",",,a","  165",",,a","   22",",,a",,,,
"ASN00090176","2018-06-12","-38.0737","142.7744","130.0","MORTLAKE RACECOURSE, AS","  104",",,a","  153",",,a","   91",",,a",,,,
"ASN00090176","2018-06-13","-38.0737","142.7744","130.0","MORTLAKE RACECOURSE, AS","    8",",,a","  138",",,a","   39",",,a",,,,
"ASN00090176","2018-06-14","-38.0737","142.7744","130.0","MORTLAKE RACECOURSE, AS","    8",",,a","  144",",,a","   47",",,a",,,,
"ASN00090176","2018-06-15","-38.0737","142.7744","130.0","MORTLAKE RACECOURSE, AS","  122",",,a","  125",",,a","   66",",,a",,,,
"ASN00090176","2018-06-16","-38.0737","142.7744","130.0","MORTLAKE RACECOURSE, AS","   58",",,a","  107",",,a","   43",",,a",,,,
"ASN00090176","2018-06-17","-38.0737","142.7744","130.0","MORTLAKE RACECOURSE, AS","  226",",,a","  120",",,a","   46",",,a",,,,
"ASN00090176","2018-06-18","-38.0737","142.7744","130.0","MORTLAKE RACECOURSE, AS","   20",",,a","  117",",,a","   58",",,a",,,,
"ASN00090176","2018-06-19","-38.0737","142.7744","130.0","MORTLAKE RACECOURSE, AS","    0",",,a","  124",",,a","  -16",",,a",,,,
"ASN00090176","2018-06-20","-38.0737","142.7744","130.0","MORTLAKE RACECOURSE, AS","    0",",,a","  116",",,a","   28",",,a",,,,
"ASN00090176","2018-06-21","-38.0737","142.7744","130.0","MORTLAKE RACECOURSE, AS","    0",",,a","  142",",,a","   15",",,a",,,,
"ASN00090176","2018-06-22","-38.0737","142.7744","130.0","MORTLAKE RACECOURSE, AS","    0",",,a","  224",",,a","   -3",",,a",,,,
"ASN00090176","2018-06-23","-38.0737","142.7744","130.0","MORTLAKE RACECOURSE, AS","    0",",,a","  113",",,a","   16",",,a",,,,
"ASN00090176","2018-06-24","-38.0737","142.7744","130.0","MORTLAKE RACECOURSE, AS","   10",",,a","  113",",,a","   63",",,a",,,,
"ASN00090176","2018-06-25","-38.0737","142.7744","130.0","MORTLAKE RACECOURSE, AS","    0",",,a","  127",",,a","   68",",,a",,,,
"ASN00090176","2018-06-26","-38.0737","142.7744","130.0","MORTLAKE RACECOURSE, AS","    0",",,a","  128",",,a","   26",",,a",,,,
"ASN00090176","2018-06-27","-38.0737","142.7744","130.0","MORTLAKE RACECOURSE, AS","    0",",,a","  126",",,a","   39",",,a",,,,
"ASN00090176","2018-06-28","-38.0737","142.7744","130.0","MORTLAKE RACECOURSE, AS","    0",",,a","  127",",,a","   -4",",,a",,,,
"ASN00090176","2018-06-29","-38.0737","142.7744","130.0","MORTLAKE RACECOURSE, AS","    0",",,a","  141",",,a","   28",",,a",,,,
"ASN00090176","2018-06-30","-38.0737","142.7744","130.0","MORTLAKE RACECOURSE, AS","   56",",,a","  123",",,a","   66",",,a",,,,
"ASN00090176","2018-07-01","-38.0737","142.7744","130.0","MORTLAKE RACECOURSE, AS","    2",",,a","  135",",,a","   13",",,a",,,,
"ASN00090176","2018-07-02","-38.0737","142.7744","130.0","MORTLAKE RACECOURSE, AS","    0",",,a","  134",",,a","    9",",,a",,,,
"ASN00090176","2018-07-03","-38.0737","142.7744","130.0","MORTLAKE RACECOURSE, AS","    0",",,a","  143",",,a","   43",",,a",,,,
"ASN00090176","2018-07-04","-38.0737","142.7744","130.0","MORTLAKE RACECOURSE, AS","    0",",,a","  151",",,a","   85",",,a",,,,
"ASN00090176","2018-07-05","-38.0737","142.7744","130.0","MORTLAKE RACECOURSE, AS","   10",",,a","  132",",,a","   89",",,a",,,,
"ASN00090176","2018-07-06","-38.0737","142.7744","130.0","MORTLAKE RACECOURSE, AS","   98",",,a","  127",",,a","   76",",,a",,,,
"ASN00090176","2018-07-07","-38.0737","142.7744","130.0","MORTLAKE RACECOURSE, AS","   80",",,a","  112",",,a","   67",",,a",,,,
"ASN00090176","2018-07-08","-38.0737","142.7744","130.0","MORTLAKE RACECOURSE, AS","   60",",,a","  129",",,a","   75",",,a",,,,
"ASN00090176","2018-07-09","-38.0737","142.7744","130.0","MORTLAKE RACECOURSE, AS","   18",",,a","  122",",,a","   67",",,a",,,,
"ASN00090176","2018-07-10","-38.0737","142.7744","130.0","MORTLAKE RACECOURSE, AS","    0",",,a","  116",",,a","   75",",,a",,,,
"ASN00090176","2018-07-11","-38.0737","142.7744","130.0","MORTLAKE RACECOURSE, AS","   60",",,a","  106",",,a","   52",",,a",,,,
"ASN00090176","2018-07-12","-38.0737","142.7744","130.0","MORTLAKE RACECOURSE, AS","    2",",,a","  100",",,a","   -9",",,a",,,,
"ASN00090176","2018-07-13","-38.0737","142.7744","130.0","MORTLAKE RACECOURSE, AS","    2",",,a","  136",",,a","   -5",",,a",,,,
"ASN00090176","2018-07-14","-38.0737","142.7744","130.0","MORTLAKE RACECOURSE, AS","    0",",,a","  127",",,a","   -3",",,a",,,,
