"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","DASF","DASF_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","MDSF","MDSF_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WESD","WESD_ATTRIBUTES","WESF","WESF_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT11","WT11_ATTRIBUTES"
"USC00051060","2018-05-03","40.6158","-105.2969","2255.5","BUCKHORN MOUNTAIN 1 E, CO US","  391",",,7,0530","  157",",,7","   76",",,7","   44",",,7","   -6",",,7",,,,,,,,,"    0",",,7,0530",,,,,,,,,,,,,,,,
"USC00051060","2018-05-04","40.6158","-105.2969","2255.5","BUCKHORN MOUNTAIN 1 E, CO US","  112",",,7,0530","  102",",,7","   25",",,7","   72",",,7","   -6",",,7",,,,,,,,,"   72",",,7,0530",,,,,,,,,,,,,,,,
"USC00051060","2018-05-05","40.6158","-105.2969","2255.5","BUCKHORN MOUNTAIN 1 E, CO US","    0",",,7,0530","    0",",,7","    0",",,7","  167",",,7","   67",",,7",,,,,,,,,"  117",",,7,0530",,,,,,,,,,,,,,,,
"USC00051060","2018-05-06","40.6158","-105.2969","2255.5","BUCKHORN MOUNTAIN 1 E, CO US","    0",",,7,0530","    0",",,7","    0",",,7","  183",",,7","   83",",,7",,,,,,,,,"  128",",,7,0530",,,,,,,,,,,,,,,,
"USC00051060","2018-05-07","40.6158","-105.2969","2255.5","BUCKHORN MOUNTAIN 1 E, CO US","    0","T,,7,0530","    0",",,7","    0",",,7","  194",",,7","   83",",,7",,,,,,,,,"  133",",,7,0530",,,,,,,,,,,,,,,,
"USC00051060","2018-05-08","40.6158","-105.2969","2255.5","BUCKHORN MOUNTAIN 1 E, CO US","    0",",,7,0530","    0",",,7","    0",",,7","  211",",,7","   72",",,7",,,,,,,,,"  117",",,7,0530",,,,,,,,,,,,,,,,
"USC00051060","2018-05-09","40.6158","-105.2969","2255.5","BUCKHORN MOUNTAIN 1 E, CO US","    0",",,7,0530","    0",",,7","    0",",,7","  211",",,7","   67",",,7",,,,,,,,,"  128",",,7,0530",,,,,,,,,,,,,,,,
"USC00051060","2018-05-10","40.6158","-105.2969","2255.5","BUCKHORN MOUNTAIN 1 E, CO US","    0",",,7,0530","    0",",,7","    0",",,7","  211",",,7","   67",",,7",,,,,,,,,"  144",",,7,0530",,,,,,,,,,,,,,,,
"USC00051060","2018-05-11","40.6158","-105.2969","2255.5","BUCKHORN MOUNTAIN 1 E, CO US","    0",",,7,0530","    0",",,7","    0",",,7","  239",",,7","   56",",,7",,,,,,,,,"  100",",,7,0530",,,,,,,,,,,,,,,,
"USC00051060","2018-05-12","40.6158","-105.2969","2255.5","BUCKHORN MOUNTAIN 1 E, CO US","  173",",,7,0530","    0",",,7","    0",",,7","  156",",,7","   44",",,7",,,,,,,,,"   44",",,7,0530",,,,,,,,,,,,,,,,
"USC00051060","2018-05-13","40.6158","-105.2969","2255.5","BUCKHORN MOUNTAIN 1 E, CO US","  198",",,7,0530","    0",",,7","    0",",,7","   89",",,7","   44",",,7",,,,,,,,,"   72",",,7,0530",,,,,,,,,,,,,,,,
"USC00051060","2018-05-14","40.6158","-105.2969","2255.5","BUCKHORN MOUNTAIN 1 E, CO US","   10",",,7,0530","    0",",,7","    0",",,7","  111",",,7","   33",",,7",,,,,,,,,"   83",",,7,0530",,,,,,,,,,,,,,,,
"USC00051060","2018-05-15","40.6158","-105.2969","2255.5","BUCKHORN MOUNTAIN 1 E, CO US","   48",",,7,0530","    0",",,7","    0",",,7","  139",",,7","   28",",,7",,,,,,,,,"   67",",,7,0530",,,,,,,,,,,,,,,,
"USC00051060","2018-05-16","40.6158","-105.2969","2255.5","BUCKHORN MOUNTAIN 1 E, CO US","    0","T,,7,0530","    0",",,7","    0",",,7","  172",",,7","   56",",,7",,,,,,,,,"  100",",,7,0530",,,,,,,,,,,,,,,,
"USC00051060","2018-05-17","40.6158","-105.2969","2255.5","BUCKHORN MOUNTAIN 1 E, CO US","    0",",,7,0530","    0",",,7","    0",",,7","  211",",,7","   89",",,7",,,,,,,,,"  156",",,7,0530",,,,,,,,,,,,,,,,
"USC00051060","2018-05-18","40.6158","-105.2969","2255.5","BUCKHORN MOUNTAIN 1 E, CO US","    0",",,7,0530","    0",",,7","    0",",,7","  222",",,7","   61",",,7",,,,,,,,,"   83",",,7,0530",,,,,,,,,,,,,,,,
