"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","DATN","DATN_ATTRIBUTES","DATX","DATX_ATTRIBUTES","MDTN","MDTN_ATTRIBUTES","MDTX","MDTX_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES"
"ASN00013017","2018-07-06","-25.0341","128.301","598.0","GILES METEOROLOGICAL OFFICE, AS","    0",",,a","  170",",,a","   45",",,a",,,,,,,,,"   92","H,,S"
"ASN00013017","2018-07-07","-25.0341","128.301","598.0","GILES METEOROLOGICAL OFFICE, AS","    0",",,a","  192",",,a","    6",",,a",,,,,,,,,"  116","H,,S"
"ASN00013017","2018-07-08","-25.0341","128.301","598.0","GILES METEOROLOGICAL OFFICE, AS","    0",",,a","  200",",,a","   47",",,a",,,,,,,,,"  126","H,,S"
"ASN00013017","2018-07-09","-25.0341","128.301","598.0","GILES METEOROLOGICAL OFFICE, AS","    0",",,a","  205",",,a","   70",",,a",,,,,,,,,"  126","H,,S"
"ASN00013017","2018-07-10","-25.0341","128.301","598.0","GILES METEOROLOGICAL OFFICE, AS","    0",",,a","  207",",,a","   68",",,a",,,,,,,,,"  122","H,,S"
"ASN00013017","2018-07-11","-25.0341","128.301","598.0","GILES METEOROLOGICAL OFFICE, AS","    0",",,a","  199",",,a","   25",",,a",,,,,,,,,"  129","H,,S"
"ASN00013017","2018-07-12","-25.0341","128.301","598.0","GILES METEOROLOGICAL OFFICE, AS","    0",",,a","  205",",,a","   40",",,a",,,,,,,,,"  138","H,,S"
"ASN00013017","2018-07-13","-25.0341","128.301","598.0","GILES METEOROLOGICAL OFFICE, AS","    0",",,a","  218",",,a","   51",",,a",,,,,,,,,"  148","H,,S"
"ASN00013017","2018-07-14","-25.0341","128.301","598.0","GILES METEOROLOGICAL OFFICE, AS","    0",",,a","  226",",,a","   46",",,a",,,,,,,,,"  158","H,,S"
"ASN00013017","2018-07-15","-25.0341","128.301","598.0","GILES METEOROLOGICAL OFFICE, AS","    0",",,a","  240",",,a","   74",",,a",,,,,,,,,"  148","H,,S"
"ASN00013017","2018-07-16","-25.0341","128.301","598.0","GILES METEOROLOGICAL OFFICE, AS","    0",",,a","  223",",,a","   43",",,a",,,,,,,,,"  151","H,,S"
"ASN00013017","2018-07-17","-25.0341","128.301","598.0","GILES METEOROLOGICAL OFFICE, AS","    0",",,a","  230",",,a","   22",",,a",,,,,,,,,"  155","H,,S"
"ASN00013017","2018-07-18","-25.0341","128.301","598.0","GILES METEOROLOGICAL OFFICE, AS","    0",",,a","  252",",,a","   61",",,a",,,,,,,,,"  179","H,,S"
"ASN00013017","2018-07-19","-25.0341","128.301","598.0","GILES METEOROLOGICAL OFFICE, AS","    0",",,a","  228",",,a","   93",",,a",,,,,,,,,"  136","H,,S"
"ASN00013017","2018-07-20","-25.0341","128.301","598.0","GILES METEOROLOGICAL OFFICE, AS","    0",",,a","  228",",,a","   39",",,a",,,,,,,,,"  156","H,,S"
"ASN00013017","2018-07-21","-25.0341","128.301","598.0","GILES METEOROLOGICAL OFFICE, AS","    0",",,a","  263",",,a","   56",",,a",,,,,,,,,"  203","H,,S"
"ASN00013017","2018-07-22","-25.0341","128.301","598.0","GILES METEOROLOGICAL OFFICE, AS","    0",",,a","  288",",,a","  142",",,a",,,,,,,,,"  216","H,,S"
"ASN00013017","2018-07-23","-25.0341","128.301","598.0","GILES METEOROLOGICAL OFFICE, AS","    0",",,a","  253",",,a","  168",",,a",,,,,,,,,"  176","H,,S"
"ASN00013017","2018-07-24","-25.0341","128.301","598.0","GILES METEOROLOGICAL OFFICE, AS","    0",",,a","  245",",,a","   74",",,a",,,,,,,,,"  167","H,,S"
"ASN00013017","2018-07-25","-25.0341","128.301","598.0","GILES METEOROLOGICAL OFFICE, AS","    0",",,a","  248",",,a","  101",",,a",,,,,,,,,"  187","H,,S"
"ASN00013017","2018-07-26","-25.0341","128.301","598.0","GILES METEOROLOGICAL OFFICE, AS","    0",",,a","  265",",,a","  126",",,a",,,,,,,,,"  164","H,,S"
"ASN00013017","2018-07-27","-25.0341","128.301","598.0","GILES METEOROLOGICAL OFFICE, AS","    0",",,a","  208",",,a","   55",",,a",,,,,,,,,"  137","H,,S"
"ASN00013017","2018-07-28","-25.0341","128.301","598.0","GILES METEOROLOGICAL OFFICE, AS","    0",",,a","  210",",,a","   71",",,a",,,,,,,,,"  131","H,,S"
"ASN00013017","2018-07-29","-25.0341","128.301","598.0","GILES METEOROLOGICAL OFFICE, AS","    0",",,a","  214",",,a","   60",",,a",,,,,,,,,"  149","H,,S"
"ASN00013017","2018-07-30","-25.0341","128.301","598.0","GILES METEOROLOGICAL OFFICE, AS","    0",",,a","  254",",,a","   65",",,a",,,,,,,,,"  181","H,,S"
"ASN00013017","2018-07-31","-25.0341","128.301","598.0","GILES METEOROLOGICAL OFFICE, AS","    0",",,a","  268",",,a","  123",",,a",,,,,,,,,"  195","H,,S"
"ASN00013017","2018-08-01","-25.0341","128.301","598.0","GILES METEOROLOGICAL OFFICE, AS","    0",",,a","  281",",,a","  133",",,a",,,,,,,,,"  229","H,,S"
"ASN00013017","2018-08-02","-25.0341","128.301","598.0","GILES METEOROLOGICAL OFFICE, AS","    0",",,a","  190",",,a","  161",",,a",,,,,,,,,"   89","H,,S"
