"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","AWND","AWND_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES","SN51","SN51_ATTRIBUTES","SN52","SN52_ATTRIBUTES","SX51","SX51_ATTRIBUTES","SX52","SX52_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT11","WT11_ATTRIBUTES"
"USC00403447","2018-07-07","35.0761","-89.743","97.5","GERMANTOWN 4 SE, TN US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  339",",,7","  239",",,7","   45",",,7",,,"  244",",,7,0800","   40",",,7","   85",",,7","  267",",,7",,,"  289",",,7",,,,,,,,,,,,,,
"USC00403447","2018-07-08","35.0761","-89.743","97.5","GERMANTOWN 4 SE, TN US","    3",",,7,0800","    0",",,7,0800","    0",",,7,0800","  317",",,7","  233",",,7","   31",",,7",,,"  256",",,7,0800","   40",",,7","   76",",,7","  261",",,7",,,"  283",",,7",,,,,,,,,,,,,,
"USC00403447","2018-07-09","35.0761","-89.743","97.5","GERMANTOWN 4 SE, TN US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  328",",,7","  239",",,7","   40",",,7",,,"  250",",,7,0800","  120",",,7","   67",",,7","  261",",,7",,,"  289",",,7",,,,,,,,,,,,,,
"USC00403447","2018-07-10","35.0761","-89.743","97.5","GERMANTOWN 4 SE, TN US","   10",",,7,0800","    0",",,7,0800","    0",",,7,0800","  344",",,7","  239",",,7","    0",",,7",,,"  256",",,7,0800","    9",",,7","  179",",,7","  267",",,7",,,"  283",",,7",,,,,,,,,,,,,,
"USC00403447","2018-07-11","35.0761","-89.743","97.5","GERMANTOWN 4 SE, TN US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  356",",,7","  244",",,7","    0",",,7",,,"  261",",,7,0800","  110",",,7","   49",",,7","  267",",,7",,,"  289",",,7",,,,,,,,,,,,,,
"USC00403447","2018-07-12","35.0761","-89.743","97.5","GERMANTOWN 4 SE, TN US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  350",",,7","  250",",,7","    9",",,7",,,"  267",",,7,0800","  240",",,7","   85",",,7","  267",",,7",,,"  294",",,7",,,,,,,,,,,,,,
"USC00403447","2018-07-13","35.0761","-89.743","97.5","GERMANTOWN 4 SE, TN US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  372",",,7","  244",",,7","    0",",,7",,,"  267",",,7,0800","  220",",,7","   85",",,7","  261",",,7",,,"  294",",,7",,,,,,,,,,,,,,
"USC00403447","2018-07-14","35.0761","-89.743","97.5","GERMANTOWN 4 SE, TN US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  372",",,7","  261",",,7","   18",",,7",,,"  283",",,7,0800","   60",",,7","   54",",,7","  261",",,7",,,"  294",",,7",,,,,,,,,,,,,,
"USC00403447","2018-07-15","35.0761","-89.743","97.5","GERMANTOWN 4 SE, TN US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  378",",,7","  267",",,7","    0",",,7",,,"  272",",,7,0800","  230",",,7","   58",",,7","  272",",,7",,,"  300",",,7",,,,,,,,,,,,,,
"USC00403447","2018-07-16","35.0761","-89.743","97.5","GERMANTOWN 4 SE, TN US","  432",",,7,0800","    0",",,7,0800","    0",",,7,0800","  350",",,7","  239",",,7","   13",",,7",,,"  256",",,7,0800","  180",",,7","  112",",,7","  250",",,7",,,"  289",",,7",,,,,,,,,,,,,,
"USC00403447","2018-07-17","35.0761","-89.743","97.5","GERMANTOWN 4 SE, TN US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  356",",,7","  250",",,7","   27",",,7",,,"  272",",,7,0800","  180",",,7","   76",",,7",,,,,,,,,,,,,,,,,,,,
