"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00322148","2018-07-06","48.11667","-98.9","439.2","DEVILS LAKE MUNICIPAL AIRPORT, ND US","    0",",,H","    0",",,H","    0",",,H","  267",",,H","  161",",,H"
"USC00322148","2018-07-07","48.11667","-98.9","439.2","DEVILS LAKE MUNICIPAL AIRPORT, ND US","    0",",,H","    0",",,H","    0",",,H","  322",",,H","  211",",,H"
"USC00322148","2018-07-08","48.11667","-98.9","439.2","DEVILS LAKE MUNICIPAL AIRPORT, ND US",,,"    0",",,H","    0",",,H","  300",",,H","  172",",,H"
"USC00322148","2018-07-09","48.11667","-98.9","439.2","DEVILS LAKE MUNICIPAL AIRPORT, ND US",,,"    0",",,H","    0",",,H","  283",",,H","  144",",,H"
"USC00322148","2018-07-10","48.11667","-98.9","439.2","DEVILS LAKE MUNICIPAL AIRPORT, ND US",,,"    0",",,H","    0",",,H","  267",",,H","  206",",,H"
"USC00322148","2018-07-11","48.11667","-98.9","439.2","DEVILS LAKE MUNICIPAL AIRPORT, ND US",,,"    0",",,H","    0",",,H","  289",",,H","  200",",,H"
"USC00322148","2018-07-12","48.11667","-98.9","439.2","DEVILS LAKE MUNICIPAL AIRPORT, ND US",,,"    0",",,H","    0",",,H","  289",",,H","  172",",,H"
"USC00322148","2018-07-13","48.11667","-98.9","439.2","DEVILS LAKE MUNICIPAL AIRPORT, ND US","    0",",,H","    0",",,H","    0",",,H","  300",",,H","  172",",,H"
"USC00322148","2018-07-14","48.11667","-98.9","439.2","DEVILS LAKE MUNICIPAL AIRPORT, ND US","    0",",,H","    0",",,H","    0",",,H","  322",",,H","  194",",,H"
"USC00322148","2018-07-15","48.11667","-98.9","439.2","DEVILS LAKE MUNICIPAL AIRPORT, ND US","    0",",,H","    0",",,H","    0",",,H","  244",",,H","  139",",,H"
"USC00322148","2018-07-16","48.11667","-98.9","439.2","DEVILS LAKE MUNICIPAL AIRPORT, ND US","    0",",,H","    0",",,H","    0",",,H","  228",",,H","  122",",,H"
"USC00322148","2018-07-17","48.11667","-98.9","439.2","DEVILS LAKE MUNICIPAL AIRPORT, ND US","    0",",,H",,,,,"  256",",,H","  111",",,H"
"USC00322148","2018-07-18","48.11667","-98.9","439.2","DEVILS LAKE MUNICIPAL AIRPORT, ND US","    0",",,H",,,,,"  300",",,H","  178",",,H"
"USC00322148","2018-07-19","48.11667","-98.9","439.2","DEVILS LAKE MUNICIPAL AIRPORT, ND US","    3",",,H","    0",",,H","    0",",,H","  283",",,H","  167",",,H"
