"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","AWND","AWND_ATTRIBUTES","FMTM","FMTM_ATTRIBUTES","PGTM","PGTM_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES"
"USW00054780","2018-06-28","41.07306","-71.92333","2.1","MONTAUK AIRPORT, NY US","    5",",,W",,,"  217",",,W","  194",",,W","   27",",,W",,," 0715",",,W",,,"  170",",,W","  190",",,W","   45",",,W","   89",",,W"
"USW00054780","2018-06-29","41.07306","-71.92333","2.1","MONTAUK AIRPORT, NY US","    0",",,W",,,"  306",",,W","  189",",,W","   22",",,W",,," 0959",",,W",,,"  290",",,W","  300",",,W","   45",",,W","   72",",,W"
"USW00054780","2018-06-30","41.07306","-71.92333","2.1","MONTAUK AIRPORT, NY US","    0",",,W",,,"  311",",,W","  178",",,W","   14",",,W",,," 2343",",,W",,,"  250",",,W","  240",",,W","   31",",,W","   54",",,W"
"USW00054780","2018-07-01","41.07306","-71.92333","2.1","MONTAUK AIRPORT, NY US","    0",",,W",,,"  322",",,W","  211",",,W","   13",",,W",,," 1015",",,W",,,"  280",",,W","  280",",,W","   40",",,W","   63",",,W"
"USW00054780","2018-07-02","41.07306","-71.92333","2.1","MONTAUK AIRPORT, NY US","    0",",,W",,,"  294",",,W","  200",",,W","   15",",,W",,," 1558",",,W",,,"  160",",,W","  160",",,W","   31",",,W","   49",",,W"
"USW00054780","2018-07-03","41.07306","-71.92333","2.1","MONTAUK AIRPORT, NY US","    0",",,W",,,"  256",",,W","  222",",,W","   14",",,W",,," 1403",",,W",,,"  200",",,W","  220",",,W","   31",",,W","   58",",,W"
"USW00054780","2018-07-04","41.07306","-71.92333","2.1","MONTAUK AIRPORT, NY US","    0",",,W",,,"  306",",,W","  239",",,W","   12",",,W",,," 1647",",,W",,,"  330",",,W","  210",",,W","   40",",,W","   54",",,W"
"USW00054780","2018-07-05","41.07306","-71.92333","2.1","MONTAUK AIRPORT, NY US","    0",",,W",,,"  300",",,W","  239",",,W","   26",",,W",,," 2336",",,W",,,"  220",",,W","  210",",,W","   54",",,W","   98",",,W"
"USW00054780","2018-07-06","41.07306","-71.92333","2.1","MONTAUK AIRPORT, NY US","   58",",,W",,,"  261",",,W","  200",",,W","   39",",,W",,," 0602",",,W",,,"   10",",,W","  220",",,W","   58",",,W","  116",",,W"
"USW00054780","2018-07-07","41.07306","-71.92333","2.1","MONTAUK AIRPORT, NY US","    0",",,W",,,"  233",",,W","  133",",,W","   26",",,W",,," 0025",",,W",,,"  360",",,W","  350",",,W","   67",",,W","  107",",,W"
"USW00054780","2018-07-08","41.07306","-71.92333","2.1","MONTAUK AIRPORT, NY US","    0",",,W",,,"  244",",,W","  122",",,W","    9",",,W",,," 1426",",,W",,,"  150",",,W","  160",",,W","   31",",,W","   54",",,W"
"USW00054780","2018-07-09","41.07306","-71.92333","2.1","MONTAUK AIRPORT, NY US","    0",",,W",,,"  250",",,W","  133",",,W","   22",",,W",,," 1712",",,W",,,"  200",",,W","  190",",,W","   45",",,W","   89",",,W"
