"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","DATN","DATN_ATTRIBUTES","DATX","DATX_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","MDTN","MDTN_ATTRIBUTES","MDTX","MDTX_ATTRIBUTES"
"ASN00023894","2018-06-14","-35.5194","138.8177","11.0","HINDMARSH ISLAND AWS, AS","   48",",,a","  163",",,a","   96",",,a",,,,,,,,,,,,
"ASN00023894","2018-06-15","-35.5194","138.8177","11.0","HINDMARSH ISLAND AWS, AS","   34",",,a","  155",",,a","  102",",,a",,,,,,,,,,,,
"ASN00023894","2018-06-16","-35.5194","138.8177","11.0","HINDMARSH ISLAND AWS, AS","   14",",,a","  129",",,a","   88",",,a",,,,,,,,,,,,
"ASN00023894","2018-06-17","-35.5194","138.8177","11.0","HINDMARSH ISLAND AWS, AS","   50",",,a","  135",",,a","   88",",,a",,,,,,,,,,,,
"ASN00023894","2018-06-18","-35.5194","138.8177","11.0","HINDMARSH ISLAND AWS, AS","   14",",,a","  138",",,a","   86",",,a",,,,,,,,,,,,
"ASN00023894","2018-06-19","-35.5194","138.8177","11.0","HINDMARSH ISLAND AWS, AS","    0",",,a","  139",",,a","   66",",,a",,,,,,,,,,,,
"ASN00023894","2018-06-20","-35.5194","138.8177","11.0","HINDMARSH ISLAND AWS, AS","    0",",,a","  162",",,a","   50",",,a",,,,,,,,,,,,
"ASN00023894","2018-06-21","-35.5194","138.8177","11.0","HINDMARSH ISLAND AWS, AS","    0",",,a","  155",",,a","   73",",,a",,,,,,,,,,,,
"ASN00023894","2018-06-22","-35.5194","138.8177","11.0","HINDMARSH ISLAND AWS, AS","    2",",,a","  166",",,a","   49",",,a",,,,,,,,,,,,
"ASN00023894","2018-06-23","-35.5194","138.8177","11.0","HINDMARSH ISLAND AWS, AS","    0",",,a","  173",",,a","   70",",,a",,,,,,,,,,,,
"ASN00023894","2018-06-24","-35.5194","138.8177","11.0","HINDMARSH ISLAND AWS, AS","   10",",,a","  150",",,a","   98",",,a",,,,,,,,,,,,
"ASN00023894","2018-06-25","-35.5194","138.8177","11.0","HINDMARSH ISLAND AWS, AS","    2",",,a","  127",",,a","   77",",,a",,,,,,,,,,,,
"ASN00023894","2018-06-26","-35.5194","138.8177","11.0","HINDMARSH ISLAND AWS, AS","    0",",,a","  136",",,a","   35",",,a",,,,,,,,,,,,
"ASN00023894","2018-06-27","-35.5194","138.8177","11.0","HINDMARSH ISLAND AWS, AS","    0",",,a","  135",",,a","   33",",,a",,,,,,,,,,,,
"ASN00023894","2018-06-28","-35.5194","138.8177","11.0","HINDMARSH ISLAND AWS, AS","    0",",,a","  151",",,a","   37",",,a",,,,,,,,,,,,
"ASN00023894","2018-06-29","-35.5194","138.8177","11.0","HINDMARSH ISLAND AWS, AS","    0",",,a","  149",",,a","   64",",,a",,,,,,,,,,,,
"ASN00023894","2018-06-30","-35.5194","138.8177","11.0","HINDMARSH ISLAND AWS, AS","   42",",,a","  149",",,a","   87",",,a",,,,,,,,,,,,
"ASN00023894","2018-07-01","-35.5194","138.8177","11.0","HINDMARSH ISLAND AWS, AS","    2",",,a","  157",",,a","   61",",,a",,,,,,,,,,,,
"ASN00023894","2018-07-02","-35.5194","138.8177","11.0","HINDMARSH ISLAND AWS, AS","    0",",,a","  167",",,a","   39",",,a",,,,,,,,,,,,
"ASN00023894","2018-07-03","-35.5194","138.8177","11.0","HINDMARSH ISLAND AWS, AS","    0",",,a","  183",",,a","   71",",,a",,,,,,,,,,,,
"ASN00023894","2018-07-04","-35.5194","138.8177","11.0","HINDMARSH ISLAND AWS, AS","    0",",,a","  209",",,a","  120",",,a",,,,,,,,,,,,
