"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","DATN","DATN_ATTRIBUTES","DATX","DATX_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","MDTN","MDTN_ATTRIBUTES","MDTX","MDTX_ATTRIBUTES"
"ASN00015652","2018-05-26","-24.2914","131.5488","614.0","WATARRKA, AS","    0",",,a",,,,,,,"    6",",,a",,,,,"   25",",,a",,
"ASN00015652","2018-05-27","-24.2914","131.5488","614.0","WATARRKA, AS","    0",",,a",,,,,,,,,"    2",",,a",,,,,"  285",",,a"
"ASN00015652","2018-05-28","-24.2914","131.5488","614.0","WATARRKA, AS","    0",",,a",,,,,,,"    2",",,a",,,,,"   70",",,a",,
"ASN00015652","2018-05-29","-24.2914","131.5488","614.0","WATARRKA, AS","    0",",,a",,,,,,,,,"    2",",,a",,,,,"  295",",,a"
"ASN00015652","2018-05-30","-24.2914","131.5488","614.0","WATARRKA, AS","    0",",,a","  232",",,a",,,,,"    2",",,a",,,,,"  114",",,a",,
"ASN00015652","2018-05-31","-24.2914","131.5488","614.0","WATARRKA, AS","    0",",,a",,,"   80",",,a",,,,,,,,,,,,
"ASN00015652","2018-06-01","-24.2914","131.5488","614.0","WATARRKA, AS","    0",",,a",,,,,,,,,,,,,,,,
"ASN00015652","2018-06-02","-24.2914","131.5488","614.0","WATARRKA, AS","    0",",,a",,,,,,,,,,,,,,,,
"ASN00015652","2018-06-03","-24.2914","131.5488","614.0","WATARRKA, AS","    0",",,a",,,,,,,,,"    4",",,a",,,,,"  242",",,a"
"ASN00015652","2018-06-04","-24.2914","131.5488","614.0","WATARRKA, AS","    0",",,a","  220",",,a",,,,,"    4",",,a",,,,,"   20",",,a",,
"ASN00015652","2018-06-05","-24.2914","131.5488","614.0","WATARRKA, AS","    0",",,a",,,"   98",",,a",,,,,,,,,,,,
"ASN00015652","2018-06-06","-24.2914","131.5488","614.0","WATARRKA, AS","    0",",,a",,,,,,,,,,,,,,,,
"ASN00015652","2018-06-07","-24.2914","131.5488","614.0","WATARRKA, AS","    0",",,a",,,,,,,,,,,,,,,,
"ASN00015652","2018-06-08","-24.2914","131.5488","614.0","WATARRKA, AS","    0",",,a",,,,,,,,,,,,,,,,
"ASN00015652","2018-06-09","-24.2914","131.5488","614.0","WATARRKA, AS","    0",",,a",,,,,,,,,,,,,,,,
"ASN00015652","2018-06-10","-24.2914","131.5488","614.0","WATARRKA, AS","    0",",,a",,,,,,,,,,,,,,,,
"ASN00015652","2018-06-11","-24.2914","131.5488","614.0","WATARRKA, AS","    0",",,a",,,,,,,,,"    7",",,a",,,,,"  325",",,a"
"ASN00015652","2018-06-12","-24.2914","131.5488","614.0","WATARRKA, AS","    0",",,a",,,"   80",",,a",,,,,,,,,,,,
"ASN00015652","2018-06-13","-24.2914","131.5488","614.0","WATARRKA, AS","    0",",,a",,,,,,,,,,,,,,,,
"ASN00015652","2018-06-14","-24.2914","131.5488","614.0","WATARRKA, AS","    0",",,a",,,,,,,,,"    3",",,a",,,,,"  249",",,a"
"ASN00015652","2018-06-15","-24.2914","131.5488","614.0","WATARRKA, AS","    0",",,a",,,,,,,"    3",",,a","    4",",L,a",,,"   14",",,a","  218",",L,a"
