"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","DATN","DATN_ATTRIBUTES","DATX","DATX_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","MDTN","MDTN_ATTRIBUTES","MDTX","MDTX_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES"
"ASN00014040","2018-06-29","-12.4227","130.8844","30.0","DARWIN AIRPORT COMPARISON, AS","    0",",,S","  320",",,S","  193",",,S",,,,,,,,,,,,,"  258","H,,S"
"ASN00014040","2018-06-30","-12.4227","130.8844","30.0","DARWIN AIRPORT COMPARISON, AS","    0",",,S","  334",",,S","  213",",,S",,,,,,,,,,,,,"  271","H,,S"
"ASN00014040","2018-07-01","-12.4227","130.8844","30.0","DARWIN AIRPORT COMPARISON, AS","    0",",,S","  335",",,S","  220",",,S",,,,,,,,,,,,,"  286","H,,S"
"ASN00014040","2018-07-02","-12.4227","130.8844","30.0","DARWIN AIRPORT COMPARISON, AS","    0",",,S",,,,,,,,,,,,,,,,,"  277","H,,S"
"ASN00014040","2018-07-03","-12.4227","130.8844","30.0","DARWIN AIRPORT COMPARISON, AS","    0",",,S","  331",",,S",,,,,,,,,,,,,,,"  268","H,,S"
"ASN00014040","2018-07-04","-12.4227","130.8844","30.0","DARWIN AIRPORT COMPARISON, AS","    0",",,S",,,,,,,,,,,,,,,,,"  259","H,,S"
"ASN00014040","2018-07-05","-12.4227","130.8844","30.0","DARWIN AIRPORT COMPARISON, AS","    0",",,S",,,,,,,,,,,,,,,,,"  255","H,,S"
"ASN00014040","2018-07-06","-12.4227","130.8844","30.0","DARWIN AIRPORT COMPARISON, AS","    0",",,S","  316",",,S",,,,,,,,,,,,,,,"  256","H,,S"
"ASN00014040","2018-07-07","-12.4227","130.8844","30.0","DARWIN AIRPORT COMPARISON, AS","    0",",,S","  321",",,S",,,,,,,,,,,,,,,"  249","H,,S"
"ASN00014040","2018-07-08","-12.4227","130.8844","30.0","DARWIN AIRPORT COMPARISON, AS","    0",",,S",,,,,,,,,,,,,,,,,"  246","H,,S"
