"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","DATN","DATN_ATTRIBUTES","DATX","DATX_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","MDTN","MDTN_ATTRIBUTES","MDTX","MDTX_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES"
"ASN00091306","2018-08-09","-41.7256","147.0794","148.0","CRESSY RESEARCH STATION, AS","    0",",,a","  133",",,a","   37",",,a",,,,,,,,,,,,,"  102","H,,S"
"ASN00091306","2018-08-10","-41.7256","147.0794","148.0","CRESSY RESEARCH STATION, AS","    0",",,a","  138",",,a","   63",",,a",,,,,,,,,,,,,"   96","H,,S"
"ASN00091306","2018-08-11","-41.7256","147.0794","148.0","CRESSY RESEARCH STATION, AS","   76",",,a","  101",",,a","   60",",,a",,,,,,,,,,,,,"   41","H,,S"
"ASN00091306","2018-08-12","-41.7256","147.0794","148.0","CRESSY RESEARCH STATION, AS","   14",",,a","  118",",,a","  -14",",,a",,,,,,,,,,,,,"   62","H,,S"
"ASN00091306","2018-08-13","-41.7256","147.0794","148.0","CRESSY RESEARCH STATION, AS","    0",",,a","  141",",,a","   35",",,a",,,,,,,,,,,,,"  103","H,,S"
"ASN00091306","2018-08-14","-41.7256","147.0794","148.0","CRESSY RESEARCH STATION, AS","    0",",,a","  150",",,a","   68",",,a",,,,,,,,,,,,,"  113","H,,S"
"ASN00091306","2018-08-15","-41.7256","147.0794","148.0","CRESSY RESEARCH STATION, AS","   46",",,a","  121",",,a","   75",",,a",,,,,,,,,,,,,"   70","H,,S"
"ASN00091306","2018-08-16","-41.7256","147.0794","148.0","CRESSY RESEARCH STATION, AS",,,"  133",",,a","   42",",,a",,,,,,,,,,,,,"   63","H,,S"
"ASN00091306","2018-08-17","-41.7256","147.0794","148.0","CRESSY RESEARCH STATION, AS",,,"  119",",,a","   28",",,a",,,,,,,,,,,,,"   87","H,,S"
"ASN00091306","2018-08-18","-41.7256","147.0794","148.0","CRESSY RESEARCH STATION, AS",,,"  110",",,a","   51",",,a",,,,,,,,,,,,,"   41","H,,S"
"ASN00091306","2018-08-19","-41.7256","147.0794","148.0","CRESSY RESEARCH STATION, AS",,,"  103",",,a","    1",",,a",,,,,,,,,,,,,"   33","H,,S"
"ASN00091306","2018-08-20","-41.7256","147.0794","148.0","CRESSY RESEARCH STATION, AS","    0",",,a","   91",",,a","  -17",",,a",,,,,,,,,,,,,"   42","H,,S"
"ASN00091306","2018-08-21","-41.7256","147.0794","148.0","CRESSY RESEARCH STATION, AS","    4",",,a","  135",",,a","    7",",,a",,,,,,,,,,,,,"   52","H,,S"
"ASN00091306","2018-08-22","-41.7256","147.0794","148.0","CRESSY RESEARCH STATION, AS",,,"  125",",,a",,,,,,,,,,,,,,,"   47","H,,S"
"ASN00091306","2018-08-23","-41.7256","147.0794","148.0","CRESSY RESEARCH STATION, AS","    0",",,a","  128",",,a",,,,,"    2",",,a",,,,,"  -26",",,a",,,"   74","H,,S"
"ASN00091306","2018-08-24","-41.7256","147.0794","148.0","CRESSY RESEARCH STATION, AS",,,"  148",",,a","   17",",,a",,,,,,,,,,,,,"   92","H,,S"
"ASN00091306","2018-08-25","-41.7256","147.0794","148.0","CRESSY RESEARCH STATION, AS","    0",",,a","  142",",,a","   49",",,a",,,,,,,,,,,,,"   80","H,,S"
"ASN00091306","2018-08-26","-41.7256","147.0794","148.0","CRESSY RESEARCH STATION, AS","    0",",,a",,,"   40",",,a",,,,,,,,,,,,,"   61","H,,S"
"ASN00091306","2018-08-27","-41.7256","147.0794","148.0","CRESSY RESEARCH STATION, AS",,,,,"   16",",,a",,,,,,,,,,,,,"   34","H,,S"
"ASN00091306","2018-08-28","-41.7256","147.0794","148.0","CRESSY RESEARCH STATION, AS",,,"   99",",,a","  -35",",,a",,,,,,,,,,,,,"   45","H,,S"
"ASN00091306","2018-08-29","-41.7256","147.0794","148.0","CRESSY RESEARCH STATION, AS",,,"  114",",,a","  -17",",,a",,,,,,,,,,,,,"   42","H,,S"
"ASN00091306","2018-08-30","-41.7256","147.0794","148.0","CRESSY RESEARCH STATION, AS",,,"  112",",,a","  -33",",,a",,,,,,,,,,,,,"   82","H,,S"
"ASN00091306","2018-08-31","-41.7256","147.0794","148.0","CRESSY RESEARCH STATION, AS",,,"  112",",,a","  -13",",,a",,,,,,,,,,,,,"   67","H,,S"
"ASN00091306","2018-09-01","-41.7256","147.0794","148.0","CRESSY RESEARCH STATION, AS",,,"  118",",,a",,,,,,,,,,,,,,,"   52","H,,S"
"ASN00091306","2018-09-02","-41.7256","147.0794","148.0","CRESSY RESEARCH STATION, AS",,,"  140",",,a","   15",",,a",,,,,,,,,,,,,"   67","H,,S"
"ASN00091306","2018-09-03","-41.7256","147.0794","148.0","CRESSY RESEARCH STATION, AS",,,"  132",",,a","   -7",",,a",,,,,,,,,,,,,"   64","H,,S"
"ASN00091306","2018-09-04","-41.7256","147.0794","148.0","CRESSY RESEARCH STATION, AS","    0",",,a","  140",",,a","    3",",,a",,,,,,,,,,,,,"   73","H,,S"
"ASN00091306","2018-09-05","-41.7256","147.0794","148.0","CRESSY RESEARCH STATION, AS","    0",",,a","  145",",,a","   24",",,a",,,,,,,,,,,,,"  121","H,,S"
"ASN00091306","2018-09-06","-41.7256","147.0794","148.0","CRESSY RESEARCH STATION, AS","   14",",,a",,,"   61",",,a",,,,,,,,,,,,,"   96","H,,S"
"ASN00091306","2018-09-07","-41.7256","147.0794","148.0","CRESSY RESEARCH STATION, AS",,,"  151",",,a",,,,,,,,,,,,,,,"   71","H,,S"
"ASN00091306","2018-09-08","-41.7256","147.0794","148.0","CRESSY RESEARCH STATION, AS",,,"  133",",,a",,,,,,,,,,,,,,,"   88","H,,S"
"ASN00091306","2018-09-09","-41.7256","147.0794","148.0","CRESSY RESEARCH STATION, AS","    4",",,a","  169",",,a","   57",",,a",,,,,,,,,,,,,"   95","H,,S"
"ASN00091306","2018-09-10","-41.7256","147.0794","148.0","CRESSY RESEARCH STATION, AS","    2",",,a","  183",",,a","   32",",,a",,,,,,,,,,,,,"  102","H,,S"
"ASN00091306","2018-09-11","-41.7256","147.0794","148.0","CRESSY RESEARCH STATION, AS",,,"  149",",,a",,,,,,,,,,,,,,,"  117","H,,S"
"ASN00091306","2018-09-12","-41.7256","147.0794","148.0","CRESSY RESEARCH STATION, AS","   12",",,a","  148",",,a","   77",",,a",,,,,,,,,,,,,"  102","H,,S"
"ASN00091306","2018-09-13","-41.7256","147.0794","148.0","CRESSY RESEARCH STATION, AS",,,"  143",",,a",,,,,,,,,,,,,,,"  113","H,,S"
"ASN00091306","2018-09-14","-41.7256","147.0794","148.0","CRESSY RESEARCH STATION, AS","    6",",,a","  166",",,a","  103",",,a",,,,,,,,,,,,,"  132","H,,S"
"ASN00091306","2018-09-15","-41.7256","147.0794","148.0","CRESSY RESEARCH STATION, AS","   28",",,a","  123",",,a","   72",",,a",,,,,,,,,,,,,"   63","H,,S"
"ASN00091306","2018-09-16","-41.7256","147.0794","148.0","CRESSY RESEARCH STATION, AS","   62",",,a","  140",",,a","    7",",,a",,,,,,,,,,,,,"   79","H,,S"
"ASN00091306","2018-09-17","-41.7256","147.0794","148.0","CRESSY RESEARCH STATION, AS","    0",",,a",,,"   24",",,a",,,,,,,,,,,,,,
"ASN00091306","2018-09-18","-41.7256","147.0794","148.0","CRESSY RESEARCH STATION, AS",,,"  154",",,a",,,,,,,,,,,,,,,"   62","H,,S"
"ASN00091306","2018-09-19","-41.7256","147.0794","148.0","CRESSY RESEARCH STATION, AS",,,"  147",",,a",,,,,,,,,,,,,,,"   56","H,,S"
"ASN00091306","2018-09-20","-41.7256","147.0794","148.0","CRESSY RESEARCH STATION, AS","   14",",,a","  162",",,a","  -18",",,a",,,,,,,,,,,,,"   94","H,,S"
"ASN00091306","2018-09-21","-41.7256","147.0794","148.0","CRESSY RESEARCH STATION, AS","    0",",,a","  176",",,a","   51",",,a",,,,,,,,,,,,,"   98","H,,S"
"ASN00091306","2018-09-22","-41.7256","147.0794","148.0","CRESSY RESEARCH STATION, AS","    0",",,a","  171",",,a","   33",",,a",,,,,,,,,,,,,"   85","H,,S"
"ASN00091306","2018-09-23","-41.7256","147.0794","148.0","CRESSY RESEARCH STATION, AS","    0",",,a","  126",",,a","   10",",,a",,,,,,,,,,,,,"   56","H,,S"
"ASN00091306","2018-09-24","-41.7256","147.0794","148.0","CRESSY RESEARCH STATION, AS","    0",",,a","  129",",,a","  -22",",,a",,,,,,,,,,,,,"   43","H,,S"
"ASN00091306","2018-09-25","-41.7256","147.0794","148.0","CRESSY RESEARCH STATION, AS","    0",",,a","  146",",,a","   -1",",,a",,,,,,,,,,,,,"   82","H,,S"
"ASN00091306","2018-09-26","-41.7256","147.0794","148.0","CRESSY RESEARCH STATION, AS","    0",",,a","  148",",,a","    9",",,a",,,,,,,,,,,,,"   74","H,,S"
"ASN00091306","2018-09-27","-41.7256","147.0794","148.0","CRESSY RESEARCH STATION, AS","    0",",,a","  167",",,a","   17",",,a",,,,,,,,,,,,,"  109","H,,S"
"ASN00091306","2018-09-28","-41.7256","147.0794","148.0","CRESSY RESEARCH STATION, AS","    0",",,a","  144",",,a","   66",",,a",,,,,,,,,,,,,"   67","H,,S"
"ASN00091306","2018-09-29","-41.7256","147.0794","148.0","CRESSY RESEARCH STATION, AS","    2",",,a","  152",",,a","  -27",",,a",,,,,,,,,,,,,"   77","H,,S"
"ASN00091306","2018-09-30","-41.7256","147.0794","148.0","CRESSY RESEARCH STATION, AS","    2",",,a","  191",",,a","   -2",",,a",,,,,,,,,,,,,"  101","H,,S"
"ASN00091306","2018-10-01","-41.7256","147.0794","148.0","CRESSY RESEARCH STATION, AS","    0",",,a","  182",",,a","    7",",,a",,,,,,,,,,,,,"  109","H,,S"
"ASN00091306","2018-10-02","-41.7256","147.0794","148.0","CRESSY RESEARCH STATION, AS","    0",",,a","  184",",,a","   75",",,a",,,,,,,,,,,,,"  122","H,,S"
"ASN00091306","2018-10-03","-41.7256","147.0794","148.0","CRESSY RESEARCH STATION, AS","   10",",,a","  181",",,a","   64",",,a",,,,,,,,,,,,,"  103","H,,S"
"ASN00091306","2018-10-04","-41.7256","147.0794","148.0","CRESSY RESEARCH STATION, AS","    0",",,a",,,"   11",",,a",,,,,,,,,,,,,"  107","H,,S"
"ASN00091306","2018-10-05","-41.7256","147.0794","148.0","CRESSY RESEARCH STATION, AS",,,"  163",",,a","   80",",,a",,,,,,,,,,,,,"   91","H,,S"
"ASN00091306","2018-10-06","-41.7256","147.0794","148.0","CRESSY RESEARCH STATION, AS","    2",",,a","  174",",,a","    3",",,a",,,,,,,,,,,,,"  110","H,,S"
"ASN00091306","2018-10-07","-41.7256","147.0794","148.0","CRESSY RESEARCH STATION, AS","    0",",,a","  177",",,a","   48",",,a",,,,,,,,,,,,,"  109","H,,S"
"ASN00091306","2018-10-08","-41.7256","147.0794","148.0","CRESSY RESEARCH STATION, AS","    0",",,a","  186",",,a","   43",",,a",,,,,,,,,,,,,"  134","H,,S"
"ASN00091306","2018-10-09","-41.7256","147.0794","148.0","CRESSY RESEARCH STATION, AS","    2",",,a","  168",",,a","   94",",,a",,,,,,,,,,,,,"   87","H,,S"
"ASN00091306","2018-10-10","-41.7256","147.0794","148.0","CRESSY RESEARCH STATION, AS","    0",",,a","  127",",,a","   30",",,a",,,,,,,,,,,,,"   66","H,,S"
"ASN00091306","2018-10-11","-41.7256","147.0794","148.0","CRESSY RESEARCH STATION, AS","    0",",,a","  160",",,a","  -15",",,a",,,,,,,,,,,,,"   99","H,,S"
"ASN00091306","2018-10-12","-41.7256","147.0794","148.0","CRESSY RESEARCH STATION, AS","    0",",,a","  163",",,a","   59",",,a",,,,,,,,,,,,,"  107","H,,S"
"ASN00091306","2018-10-13","-41.7256","147.0794","148.0","CRESSY RESEARCH STATION, AS","    0",",,a","  197",",,a","   69",",,a",,,,,,,,,,,,,"  131","H,,S"
"ASN00091306","2018-10-14","-41.7256","147.0794","148.0","CRESSY RESEARCH STATION, AS","    0",",,a","  205",",,a","   34",",,a",,,,,,,,,,,,,"  158","H,,S"
"ASN00091306","2018-10-15","-41.7256","147.0794","148.0","CRESSY RESEARCH STATION, AS","    0",",,a","  220",",,a","  115",",,a",,,,,,,,,,,,,"  164","H,,S"
"ASN00091306","2018-10-16","-41.7256","147.0794","148.0","CRESSY RESEARCH STATION, AS","    0",",,a","  227",",,a","   93",",,a",,,,,,,,,,,,,"  178","H,,S"
"ASN00091306","2018-10-17","-41.7256","147.0794","148.0","CRESSY RESEARCH STATION, AS","    6",",,a","  174",",,a","  129",",,a",,,,,,,,,,,,,"  143","H,,S"
"ASN00091306","2018-10-18","-41.7256","147.0794","148.0","CRESSY RESEARCH STATION, AS","  116",",,a","  185",",,a","   97",",,a",,,,,,,,,,,,,"  133","H,,S"
"ASN00091306","2018-10-19","-41.7256","147.0794","148.0","CRESSY RESEARCH STATION, AS","   44",",,a","  180",",,a","  119",",,a",,,,,,,,,,,,,"  136","H,,S"
"ASN00091306","2018-10-20","-41.7256","147.0794","148.0","CRESSY RESEARCH STATION, AS","   52",",,a","  182",",,a","  103",",,a",,,,,,,,,,,,,"  113","H,,S"
"ASN00091306","2018-10-21","-41.7256","147.0794","148.0","CRESSY RESEARCH STATION, AS","    6",",,a","  189",",,a","   28",",,a",,,,,,,,,,,,,"  124","H,,S"
