"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","DASF","DASF_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","MDSF","MDSF_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES","WESD","WESD_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT07","WT07_ATTRIBUTES","WT08","WT08_ATTRIBUTES","WT09","WT09_ATTRIBUTES","WT11","WT11_ATTRIBUTES","WT14","WT14_ATTRIBUTES"
"USC00328913","2018-05-31","48.6147","-100.7263","434.3","UPHAM 3 N, ND US","    0",",,7,0800","    0",",,7","    0",",,7","  239",",,7","  122",",,7",,,,,,,,,"  144",",,7,0800",,,,,"    1",",,7","    1",",,7",,,,,,,,,,,,,,,,
"USC00328913","2018-06-01","48.6147","-100.7263","434.3","UPHAM 3 N, ND US","   79",",,7,0800","    0",",,7","    0",",,7","  278",",,7","  144",",,7",,,,,,,,,"  167",",,7,0800",,,,,,,"    1",",,7",,,,,,,,,,,,,,,,
"USC00328913","2018-06-02","48.6147","-100.7263","434.3","UPHAM 3 N, ND US","  160",",,7,0800","    0",",,7","    0",",,7","  206",",,7","  128",",,7",,,,,,,,,"  128",",,7,0800",,,,,,,,,,,,,,,,,,,,,,,,
"USC00328913","2018-06-03","48.6147","-100.7263","434.3","UPHAM 3 N, ND US","   13",",,7,0800","    0",",,7","    0",",,7","  139",",,7","   72",",,7",,,,,,,,,"  111",",,7,0800",,,,,,,,,,,,,,,,,,,,,,,,
"USC00328913","2018-06-04","48.6147","-100.7263","434.3","UPHAM 3 N, ND US","    0",",,7,0800","    0",",,7","    0",",,7","  250",",,7","  111",",,7",,,,,,,,,"  156",",,7,0800",,,,,,,,,,,,,,,,,,,,,,,,
"USC00328913","2018-06-05","48.6147","-100.7263","434.3","UPHAM 3 N, ND US","   69",",,7,0800","    0",",,7","    0",",,7","  278",",,7","  128",",,7",,,,,,,,,"  139",",,7,0800",,,,,,,"    1",",,7",,,,,,,,,,,,,,,,
"USC00328913","2018-06-06","48.6147","-100.7263","434.3","UPHAM 3 N, ND US","    0","T,,7,0800","    0",",,7","    0",",,7","  278",",,7","  100",",,7",,,,,,,,,"  133",",,7,0800",,,,,,,,,,,,,,,,,,,,,,,,
"USC00328913","2018-06-07","48.6147","-100.7263","434.3","UPHAM 3 N, ND US","    0",",,7,0800","    0",",,7","    0",",,7","  261",",,7","  117",",,7",,,,,,,,,"  161",",,7,0800",,,,,,,,,,,,,,,,,,,,,,,,
"USC00328913","2018-06-08","48.6147","-100.7263","434.3","UPHAM 3 N, ND US","    0",",,7,0800","    0",",,7","    0",",,7","  272",",,7","  161",",,7",,,,,,,,,"  167",",,7,0800",,,,,,,,,,,,,,,,,,,,,,,,
"USC00328913","2018-06-09","48.6147","-100.7263","434.3","UPHAM 3 N, ND US","    0",",,7,0800","    0",",,7","    0",",,7","  272",",,7","  156",",,7",,,,,,,,,"  156",",,7,0800",,,,,"    1",",,7",,,,,,,,,,,,,,,,,,
"USC00328913","2018-06-10","48.6147","-100.7263","434.3","UPHAM 3 N, ND US","    0",",,7,0800","    0",",,7","    0",",,7","  317",",,7","  156",",,7",,,,,,,,,"  200",",,7,0800",,,,,,,"    1",",,7",,,,,,,,,,,,,,,,
"USC00328913","2018-06-11","48.6147","-100.7263","434.3","UPHAM 3 N, ND US","  231",",,7,0800","    0",",,7","    0",",,7","  317",",,7","  156",",,7",,,,,,,,,"  156",",,7,0800",,,,,,,,,,,,,,,,,,,,,,,,
"USC00328913","2018-06-12","48.6147","-100.7263","434.3","UPHAM 3 N, ND US","   10",",,7,0800","    0",",,7","    0",",,7","  233",",,7","  122",",,7",,,,,,,,,"  133",",,7,0800",,,,,,,,,,,,,,,,,,,,,,,,
"USC00328913","2018-06-13","48.6147","-100.7263","434.3","UPHAM 3 N, ND US","    0",",,7,0800","    0",",,7","    0",",,7","  228",",,7","   78",",,7",,,,,,,,,"  139",",,7,0800",,,,,,,"    1",",,7",,,,,,,,,,,,,,,,
