"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","DASF","DASF_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","MDSF","MDSF_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WESD","WESD_ATTRIBUTES","WT03","WT03_ATTRIBUTES"
"USC00207308","2017-11-23","42.1611","-83.7819","228.6","SALINE WWTP, MI US","    0",",,7,0700","    0",",,7,","    0",",,7,","   39",",,7","  -50",",,7",,,,,,,,,"  -17",",,7,0700",,,,
"USC00207308","2017-11-24","42.1611","-83.7819","228.6","SALINE WWTP, MI US","    0",",,7,0700","    0",",,7,","    0",",,7,","   50",",,7","  -39",",,7",,,,,,,,,"   -6",",,7,0700",,,,
"USC00207308","2017-11-25","42.1611","-83.7819","228.6","SALINE WWTP, MI US","    0",",,7,0700","    0",",,7,","    0",",,7,","  122",",,7","  -39",",,7",,,,,,,,,"   94",",,7,0700",,,,
"USC00207308","2017-11-26","42.1611","-83.7819","228.6","SALINE WWTP, MI US","    0",",,7,0700","    0",",,7,","    0",",,7,","  100",",,7","  -39",",,7",,,,,,,,,"   -6",",,7,0700",,,,
"USC00207308","2017-11-27","42.1611","-83.7819","228.6","SALINE WWTP, MI US","    0",",,7,0700","    0",",,7,","    0",",,7,","   78",",,7","  -44",",,7",,,,,,,,,"  -11",",,7,0700",,,,
"USC00207308","2017-11-28","42.1611","-83.7819","228.6","SALINE WWTP, MI US","    0",",,7,0700","    0",",,7,","    0",",,7,","  111",",,7","  -11",",,7",,,,,,,,,"   67",",,7,0700",,,,
"USC00207308","2017-11-29","42.1611","-83.7819","228.6","SALINE WWTP, MI US","    0",",,7,0700","    0",",,7,","    0",",,7,","  183",",,7","  -39",",,7",,,,,,,,,"  -11",",,7,0700",,,,
"USC00207308","2017-11-30","42.1611","-83.7819","228.6","SALINE WWTP, MI US","    0",",,7,0700","    0",",,7,","    0",",,7,","  106",",,7","  -11",",,7",,,,,,,,,"   22",",,7,0700",,,,
"USC00207308","2017-12-01","42.1611","-83.7819","228.6","SALINE WWTP, MI US",,,,,,,"  111",",,7","  -72",",,7",,,,,,,,,"  -39",",,7,0700",,,,
"USC00207308","2017-12-02","42.1611","-83.7819","228.6","SALINE WWTP, MI US","    0",",,7,0700","    0",",,7,",,,"   83",",,7","  -61",",,7",,,,,,,,,"  -22",",,7,0700",,,,
"USC00207308","2017-12-03","42.1611","-83.7819","228.6","SALINE WWTP, MI US","    0",",,7,0700","    0",",,7,",,,"  111",",,7","  -67",",,7",,,,,,,,,"  -33",",,7,0700",,,,
"USC00207308","2017-12-04","42.1611","-83.7819","228.6","SALINE WWTP, MI US","    0",",,7,0700","    0",",,7,",,,"  139",",,7","  -33",",,7",,,,,,,,,"    0",",,7,0700",,,,
"USC00207308","2017-12-05","42.1611","-83.7819","228.6","SALINE WWTP, MI US","   20",",,7,0700",,,,,"  144",",,7","    0",",,7",,,,,,,,,,,,,,
"USC00207308","2017-12-07","42.1611","-83.7819","228.6","SALINE WWTP, MI US","    3",",,7,0700","    0","T,,7,","    0","T,,7,","   44",",,7","  -56",",,7",,,,,,,,,"  -28",",,7,0700",,,,
"USC00207308","2017-12-08","42.1611","-83.7819","228.6","SALINE WWTP, MI US","   13",",,7,0700","    0","T,,7,","    0","T,,7,","  -11",",,7"," -111",",,7",,,,,,,,,"  -83",",,7,0700",,,,
"USC00207308","2017-12-09","42.1611","-83.7819","228.6","SALINE WWTP, MI US","    8",",,7,0700","    0","T,,7,","    0","T,,7,","   11",",,7"," -117",",,7",,,,,,,,,"  -50",",,7,0700",,,,
"USC00207308","2017-12-10","42.1611","-83.7819","228.6","SALINE WWTP, MI US","   25",",,7,0700","   23",",,7,","   25",",,7,","  -17",",,7",,,,,,,,,,,"  -17",",,7,0700",,,,
"USC00207308","2017-12-11","42.1611","-83.7819","228.6","SALINE WWTP, MI US","    0",",,7,0700","    0",",,7,","    0","T,,7,","  -17",",,7","  -94",",,7",,,,,,,,,"  -39",",,7,0700",,,,
"USC00207308","2017-12-12","42.1611","-83.7819","228.6","SALINE WWTP, MI US","   48",",,7,0700","   51",",,7,","   51",",,7,","   -6",",,7"," -100",",,7",,,,,,,,,"  -72",",,7,0700",,,,
"USC00207308","2017-12-13","42.1611","-83.7819","228.6","SALINE WWTP, MI US","    0",",,7,0700","    0",",,7,","   51",",,7,","  -50",",,7"," -128",",,7",,,,,,,,,"  -78",",,7,0700",,,,
"USC00207308","2017-12-14","42.1611","-83.7819","228.6","SALINE WWTP, MI US","   84",",,7,0700","  102",",,7,","  152",",,7,","  -44",",,7"," -144",",,7",,,,,,,,," -117",",,7,0700",,,,
"USC00207308","2017-12-16","42.1611","-83.7819","228.6","SALINE WWTP, MI US","    5",",,7,0700","   13",",,7,","  152",",,7,","    0",",,7","  -33",",,7",,,,,,,,,"    0",",,7,0700",,,,
"USC00207308","2017-12-17","42.1611","-83.7819","228.6","SALINE WWTP, MI US","    0",",,7,0700","    0",",,7,","  127",",,7,","   67",",,7","  -78",",,7",,,,,,,,,"  -33",",,7,0700",,,,
"USC00207308","2017-12-18","42.1611","-83.7819","228.6","SALINE WWTP, MI US","    0",",,7,0700","    0",",,7,","   76",",,7,","   33",",,7","  -33",",,7",,,,,,,,,"   28",",,7,0700",,,,
"USC00207308","2017-12-19","42.1611","-83.7819","228.6","SALINE WWTP, MI US","    3",",,7,0700",,,"   25",",,7,","   56",",,7","    6",",,7",,,,,,,,,"   39",",,7,0700",,,,
"USC00207308","2017-12-20","42.1611","-83.7819","228.6","SALINE WWTP, MI US","    0",",,7,0700","    0",",,7,","    0",",,7,","   89",",,7",,,,,,,,,,,"  -28",",,7,0700",,,,
"USC00207308","2017-12-21","42.1611","-83.7819","228.6","SALINE WWTP, MI US","    0",",,7,0700","    0",",,7,","    0",",,7,","   22",",,7","  -39",",,7",,,,,,,,,"  -11",",,7,0700",,,,
"USC00207308","2017-12-22","42.1611","-83.7819","228.6","SALINE WWTP, MI US","    0",",,7,0700","    0",",,7,","    0",",,7,","   17",",,7","  -39",",,7",,,,,,,,,"   11",",,7,0700",,,,
"USC00207308","2017-12-23","42.1611","-83.7819","228.6","SALINE WWTP, MI US","    3",",,7,0700","    0","T,,7,","    0","T,,7,","   28",",,7","  -28",",,7",,,,,,,,,"    0",",,7,0700",,,,
"USC00207308","2017-12-27","42.1611","-83.7819","228.6","SALINE WWTP, MI US","    0",",,7,0700","    0",",,7,","  127",",,7,","  -89",",,7"," -189",",,7",,,,,,,,," -156",",,7,0700",,,,
"USC00207308","2017-12-28","42.1611","-83.7819","228.6","SALINE WWTP, MI US","    0",",,7,0700","    0",",,7,","  127",",,7,","  -94",",,7"," -244",",,7",,,,,,,,," -244",",,7,0700",,,,
