"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","MDSF","MDSF_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT11","WT11_ATTRIBUTES"
"USC00148240","2018-07-03","38.65503","-101.69623","1102.8","TRIBUNE 13 NNE, KS US","    0",",,7,0600","    0",",,7,","    0",",,7,","  361",",,7","  156",",,7",,,,,,,,,,,,,,,,,,,,
"USC00148240","2018-07-04","38.65503","-101.69623","1102.8","TRIBUNE 13 NNE, KS US","    0",",,7,0600","    0",",,7,","    0",",,7,","  361",",,7","  156",",,7",,,,,,,"  211",",,7,0600",,,,,,,,,,,,
"USC00148240","2018-07-05","38.65503","-101.69623","1102.8","TRIBUNE 13 NNE, KS US","    0",",,7,0600","    0",",,7,","    0",",,7,","  378",",,7","  172",",,7",,,,,,,"  183",",,7,0600",,,,,,,,,,,,
"USC00148240","2018-07-06","38.65503","-101.69623","1102.8","TRIBUNE 13 NNE, KS US","    0",",,7,0600","    0",",,7,","    0",",,7,","  300",",,7","  172",",,7",,,,,,,"  200",",,7,0600",,,,,,,,,,,,
"USC00148240","2018-07-07","38.65503","-101.69623","1102.8","TRIBUNE 13 NNE, KS US","    0",",,7,0600","    0",",,7,","    0",",,7,","  311",",,7","  161",",,7",,,,,,,"  194",",,7,0600",,,,,,,,,,,,
"USC00148240","2018-07-08","38.65503","-101.69623","1102.8","TRIBUNE 13 NNE, KS US","    0",",,7,0600","    0",",,7,","    0",",,7,","  333",",,7","  178",",,7",,,,,,,"  189",",,7,0600",,,,,,,,,,,,
"USC00148240","2018-07-09","38.65503","-101.69623","1102.8","TRIBUNE 13 NNE, KS US","    0",",,7,0600","    0",",,7,","    0",",,7,","  344",",,7","  144",",,7",,,,,,,"  150",",,7,0600",,,,,,,,,,,,
"USC00148240","2018-07-10","38.65503","-101.69623","1102.8","TRIBUNE 13 NNE, KS US","    0",",,7,0600","    0",",,7,","    0",",,7,","  344",",,7","  139",",,7",,,,,,,"  339",",,7,0600",,,,,,,,,,,,
"USC00148240","2018-07-11","38.65503","-101.69623","1102.8","TRIBUNE 13 NNE, KS US","    0",",,7,0600","    0",",,7,","    0",",,7,","  344",",,7","  167",",,7",,,,,,,"  167",",,7,0600",,,,,,,,,,,,
"USC00148240","2018-07-12","38.65503","-101.69623","1102.8","TRIBUNE 13 NNE, KS US","    0",",,7,0600","    0",",,7,","    0",",,7,","  361",",,7","  167",",,7",,,,,,,"  206",",,7,0600",,,,,,,,,,,,
"USC00148240","2018-07-13","38.65503","-101.69623","1102.8","TRIBUNE 13 NNE, KS US","    0",",,7,0600","    0",",,7,","    0",",,7,","  367",",,7","  161",",,7",,,,,,,"  222",",,7,0600",,,,,,,,,,,,
"USC00148240","2018-07-14","38.65503","-101.69623","1102.8","TRIBUNE 13 NNE, KS US","    0","T,,7,0600","    0",",,7,","    0",",,7,","  333",",,7","  167",",,7",,,,,,,"  189",",,7,0600",,,,,,,,,,,,
"USC00148240","2018-07-15","38.65503","-101.69623","1102.8","TRIBUNE 13 NNE, KS US","    0",",,7,0600","    0",",,7,","    0",",,7,","  317",",,7","  161",",,7",,,,,,,"  183",",,7,0600","    1",",,7",,,,,,,,,,
"USC00148240","2018-07-16","38.65503","-101.69623","1102.8","TRIBUNE 13 NNE, KS US","    0","T,,7,0600","    0",",,7,","    0",",,7,","  344",",,7","  178",",,7",,,,,,,"  200",",,7,0600","    1",",,7",,,,,,,,,,
"USC00148240","2018-07-17","38.65503","-101.69623","1102.8","TRIBUNE 13 NNE, KS US","    0",",,7,0600","    0",",,7,","    0",",,7,","  339",",,7","  178",",,7",,,,,,,"  178",",,7,0600",,,,,,,,,,,,
"USC00148240","2018-07-18","38.65503","-101.69623","1102.8","TRIBUNE 13 NNE, KS US","    0","T,,7,0600","    0",",,7,","    0",",,7,","  333",",,7","  167",",,7",,,,,,,"  172",",,7,0600","    1",",,7",,,,,,,,,,
"USC00148240","2018-07-19","38.65503","-101.69623","1102.8","TRIBUNE 13 NNE, KS US","    0",",,7,0600","    0",",,7,","    0",",,7,","  367",",,7","  172",",,7",,,,,,,"  200",",,7,0600",,,,,,,,,,,,
"USC00148240","2018-07-20","38.65503","-101.69623","1102.8","TRIBUNE 13 NNE, KS US","    0",",,7,0600","    0",",,7,","    0",",,7,","  406",",,7","  167",",,7",,,,,,,"  217",",,7,0600",,,,,,,,,,,,
