"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","EVAP","EVAP_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES"
"USC00414980","2018-06-28","32.8522","-95.8863","136.6","LAKE TAWAKONI, TX US","    0",",,7,0700",,,,,"  361",",,7","  250",",,7",,,"  124",",,7,0700",,,"  261",",,7,0700","  211",",,7"
"USC00414980","2018-06-29","32.8522","-95.8863","136.6","LAKE TAWAKONI, TX US","    0",",,7,0700",,,,,"  361",",,7","  244",",,7",,,"  140",",,7,0700",,,"  261",",,7,0700","  195",",,7"
"USC00414980","2018-06-30","32.8522","-95.8863","136.6","LAKE TAWAKONI, TX US","    0",",,7,0700",,,,,"  361",",,7","  239",",,7",,,"  135",",,7,0700",,,"  267",",,7,0700","  261",",,7"
"USC00414980","2018-07-01","32.8522","-95.8863","136.6","LAKE TAWAKONI, TX US","    0",",,7,0700",,,,,"  367",",,7","  233",",,7",,,"  114",",,7,0700",,,"  261",",,7,0700","  249",",,7"
"USC00414980","2018-07-02","32.8522","-95.8863","136.6","LAKE TAWAKONI, TX US","    0",",,7,0700",,,,,"  372",",,7","  239",",,7",,,"  114",",,7,0700",,,"  244",",,7,0700","  249",",,7"
"USC00414980","2018-07-03","32.8522","-95.8863","136.6","LAKE TAWAKONI, TX US","    0",",,7,0700",,,,,"  378",",,7","  239",",,7",,,"  119",",,7,0700",,,"  261",",,7,0700","  108",",,7"
"USC00414980","2018-07-04","32.8522","-95.8863","136.6","LAKE TAWAKONI, TX US","   69",",,7,0700",,,,,"  378",",,7","  228",",,7",,,"  124",",,7,0700",,,"  239",",,7,0700","  121",",,7"
"USC00414980","2018-07-05","32.8522","-95.8863","136.6","LAKE TAWAKONI, TX US","    0",",,7,0700",,,,,"  322",",,7","  217",",,7",,,"   56",",,7,0700",,,"  256",",,7,0700","  106",",,7"
"USC00414980","2018-07-06","32.8522","-95.8863","136.6","LAKE TAWAKONI, TX US","    0",",,7,0700",,,,,"  344",",,7","  244",",,7",,,"   91",",,7,0700",,,"  256",",,7,0700","   80",",,7"
"USC00414980","2018-07-07","32.8522","-95.8863","136.6","LAKE TAWAKONI, TX US","    0",",,7,0700",,,,,"  339",",,7","  206",",,7",,,"   58",",,7,0700",,,"  239",",,7,0700","  103",",,7"
"USC00414980","2018-07-08","32.8522","-95.8863","136.6","LAKE TAWAKONI, TX US","    5",",,7,0700",,,,,"  344",",,7","  222",",,7",,,"  107",",,7,0700",,,"  250",",,7,0700","  114",",,7"
"USC00414980","2018-07-09","32.8522","-95.8863","136.6","LAKE TAWAKONI, TX US","    0",",,7,0700",,,,,"  339",",,7","  222",",,7",,,"   99",",,7,0700",,,"  239",",,7,0700","  108",",,7"
"USC00414980","2018-07-10","32.8522","-95.8863","136.6","LAKE TAWAKONI, TX US","   58",",,7,0700",,,,,"  311",",,7","  228",",,7",,,"   48",",,7,0700",,,"  233",",,7,0700","   74",",,7"
"USC00414980","2018-07-11","32.8522","-95.8863","136.6","LAKE TAWAKONI, TX US","   13",",,7,0700",,,,,"  333",",,7","  228",",,7",,,"   91",",,7,0700",,,"  244",",,7,0700","   85",",,7"
"USC00414980","2018-07-12","32.8522","-95.8863","136.6","LAKE TAWAKONI, TX US","    0",",,7,0700",,,,,"  339",",,7","  222",",,7",,,"   84",",,7,0700",,,"  244",",,7,0700","   87",",,7"
"USC00414980","2018-07-13","32.8522","-95.8863","136.6","LAKE TAWAKONI, TX US","  104",",,7,0700",,,,,"  344",",,7","  211",",,7",,,"   86",",,7,0700",,,"  233",",,7,0700","   85",",,7"
"USC00414980","2018-07-14","32.8522","-95.8863","136.6","LAKE TAWAKONI, TX US","    0",",,7,0700",,,,,"  344",",,7","  228",",,7",,,"   81",",,7,0700",,,"  256",",,7,0700","   84",",,7"
"USC00414980","2018-07-15","32.8522","-95.8863","136.6","LAKE TAWAKONI, TX US","    0",",,7,0700",,,,,"  356",",,7","  244",",,7",,,"  114",",,7,0700",,,"  256",",,7,0700","  143",",,7"
"USC00414980","2018-07-16","32.8522","-95.8863","136.6","LAKE TAWAKONI, TX US","    0",",,7,0700",,,,,"  361",",,7","  250",",,7",,,"  124",",,7,0700",,,"  261",",,7,0700","  158",",,7"
"USC00414980","2018-07-17","32.8522","-95.8863","136.6","LAKE TAWAKONI, TX US","    0",",,7,0700",,,,,"  367",",,7","  228",",,7",,,"  112",",,7,0700",,,"  261",",,7,0700","  121",",,7"
"USC00414980","2018-07-18","32.8522","-95.8863","136.6","LAKE TAWAKONI, TX US","    0",",,7,0700",,,,,"  378",",,7","  256",",,7",,,"  122",",,7,0700",,,"  272",",,7,0700","  150",",,7"
"USC00414980","2018-07-19","32.8522","-95.8863","136.6","LAKE TAWAKONI, TX US","    0",",,7,0700",,,,,"  389",",,7","  267",",,7",,,"  112",",,7,0700",,,"  283",",,7,0700","  146",",,7"
"USC00414980","2018-07-20","32.8522","-95.8863","136.6","LAKE TAWAKONI, TX US","    0",",,7,0700",,,,,"  400",",,7","  256",",,7",,,"  145",",,7,0700",,,"  267",",,7,0700","  177",",,7"
"USC00414980","2018-07-21","32.8522","-95.8863","136.6","LAKE TAWAKONI, TX US","    0",",,7,0700",,,,,"  394",",,7","  261",",,7",,,"  150",",,7,0700",,,"  283",",,7,0700","  200",",,7"
"USC00414980","2018-07-22","32.8522","-95.8863","136.6","LAKE TAWAKONI, TX US","    0",",,7,0700",,,,,"  394",",,7","  250",",,7",,,"  137",",,7,0700",,,"  283",",,7,0700","  167",",,7"
"USC00414980","2018-07-23","32.8522","-95.8863","136.6","LAKE TAWAKONI, TX US","    0",",,7,0700",,,,,"  411",",,7","  267",",,7",,,"  117",",,7,0700",,,"  283",",,7,0700","   80",",,7"
"USC00414980","2018-07-24","32.8522","-95.8863","136.6","LAKE TAWAKONI, TX US","    0",",,7,0700",,,,,"  383",",,7","  239",",,7",,,"  140",",,7,0700",,,"  244",",,7,0700","  114",",,7"
"USC00414980","2018-07-25","32.8522","-95.8863","136.6","LAKE TAWAKONI, TX US","    0",",,7,0700",,,,,"  361",",,7","  211",",,7",,,"  124",",,7,0700",,,"  250",",,7,0700","   71",",,7"
"USC00414980","2018-07-26","32.8522","-95.8863","136.6","LAKE TAWAKONI, TX US","    0",",,7,0700",,,,,"  378",",,7","  222",",,7",,,"  107",",,7,0700",,,"  256",",,7,0700","   48",",,7"
"USC00414980","2018-07-27","32.8522","-95.8863","136.6","LAKE TAWAKONI, TX US","    0",",,7,0700",,,,,"  383",",,7","  194",",,7",,,"  112",",,7,0700",,,"  278",",,7,0700","   50",",,7"
"USC00414980","2018-07-28","32.8522","-95.8863","136.6","LAKE TAWAKONI, TX US","   41",",,7,0700",,,,,"  350",",,7","  239",",,7",,,"  117",",,7,0700",,,"  239",",,7,0700","   55",",,7"
"USC00414980","2018-07-29","32.8522","-95.8863","136.6","LAKE TAWAKONI, TX US","    0",",,7,0700",,,,,"  361",",,7","  233",",,7",,,"   91",",,7,0700",,,"  256",",,7,0700","   74",",,7"
"USC00414980","2018-07-30","32.8522","-95.8863","136.6","LAKE TAWAKONI, TX US","    0",",,7,0700",,,,,"  361",",,7","  228",",,7",,,"   79",",,7,0700",,,"  244",",,7,0700","   79",",,7"
"USC00414980","2018-07-31","32.8522","-95.8863","136.6","LAKE TAWAKONI, TX US","  127",",,7,0700",,,,,"  306",",,7","  217",",,7",,,"   46",",,7,0700",,,"  222",",,7,0700","   64",",,7"
"USC00414980","2018-08-01","32.8522","-95.8863","136.6","LAKE TAWAKONI, TX US","    0",",,7,0700",,,,,"  317",",,7","  189",",,7",,,"  127",",,7,0700",,,"  206",",,7,0700","   84",",,7"
"USC00414980","2018-08-02","32.8522","-95.8863","136.6","LAKE TAWAKONI, TX US","    0",",,7,0700",,,,,"  333",",,7","  178",",,7",,,"  114",",,7,0700",,,"  206",",,7,0700","   93",",,7"
"USC00414980","2018-08-03","32.8522","-95.8863","136.6","LAKE TAWAKONI, TX US","    0",",,7,0700",,,,,"  344",",,7","  183",",,7",,,"  122",",,7,0700",,,"  211",",,7,0700","   87",",,7"
"USC00414980","2018-08-04","32.8522","-95.8863","136.6","LAKE TAWAKONI, TX US","    0",",,7,0700",,,,,"  356",",,7","  194",",,7",,,"  140",",,7,0700",,,"  228",",,7,0700","   93",",,7"
"USC00414980","2018-08-05","32.8522","-95.8863","136.6","LAKE TAWAKONI, TX US","    0",",,7,0700",,,,,"  367",",,7","  222",",,7",,,"  124",",,7,0700",,,"  244",",,7,0700","  124",",,7"
"USC00414980","2018-08-06","32.8522","-95.8863","136.6","LAKE TAWAKONI, TX US","    0",",,7,0700",,,,,"  361",",,7","  222",",,7",,,"  132",",,7,0700",,,"  239",",,7,0700","  138",",,7"
"USC00414980","2018-08-07","32.8522","-95.8863","136.6","LAKE TAWAKONI, TX US","    0",",,7,0700",,,,,"  367",",,7","  200",",,7",,,"  104",",,7,0700",,,"  244",",,7,0700","  106",",,7"
"USC00414980","2018-08-08","32.8522","-95.8863","136.6","LAKE TAWAKONI, TX US","    0",",,7,0700",,,,,"  372",",,7","  244",",,7",,,"  152",",,7,0700",,,"  261",",,7,0700","  188",",,7"
"USC00414980","2018-08-09","32.8522","-95.8863","136.6","LAKE TAWAKONI, TX US","   66",",,7,0700",,,,,"  344",",,7","  233",",,7",,,"  112",",,7,0700",,,"  239",",,7,0700","  166",",,7"
"USC00414980","2018-08-10","32.8522","-95.8863","136.6","LAKE TAWAKONI, TX US","   84",",,7,0700",,,,,"  322",",,7","  233",",,7",,,"   56",",,7,0700",,,"  250",",,7,0700","   66",",,7"
"USC00414980","2018-08-11","32.8522","-95.8863","136.6","LAKE TAWAKONI, TX US","   25",",,7,0700",,,,,"  306",",,7","  222",",,7",,,"   20",",,7,0700",,,"  228",",,7,0700","  109",",,7"
"USC00414980","2018-08-12","32.8522","-95.8863","136.6","LAKE TAWAKONI, TX US","   81",",,7,0700",,,,,"  289",",,7","  222",",,7",,,"   46",",,7,0700",,,"  233",",,7,0700","   71",",,7"
"USC00414980","2018-08-13","32.8522","-95.8863","136.6","LAKE TAWAKONI, TX US","  470",",,7,0700",,,,,"  283",",,7","  211",",,7",,,"    0",",,7,0700",,,"  228",",,7,0700","   84",",,7"
"USC00414980","2018-08-14","32.8522","-95.8863","136.6","LAKE TAWAKONI, TX US","    3",",,7,0700",,,,,"  317",",,7","  222",",,7",,,"   48",",,7,0700",,,"  239",",,7,0700","  119",",,7"
"USC00414980","2018-08-15","32.8522","-95.8863","136.6","LAKE TAWAKONI, TX US","    0",",,7,0700",,,,,"  328",",,7","  239",",,7",,,"   76",",,7,0700",,,"  250",",,7,0700","  163",",,7"
"USC00414980","2018-08-16","32.8522","-95.8863","136.6","LAKE TAWAKONI, TX US","    0",",,7,0700",,,,,"  339",",,7","  244",",,7",,,"   97",",,7,0700",,,"  256",",,7,0700","  180",",,7"
"USC00414980","2018-08-17","32.8522","-95.8863","136.6","LAKE TAWAKONI, TX US","    0",",,7,0700",,,,,"  350",",,7","  250",",,7",,,"   97",",,7,0700",,,"  256",",,7,0700","  159",",,7"
"USC00414980","2018-08-18","32.8522","-95.8863","136.6","LAKE TAWAKONI, TX US","    0",",,7,0700",,,,,"  350",",,7","  256",",,7",,,"  112",",,7,0700",,,"  261",",,7,0700","  153",",,7"
