"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","AWND","AWND_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","DASF","DASF_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","MDSF","MDSF_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT08","WT08_ATTRIBUTES","WT09","WT09_ATTRIBUTES","WT11","WT11_ATTRIBUTES","WT14","WT14_ATTRIBUTES"
"USC00240770","2017-09-30","48.1346","-110.0591","844.3","BIG SANDY, MT US","    0",",,7,1600",,,,,"  228",",,7","   67",",,7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00240770","2017-10-01","48.1346","-110.0591","844.3","BIG SANDY, MT US","   25",",,7,1600",,,,,"  128",",,7","   67",",,7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00240770","2017-10-02","48.1346","-110.0591","844.3","BIG SANDY, MT US","  114",",,7,1600",,,,,"   78",",,7","   -6",",,7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00240770","2017-10-03","48.1346","-110.0591","844.3","BIG SANDY, MT US","  239",",,7,1600",,,,,"   11",",,7","   -6",",,7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00240770","2017-10-04","48.1346","-110.0591","844.3","BIG SANDY, MT US","    0",",,7,1600",,,,,"   11",",,7"," -106",",,7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00240770","2017-10-05","48.1346","-110.0591","844.3","BIG SANDY, MT US","    0",",,7,1600",,,,,"   78",",,7","  -67",",,7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00240770","2017-10-06","48.1346","-110.0591","844.3","BIG SANDY, MT US","    0",",,7,1600",,,,,"  117",",,7","  -11",",,7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00240770","2017-10-07","48.1346","-110.0591","844.3","BIG SANDY, MT US","    0",",,7,1600",,,,,"  111",",,7","   50",",,7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00240770","2017-10-08","48.1346","-110.0591","844.3","BIG SANDY, MT US","    0",",,7,1600",,,,,"   56",",,7","  -22",",,7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00240770","2017-10-09","48.1346","-110.0591","844.3","BIG SANDY, MT US","    0",",,7,1600",,,,,"  144",",,7","  -33",",,7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
