"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","AWND","AWND_ATTRIBUTES","FMTM","FMTM_ATTRIBUTES","PGTM","PGTM_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT02","WT02_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT08","WT08_ATTRIBUTES"
"USW00003162","2018-07-06","36.92611","-111.44778","1313.7","PAGE MUNICIPAL AIRPORT, AZ US","    0",",,W",,,,,"  383",",,W","  256",",,W","   32",",,W",,,,,,,,,"  140",",,W","  140",",,W","   94",",,W","  107",",,W",,,,,,,,
"USW00003162","2018-07-07","36.92611","-111.44778","1313.7","PAGE MUNICIPAL AIRPORT, AZ US","    0",",,W",,,,,"  394",",,W","  278",",,W","   30",",,W",,,,,,,,,"  180",",,W","  180",",,W","  103",",,W","  148",",,W",,,,,,,,
"USW00003162","2018-07-08","36.92611","-111.44778","1313.7","PAGE MUNICIPAL AIRPORT, AZ US","   15",",,W",,,,,"  400",",,W","  239",",,W","   33",",,W",,,,,,,,,"  170",",,W","  210",",,W","  103",",,W","  157",",,W",,,,,,,"    1",",,W"
"USW00003162","2018-07-09","36.92611","-111.44778","1313.7","PAGE MUNICIPAL AIRPORT, AZ US","   10",",,W",,,,,"  361",",,W","  233",",,W","   32",",,W",,,,,,,,,"  180",",,W","  180",",,W","  116",",,W","  161",",,W",,,,,,,,
"USW00003162","2018-07-10","36.92611","-111.44778","1313.7","PAGE MUNICIPAL AIRPORT, AZ US","    0",",,W",,,,,"  350",",,W","  228",",,W","   20",",,W",,,,,,,,,"  130",",,W",,,"   40",",,W",,,,,,,,,,
"USW00003162","2018-07-11","36.92611","-111.44778","1313.7","PAGE MUNICIPAL AIRPORT, AZ US","    3",",,W",,,,,"  361",",,W","  222",",,W","   34",",,W",,,,,,,,,"  150",",,W","  170",",,W","  130",",,W","  174",",,W",,,,,,,,
"USW00003162","2018-07-12","36.92611","-111.44778","1313.7","PAGE MUNICIPAL AIRPORT, AZ US","   61",",,W",,,,,"  333",",,W","  194",",,W","   22",",,W",,,,,,,,,"  290",",,W","  280",",,W","   67",",,W","  103",",,W","    1",",,W",,,,,,
"USW00003162","2018-07-13","36.92611","-111.44778","1313.7","PAGE MUNICIPAL AIRPORT, AZ US","    5",",,W","    0",",,W","    0",",,W","  356",",,W","  228",",,W","   15",",,W",,,,,,,,,"  200",",,W","  280",",,W","   63",",,W","   89",",,W",,,,,,,,
"USW00003162","2018-07-14","36.92611","-111.44778","1313.7","PAGE MUNICIPAL AIRPORT, AZ US","   25",",,W","    0",",,W","    0",",,W","  328",",,W","  222",",,W","   29",",,W",,,,,,,,,"  180",",,W","  170",",,W","   98",",,W","  139",",,W","    1",",,W",,,,,,
"USW00003162","2018-07-15","36.92611","-111.44778","1313.7","PAGE MUNICIPAL AIRPORT, AZ US","    0",",,W","    0",",,W","    0",",,W","  350",",,W","  239",",,W","   24",",,W",,,,,,,,,"  320",",,W","  300",",,W","   72",",,W","  103",",,W",,,,,,,,
"USW00003162","2018-07-16","36.92611","-111.44778","1313.7","PAGE MUNICIPAL AIRPORT, AZ US","    0",",,W","    0",",,W","    0",",,W","  350",",,W","  233",",,W","   19",",,W",,,,,,,,,"  200",",,W","  180",",,W","   54",",,W","   81",",,W",,,,,,,,
"USW00003162","2018-07-17","36.92611","-111.44778","1313.7","PAGE MUNICIPAL AIRPORT, AZ US","    0","T,,W",,,,,"  367",",,W","  250",",,W","   32",",,W",,,,,,,,,"  180",",,W","  330",",,W","   81",",,W","  112",",,W",,,,,,,,
"USW00003162","2018-07-18","36.92611","-111.44778","1313.7","PAGE MUNICIPAL AIRPORT, AZ US","    0",",,W",,,,,"  383",",,W","  239",",,W","   22",",,W",,,,,,,,,"  360",",,W","  360",",,W","  125",",,W","  157",",,W",,,,,,,,
"USW00003162","2018-07-19","36.92611","-111.44778","1313.7","PAGE MUNICIPAL AIRPORT, AZ US","    0","T,,W",,,,,"  389",",,W","  256",",,W","   25",",,W",,,,,,,,,"  150",",,W","  270",",,W","  112",",,W","  206",",,W",,,,,,,,
"USW00003162","2018-07-20","36.92611","-111.44778","1313.7","PAGE MUNICIPAL AIRPORT, AZ US","    0",",,W",,,,,"  378",",,W","  239",",,W","   18",",,W",,,,,,,,,"  290",",,W","  320",",,W","   58",",,W","   98",",,W",,,,,,,,
"USW00003162","2018-07-21","36.92611","-111.44778","1313.7","PAGE MUNICIPAL AIRPORT, AZ US","   76",",,W",,,,,"  372",",,W","  256",",,W","   24",",,W",,,,,,,,,"  310",",,W","  310",",,W","   81",",,W","  116",",,W",,,,,,,,
"USW00003162","2018-07-22","36.92611","-111.44778","1313.7","PAGE MUNICIPAL AIRPORT, AZ US","    0",",,W",,,,,"  372",",,W","  222",",,W","   19",",,W",,,,,,,,,"   10",",,W","  330",",,W","   67",",,W","  130",",,W",,,,,,,,
"USW00003162","2018-07-23","36.92611","-111.44778","1313.7","PAGE MUNICIPAL AIRPORT, AZ US","    0",",,W",,,,,"  400",",,W","  250",",,W","   25",",,W",,,,,,,,,"  130",",,W","  130",",,W","   72",",,W","  107",",,W",,,,,,,,
"USW00003162","2018-07-24","36.92611","-111.44778","1313.7","PAGE MUNICIPAL AIRPORT, AZ US","    0","T,,W",,,,,"  400",",,W","  267",",,W","   33",",,W",,,,,,,,,"  350",",,W","  310",",,W","   94",",,W","  134",",,W",,,,,"    1",",,W",,
"USW00003162","2018-07-25","36.92611","-111.44778","1313.7","PAGE MUNICIPAL AIRPORT, AZ US","    0","T,,W",,,,,"  400",",,W","  250",",,W","   17",",,W",,,,,,,,,"  310",",,W","  310",",,W","  103",",,W","  197",",,W",,,,,,,,
"USW00003162","2018-07-26","36.92611","-111.44778","1313.7","PAGE MUNICIPAL AIRPORT, AZ US","    0","T,,W",,,,,"  389",",,W","  256",",,W","   29",",,W",,,,,,,,,"  350",",,W","  340",",,W","  112",",,W","  157",",,W",,,,,,,,
