"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","DASF","DASF_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","MDSF","MDSF_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WESD","WESD_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT11","WT11_ATTRIBUTES","WT14","WT14_ATTRIBUTES"
"USC00217502","2018-04-02","45.5459","-93.7571","307.8","SANTIAGO 3 E, MN US","   20",",,7,1900","   43",",,7,1900","  152",",,7,1900","    6",",,7"," -133",",,7",,,,,,,,,"  -28",",,7,1900",,,,,,,,,,,,,,,,
"USC00217502","2018-04-03","45.5459","-93.7571","307.8","SANTIAGO 3 E, MN US","   79",",,7,1900","  130",",,7,1900","  254",",,7,1900","  -28",",,7","  -61",",,7",,,,,,,,,"  -61",",,7,1900",,,,,,,,,,,,,,,,
"USC00217502","2018-04-04","45.5459","-93.7571","307.8","SANTIAGO 3 E, MN US","    0",",,7,1900","    0",",,7,1900","  229",",,7,1900","    0",",,7"," -161",",,7",,,,,,,,,"  -28",",,7,1900",,,,,,,,,,,,,,,,
"USC00217502","2018-04-05","45.5459","-93.7571","307.8","SANTIAGO 3 E, MN US","    0",",,7,1900","    0",",,7,1900","  203",",,7,1900","   22",",,7"," -172",",,7",,,,,,,,,"    0",",,7,1900",,,,,,,,,,,,,,,,
"USC00217502","2018-04-06","45.5459","-93.7571","307.8","SANTIAGO 3 E, MN US","    0",",,7,1900","    0",",,7,1900","  203",",,7,1900","    0",",,7"," -122",",,7",,,,,,,,,"  -89",",,7,1900",,,,,,,,,,,,,,,,
"USC00217502","2018-04-07","45.5459","-93.7571","307.8","SANTIAGO 3 E, MN US","    0",",,7,1900","    0",",,7,1900","  203",",,7,1900","   -6",",,7"," -144",",,7",,,,,,,,,"  -11",",,7,1900",,,,,,,,,,,,,,,,
"USC00217502","2018-04-08","45.5459","-93.7571","307.8","SANTIAGO 3 E, MN US","    0",",,7,1900","    0",",,7,1900","  178",",,7,1900","   17",",,7"," -156",",,7",,,,,,,,,"   -6",",,7,1900",,,,,,,,,,,,,,,,
"USC00217502","2018-04-09","45.5459","-93.7571","307.8","SANTIAGO 3 E, MN US","    0",",,7,1900","    0",",,7,1900","  152",",,7,1900","   28",",,7"," -156",",,7",,,,,,,,,"    0",",,7,1900",,,,,,,,,,,,,,,,
"USC00217502","2018-04-10","45.5459","-93.7571","307.8","SANTIAGO 3 E, MN US","    0",",,7,1900","    0",",,7,1900","  102",",,7,1900","   44",",,7","  -22",",,7",,,,,,,,,"   33",",,7,1900",,,,,,,,,,,,,,,,
"USC00217502","2018-04-11","45.5459","-93.7571","307.8","SANTIAGO 3 E, MN US","    0",",,7,1900","    0",",,7,1900","   51",",,7,1900","   72",",,7","  -44",",,7",,,,,,,,,"   61",",,7,1900",,,,,,,,,,,,,,,,
"USC00217502","2018-04-12","45.5459","-93.7571","307.8","SANTIAGO 3 E, MN US","    3",",,7,1900","    0",",,7,1900","   25",",,7,1900","   72",",,7","  -44",",,7",,,,,,,,,"   44",",,7,1900",,,,,,,,,,,,,,,,
"USC00217502","2018-04-13","45.5459","-93.7571","307.8","SANTIAGO 3 E, MN US","    8",",,7,1900","   13",",,7,1900","    0",",,7,1900","   44",",,7","  -11",",,7",,,,,,,,,"  -11",",,7,1900",,,,,,,,,,,,,,,,
"USC00217502","2018-04-14","45.5459","-93.7571","307.8","SANTIAGO 3 E, MN US","   74",",,7,1900","   89",",,7,1900","   76",",,7,1900","   44",",,7","  -61",",,7",,,,,,,,,"  -61",",,7,1900",,,,,,,,,,,,,,,,
"USC00217502","2018-04-15","45.5459","-93.7571","307.8","SANTIAGO 3 E, MN US","  102",",,7,1900","  165",",,7,1900","  229",",,7,1900","  -33",",,7","  -61",",,7",,,,,,,,,"  -50",",,7,1900",,,,,,,,,,,,,,,,
"USC00217502","2018-04-16","45.5459","-93.7571","307.8","SANTIAGO 3 E, MN US","    8",",,7,1900","   15",",,7,1900","  203",",,7,1900","   22",",,7","  -61",",,7",,,,,,,,,"   11",",,7,1900",,,,,,,,,,,,,,,,
"USC00217502","2018-04-17","45.5459","-93.7571","307.8","SANTIAGO 3 E, MN US","    0",",,7,1900","    0",",,7,1900","   76",",,7,1900","   61",",,7","  -61",",,7",,,,,,,,,"   56",",,7,1900",,,,,,,,,,,,,,,,
"USC00217502","2018-04-18","45.5459","-93.7571","307.8","SANTIAGO 3 E, MN US","    0",",,7,1900","    0",",,7,1900","    0",",,7,1900","   56",",,7","  -22",",,7",,,,,,,,,"   28",",,7,1900",,,,,,,,,,,,,,,,
"USC00217502","2018-04-19","45.5459","-93.7571","307.8","SANTIAGO 3 E, MN US","    0",",,7,1900","    0",",,7,1900","    0",",,7,1900","  122",",,7","  -33",",,7",,,,,,,,,"   94",",,7,1900",,,,,,,,,,,,,,,,
"USC00217502","2018-04-20","45.5459","-93.7571","307.8","SANTIAGO 3 E, MN US","    0",",,7,1900","    0",",,7,1900","    0",",,7,1900","  111",",,7","  -39",",,7",,,,,,,,,"   89",",,7,1900",,,,,,,,,,,,,,,,
"USC00217502","2018-04-21","45.5459","-93.7571","307.8","SANTIAGO 3 E, MN US","    0",",,7,1900","    0",",,7,1900","    0",",,7,1900","  144",",,7","  -28",",,7",,,,,,,,,"  122",",,7,1900",,,,,,,,,,,,,,,,
"USC00217502","2018-04-22","45.5459","-93.7571","307.8","SANTIAGO 3 E, MN US","    0",",,7,1900","    0",",,7,1900","    0",",,7,1900","  172",",,7","  -28",",,7",,,,,,,,,"  139",",,7,1900",,,,,,,,,,,,,,,,
"USC00217502","2018-04-23","45.5459","-93.7571","307.8","SANTIAGO 3 E, MN US","    0",",,7,1900","    0",",,7,1900","    0",",,7,1900","  200",",,7","  -11",",,7",,,,,,,,,"  172",",,7,1900",,,,,,,,,,,,,,,,
"USC00217502","2018-04-24","45.5459","-93.7571","307.8","SANTIAGO 3 E, MN US","    0",",,7,1900","    0",",,7,1900","    0",",,7,1900","  172",",,7","   22",",,7",,,,,,,,,"  111",",,7,1900",,,,,,,,,,,,,,,,
"USC00217502","2018-04-25","45.5459","-93.7571","307.8","SANTIAGO 3 E, MN US","    0",",,7,1900","    0",",,7,1900","    0",",,7,1900","  144",",,7","  -28",",,7",,,,,,,,,"  133",",,7,1900",,,,,,,,,,,,,,,,
"USC00217502","2018-04-26","45.5459","-93.7571","307.8","SANTIAGO 3 E, MN US","    0",",,7,1900","    0",",,7,1900","    0",",,7,1900","  172",",,7","  -28",",,7",,,,,,,,,"  128",",,7,1900",,,,,,,,,,,,,,,,
"USC00217502","2018-04-27","45.5459","-93.7571","307.8","SANTIAGO 3 E, MN US","    3",",,7,1900","    0",",,7,1900","    0",",,7,1900","  167",",,7","   11",",,7",,,,,,,,,"   78",",,7,1900",,,,,,,,,,,,,,,,
"USC00217502","2018-04-28","45.5459","-93.7571","307.8","SANTIAGO 3 E, MN US","    0",",,7,1900","    0",",,7,1900","    0",",,7,1900","  128",",,7","  -22",",,7",,,,,,,,,"  117",",,7,1900",,,,,,,,,,,,,,,,
"USC00217502","2018-04-29","45.5459","-93.7571","307.8","SANTIAGO 3 E, MN US","    0",",,7,1900","    0",",,7,1900","    0",",,7,1900","  189",",,7","   17",",,7",,,,,,,,,"  189",",,7,1900",,,,,,,,,,,,,,,,
"USC00217502","2018-04-30","45.5459","-93.7571","307.8","SANTIAGO 3 E, MN US","   28",",,7,1900","    0",",,7,1900","    0",",,7,1900","  267",",,7","   83",",,7",,,,,,,,,"  250",",,7,1900",,,,,,,,,,,,,,,,
"USC00217502","2018-05-01","45.5459","-93.7571","307.8","SANTIAGO 3 E, MN US","    0",",,7,1900","    0",",,7,1900","    0",",,7,1900","  250",",,7","  111",",,7",,,,,,,,,"  167",",,7,1900",,,,,,,,,,,,,,,,
"USC00217502","2018-05-02","45.5459","-93.7571","307.8","SANTIAGO 3 E, MN US","    0",",,7,1900","    0",",,7,1900","    0",",,7,1900","  189",",,7","   39",",,7",,,,,,,,,"  172",",,7,1900",,,,,,,,,,,,,,,,
"USC00217502","2018-05-03","45.5459","-93.7571","307.8","SANTIAGO 3 E, MN US","    0",",,7,1900","    0",",,7,1900","    0",",,7,1900","  228",",,7","   39",",,7",,,,,,,,,"  200",",,7,1900",,,,,,,,,,,,,,,,
"USC00217502","2018-05-04","45.5459","-93.7571","307.8","SANTIAGO 3 E, MN US","    0",",,7,1900","    0",",,7,1900","    0",",,7,1900","  250",",,7","   39",",,7",,,,,,,,,"  222",",,7,1900",,,,,,,,,,,,,,,,
"USC00217502","2018-05-05","45.5459","-93.7571","307.8","SANTIAGO 3 E, MN US","    3",",,7,1900","    0",",,7,1900","    0",",,7,1900","  272",",,7","   61",",,7",,,,,,,,,"  206",",,7,1900",,,,,,,,,,,,,,,,
"USC00217502","2018-05-06","45.5459","-93.7571","307.8","SANTIAGO 3 E, MN US","    0",",,7,1900","    0",",,7,1900","    0",",,7,1900","  261",",,7","   72",",,7",,,,,,,,,"  228",",,7,1900",,,,,,,,,,,,,,,,
"USC00217502","2018-05-07","45.5459","-93.7571","307.8","SANTIAGO 3 E, MN US","    0",",,7,1900","    0",",,7,1900","    0",",,7,1900","  300",",,7","  117",",,7",,,,,,,,,"  228",",,7,1900",,,,,,,,,,,,,,,,
"USC00217502","2018-05-08","45.5459","-93.7571","307.8","SANTIAGO 3 E, MN US","   30",",,7,1900","    0",",,7,1900","    0",",,7,1900","  228",",,7","  139",",,7",,,,,,,,,"  183",",,7,1900",,,,,,,,,,,,,,,,
