"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WESD","WESD_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT11","WT11_ATTRIBUTES"
"USC00154958","2018-07-07","38.1151","-85.6445","192.6","LOUISVILLE WEATHER FORECAST OFFICE, KY US","    0",",,7,2400","    0",",,7,2400","    0",",,7,2400","  283",",,7","  167",",,7",,,"  222",",,7,2400",,,,,,,,,,,,,,
"USC00154958","2018-07-08","38.1151","-85.6445","192.6","LOUISVILLE WEATHER FORECAST OFFICE, KY US","    0",",,7,2400","    0",",,7,2400","    0",",,7,2400","  322",",,7","  189",",,7",,,"  244",",,7,2400",,,,,,,,,,,,,,
"USC00154958","2018-07-09","38.1151","-85.6445","192.6","LOUISVILLE WEATHER FORECAST OFFICE, KY US","    0",",,7,2400","    0",",,7,2400","    0",",,7,2400","  328",",,7","  217",",,7",,,"  256",",,7,2400",,,,,,,,,,,,,,
"USC00154958","2018-07-10","38.1151","-85.6445","192.6","LOUISVILLE WEATHER FORECAST OFFICE, KY US","    0",",,7,2400","    0",",,7,2400","    0",",,7,2400","  322",",,7","  228",",,7",,,"  261",",,7,2400",,,,,,,,,,,,,,
"USC00154958","2018-07-11","38.1151","-85.6445","192.6","LOUISVILLE WEATHER FORECAST OFFICE, KY US","    0",",,7,2400","    0",",,7,2400","    0",",,7,2400","  311",",,7","  233",",,7",,,"  233",",,7,2400",,,,,,,,,,,,,,
"USC00154958","2018-07-12","38.1151","-85.6445","192.6","LOUISVILLE WEATHER FORECAST OFFICE, KY US","    0",",,7,2400","    0",",,7,2400","    0",",,7,2400","  300",",,7","  189",",,7",,,"  211",",,7,2400",,,,,,,,,,,,,,
"USC00154958","2018-07-13","38.1151","-85.6445","192.6","LOUISVILLE WEATHER FORECAST OFFICE, KY US","    0",",,7,2400","    0",",,7,2400","    0",",,7,2400","  328",",,7","  183",",,7",,,"  244",",,7,2400",,,,,,,,,,,,,,
"USC00154958","2018-07-14","38.1151","-85.6445","192.6","LOUISVILLE WEATHER FORECAST OFFICE, KY US","    0",",,7,2400","    0",",,7,2400","    0",",,7,2400","  333",",,7","  200",",,7",,,"  267",",,7,2400",,,,,,,,,,,,,,
"USC00154958","2018-07-15","38.1151","-85.6445","192.6","LOUISVILLE WEATHER FORECAST OFFICE, KY US","   43",",,7,2400","    0",",,7,2400","    0",",,7,2400","  278",",,7","  228",",,7",,,"  233",",,7,2400",,,,,,,,,,,,,,
"USC00154958","2018-07-16","38.1151","-85.6445","192.6","LOUISVILLE WEATHER FORECAST OFFICE, KY US","   25",",,7,2400","    0",",,7,2400","    0",",,7,2400","  300",",,7","  217",",,7",,,"  250",",,7,2400",,,,,,,,,,,,,,
"USC00154958","2018-07-17","38.1151","-85.6445","192.6","LOUISVILLE WEATHER FORECAST OFFICE, KY US","    0",",,7,2400","    0",",,7,2400","    0",",,7,2400","  322",",,7","  222",",,7",,,"  233",",,7,2400",,,,,,,,,,,,,,
"USC00154958","2018-07-18","38.1151","-85.6445","192.6","LOUISVILLE WEATHER FORECAST OFFICE, KY US","    0",",,7,2400","    0",",,7,2400","    0",",,7,2400","  306",",,7","  183",",,7",,,"  211",",,7,2400",,,,,,,,,,,,,,
"USC00154958","2018-07-19","38.1151","-85.6445","192.6","LOUISVILLE WEATHER FORECAST OFFICE, KY US","    0",",,7,2400","    0",",,7,2400","    0",",,7,2400","  306",",,7","  183",",,7",,,"  239",",,7,2400",,,,,,,,,,,,,,
"USC00154958","2018-07-20","38.1151","-85.6445","192.6","LOUISVILLE WEATHER FORECAST OFFICE, KY US","  836",",,7,2400","    0","T,,7,2400","    0",",,7,2400","  306",",,7","  178",",,7",,,"  189",",,7,2400","    0",",,7",,,"    1",",,7",,,"    1",",,7",,,,
"USC00154958","2018-07-21","38.1151","-85.6445","192.6","LOUISVILLE WEATHER FORECAST OFFICE, KY US","   28",",,7,2400","    0",",,7,2400","    0",",,7,2400","  272",",,7","  172",",,7",,,"  211",",,7,2400","    0",",,7",,,,,,,,,,,,
"USC00154958","2018-07-22","38.1151","-85.6445","192.6","LOUISVILLE WEATHER FORECAST OFFICE, KY US","  251",",,7,2400","    0",",,7,2400","    0",",,7,2400","  267",",,7","  200",",,7",,,"  206",",,7,2400","    0",",,7",,,"    1",",,7",,,,,,,,
"USC00154958","2018-07-23","38.1151","-85.6445","192.6","LOUISVILLE WEATHER FORECAST OFFICE, KY US","    0","T,,7,2400","    0",",,7,2400","    0",",,7,2400","  272",",,7","  172",",,7",,,"  200",",,7,2400",,,,,,,,,,,,,,
"USC00154958","2018-07-24","38.1151","-85.6445","192.6","LOUISVILLE WEATHER FORECAST OFFICE, KY US","    3",",,7,2400","    0",",,7,2400","    0",",,7,2400","  294",",,7","  183",",,7",,,"  222",",,7,2400",,,,,,,,,,,,,,
"USC00154958","2018-07-25","38.1151","-85.6445","192.6","LOUISVILLE WEATHER FORECAST OFFICE, KY US","   84",",,7,2400","    0",",,7,2400","    0",",,7,2400","  311",",,7","  194",",,7",,,"  211",",,7,2400",,,,,,,,,,,,,,
