"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","AWND","AWND_ATTRIBUTES","FMTM","FMTM_ATTRIBUTES","PGTM","PGTM_ATTRIBUTES","PSUN","PSUN_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT02","WT02_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT08","WT08_ATTRIBUTES"
"USW00053863","2018-07-06","33.875","-84.30222","305.3","ATLANTA DEKALB PEACHTREE AIRPORT, GA US","  290",",,W","    0",",,W","    0",",,W","  328",",,W","  222",",,W","   11",",,W",,,,,,,,,,,"  180",",,W","  180",",,W","   72",",,W","   85",",,W","    1",",,W",,,"    1",",,W",,,,,,
"USW00053863","2018-07-07","33.875","-84.30222","305.3","ATLANTA DEKALB PEACHTREE AIRPORT, GA US","    5",",,W","    0",",,W","    0",",,W","  294",",,W","  217",",,W","   21",",,W",,,,,,,,,,,"   80",",,W","   70",",,W","   54",",,W","   98",",,W",,,,,"    1",",,W",,,,,,
"USW00053863","2018-07-08","33.875","-84.30222","305.3","ATLANTA DEKALB PEACHTREE AIRPORT, GA US","    3",",,W","    0",",,W","    0",",,W","  289",",,W","  206",",,W","   21",",,W",,,,,,,,,,,"   60",",,W","   60",",,W","   45",",,W","   85",",,W","    1",",,W",,,,,,,,,,
"USW00053863","2018-07-09","33.875","-84.30222","305.3","ATLANTA DEKALB PEACHTREE AIRPORT, GA US","    0",",,W","    0",",,W","    0",",,W","  317",",,W","  183",",,W","   14",",,W",,,,,,,,,,,"   30",",,W","   50",",,W","   58",",,W","   89",",,W",,,,,,,,,,,,
"USW00053863","2018-07-10","33.875","-84.30222","305.3","ATLANTA DEKALB PEACHTREE AIRPORT, GA US","    3",",,W","    0",",,W","    0",",,W","  333",",,W","  200",",,W","   17",",,W",,,,,,,,,,,"  340",",,W","  350",",,W","   54",",,W","   76",",,W",,,,,,,,,,,,
"USW00053863","2018-07-11","33.875","-84.30222","305.3","ATLANTA DEKALB PEACHTREE AIRPORT, GA US","    0","T,,W","    0",",,W","    0",",,W","  344",",,W","  217",",,W","   10",",,W",,,,,,,,,,,"  290",",,W","  230",",,W","   54",",,W","   76",",,W",,,,,"    1",",,W",,,,,,
"USW00053863","2018-07-12","33.875","-84.30222","305.3","ATLANTA DEKALB PEACHTREE AIRPORT, GA US","    0","T,,W","    0",",,W","    0",",,W","  339",",,W","  222",",,W","   15",",,W",,,,,,,,,,,"   10",",,W","  110",",,W","   54",",,W","   67",",,W","    1",",,W",,,"    1",",,W",,,,,,
"USW00053863","2018-07-13","33.875","-84.30222","305.3","ATLANTA DEKALB PEACHTREE AIRPORT, GA US","    5",",,W","    0",",,W","    0",",,W","  322",",,W","  239",",,W","   14",",,W",,,,,,,,,,,"  200",",,W","  200",",,W","   72",",,W","   85",",,W",,,,,"    1",",,W",,,,,,
"USW00053863","2018-07-14","33.875","-84.30222","305.3","ATLANTA DEKALB PEACHTREE AIRPORT, GA US","    0",",,W","    0",",,W","    0",",,W","  311",",,W","  233",",,W","   12",",,W",,,,,,,,,,,"   90",",,W","   80",",,W","   54",",,W","   94",",,W","    1",",,W",,,"    1",",,W",,,,,,
"USW00053863","2018-07-15","33.875","-84.30222","305.3","ATLANTA DEKALB PEACHTREE AIRPORT, GA US","  351",",,W","    0",",,W","    0",",,W","  322",",,W","  217",",,W","   13",",,W",,,,,,,,,,,"  260",",,W","  260",",,W","   76",",,W","   94",",,W","    1",",,W",,,"    1",",,W",,,,,,
