"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","MXPN","MXPN_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WT03","WT03_ATTRIBUTES"
"FMC00914325","2018-07-03","1.08333","154.8","2.7","KAPINGAMARANGI, FM FM","   13",",,7",,,,,"  317",",,7","  222",",,7",,,,,,,"  267",",,7",,
"FMC00914325","2018-07-04","1.08333","154.8","2.7","KAPINGAMARANGI, FM FM","   38",",,7",,,,,"  328",",,7","  244",",,7",,,,,,,"  283",",,7",,
"FMC00914325","2018-07-05","1.08333","154.8","2.7","KAPINGAMARANGI, FM FM","    0",",,7",,,,,"  328",",,7","  239",",,7",,,,,,,"  283",",,7",,
"FMC00914325","2018-07-06","1.08333","154.8","2.7","KAPINGAMARANGI, FM FM","   13",",,7",,,,,"  328",",,7","  244",",,7",,,,,,,"  289",",,7",,
"FMC00914325","2018-07-07","1.08333","154.8","2.7","KAPINGAMARANGI, FM FM","    3",",,7",,,,,"  322",",,7","  239",",,7",,,,,,,"  267",",,7",,
"FMC00914325","2018-07-08","1.08333","154.8","2.7","KAPINGAMARANGI, FM FM","    8",",,7",,,,,"  294",",,7","  200",",,7",,,,,,,"  250",",,7",,
"FMC00914325","2018-07-09","1.08333","154.8","2.7","KAPINGAMARANGI, FM FM","   41",",,7",,,,,"  306",",,7","  239",",,7",,,,,,,"  261",",,7",,
"FMC00914325","2018-07-10","1.08333","154.8","2.7","KAPINGAMARANGI, FM FM"," 1461",",,7",,,,,"  289",",,7","  200",",,7",,,,,,,"  222",",,7",,
"FMC00914325","2018-07-11","1.08333","154.8","2.7","KAPINGAMARANGI, FM FM","    5",",,7",,,,,"  311",",,7","  222",",,7",,,,,,,"  261",",,7",,
"FMC00914325","2018-07-12","1.08333","154.8","2.7","KAPINGAMARANGI, FM FM","   51",",,7",,,,,"  311",",,7","  222",",,7",,,,,,,"  239",",,7",,
"FMC00914325","2018-07-13","1.08333","154.8","2.7","KAPINGAMARANGI, FM FM","   18",",,7",,,,,"  322",",,7","  239",",,7",,,,,,,"  283",",,7",,
"FMC00914325","2018-07-14","1.08333","154.8","2.7","KAPINGAMARANGI, FM FM","   51",",,7",,,,,"  328",",,7","  228",",,7",,,,,,,"  283",",,7",,
"FMC00914325","2018-07-15","1.08333","154.8","2.7","KAPINGAMARANGI, FM FM","  561",",,7",,,,,"  322",",,7","  211",",,7",,,,,,,"  239",",,7",,
"FMC00914325","2018-07-16","1.08333","154.8","2.7","KAPINGAMARANGI, FM FM","  109",",,7",,,,,"  300",",,7","  228",",,7",,,,,,,"  261",",,7",,
"FMC00914325","2018-07-17","1.08333","154.8","2.7","KAPINGAMARANGI, FM FM","  714",",,7",,,,,"  294",",,7","  189",",,7",,,,,,,"  222",",,7",,
"FMC00914325","2018-07-18","1.08333","154.8","2.7","KAPINGAMARANGI, FM FM","   28",",,7",,,,,"  306",",,7","  211",",,7",,,,,,,"  267",",,7",,
"FMC00914325","2018-07-19","1.08333","154.8","2.7","KAPINGAMARANGI, FM FM","   10",",,7",,,,,"  306",",,7","  228",",,7",,,,,,,"  261",",,7",,
"FMC00914325","2018-07-20","1.08333","154.8","2.7","KAPINGAMARANGI, FM FM","  315",",,7",,,,,"  322",",,7","  206",",,7",,,,,,,"  278",",,7",,
"FMC00914325","2018-07-21","1.08333","154.8","2.7","KAPINGAMARANGI, FM FM","  305",",,7",,,,,"  306",",,7","  222",",,7",,,,,,,"  267",",,7",,
"FMC00914325","2018-07-22","1.08333","154.8","2.7","KAPINGAMARANGI, FM FM","    0",",,7",,,,,"  317",",,7","  228",",,7",,,,,,,"  272",",,7",,
"FMC00914325","2018-07-23","1.08333","154.8","2.7","KAPINGAMARANGI, FM FM","   94",",,7",,,,,"  311",",,7","  228",",,7",,,,,,,"  272",",,7",,
"FMC00914325","2018-07-24","1.08333","154.8","2.7","KAPINGAMARANGI, FM FM","  127",",,7",,,,,"  306",",,7","  211",",,7",,,,,,,"  267",",,7",,
"FMC00914325","2018-07-25","1.08333","154.8","2.7","KAPINGAMARANGI, FM FM","   41",",,7",,,,,"  289",",,7","  194",",,7",,,,,,,"  244",",,7",,
"FMC00914325","2018-07-26","1.08333","154.8","2.7","KAPINGAMARANGI, FM FM","  183",",,7",,,,,"  294",",,7","  206",",,7",,,,,,,"  244",",,7",,
"FMC00914325","2018-07-27","1.08333","154.8","2.7","KAPINGAMARANGI, FM FM","    8",",,7",,,,,"  306",",,7","  217",",,7",,,,,,,"  256",",,7",,
