"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","ACMH","ACMH_ATTRIBUTES","ACSH","ACSH_ATTRIBUTES","AWND","AWND_ATTRIBUTES","FMTM","FMTM_ATTRIBUTES","FRTH","FRTH_ATTRIBUTES","GAHT","GAHT_ATTRIBUTES","PGTM","PGTM_ATTRIBUTES","PSUN","PSUN_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDF1","WDF1_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WDFM","WDFM_ATTRIBUTES","WESD","WESD_ATTRIBUTES","WSF1","WSF1_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES","WSFM","WSFM_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT02","WT02_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT07","WT07_ATTRIBUTES","WT08","WT08_ATTRIBUTES","WT09","WT09_ATTRIBUTES","WT10","WT10_ATTRIBUTES","WT11","WT11_ATTRIBUTES","WT13","WT13_ATTRIBUTES","WT14","WT14_ATTRIBUTES","WT15","WT15_ATTRIBUTES","WT16","WT16_ATTRIBUTES","WT17","WT17_ATTRIBUTES","WT18","WT18_ATTRIBUTES","WT19","WT19_ATTRIBUTES","WT21","WT21_ATTRIBUTES","WT22","WT22_ATTRIBUTES","WV03","WV03_ATTRIBUTES"
"USW00013964","2018-07-07","35.333","-94.3625","136.9","FORT SMITH REGIONAL AIRPORT, AR US","    0",",,W,2400","    0",",,W,2400","    0",",,W,2400","  333",",,W","  228",",,W",,,,,"   26",",,W",,,,,,,,,,,"  272","H,,S",,,,,,,"  110",",,W","   80",",,W",,,,,,,,,"   63",",,W","   81",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00013964","2018-07-08","35.333","-94.3625","136.9","FORT SMITH REGIONAL AIRPORT, AR US","    0",",,W,2400","    0",",,W,2400","    0",",,W,2400","  328",",,W","  222",",,W",,,,,"   27",",,W",,,,,,,,,,,"  274","H,,S",,,,,,,"   50",",,W","   50",",,W",,,,,,,,,"   72",",,W","   89",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00013964","2018-07-09","35.333","-94.3625","136.9","FORT SMITH REGIONAL AIRPORT, AR US","    0","T,,W,2400","    0",",,W,2400","    0",",,W,2400","  339",",,W","  233",",,W",,,,,"   21",",,W",,,,,,,,,,,"  276","H,,S",,,,,,,"  140",",,W","  150",",,W",,,,,,,,,"   67",",,W","   89",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00013964","2018-07-10","35.333","-94.3625","136.9","FORT SMITH REGIONAL AIRPORT, AR US","    0",",,W,2400","    0",",,W,2400","    0",",,W,2400","  356",",,W","  239",",,W",,,,,"   15",",,W",,,,,,,,,,,"  291","H,,S",,,,,,,"  170",",,W","  110",",,W",,,,,,,,,"   45",",,W","   94",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00013964","2018-07-11","35.333","-94.3625","136.9","FORT SMITH REGIONAL AIRPORT, AR US","    0",",,W,2400","    0",",,W,2400","    0",",,W,2400","  372",",,W","  250",",,W",,,,,"   17",",,W",,,,,,,,,,,"  306","H,,S",,,,,,,"  200",",,W","  200",",,W",,,,,,,,,"   63",",,W","   72",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00013964","2018-07-12","35.333","-94.3625","136.9","FORT SMITH REGIONAL AIRPORT, AR US","    0",",,W,2400","    0",",,W,2400","    0",",,W,2400","  372",",,W","  244",",,W",,,,,"   19",",,W",,,,,,,,,,,"  303","H,,S",,,,,,,"  220",",,W","  200",",,W",,,,,,,,,"   72",",,W","   89",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00013964","2018-07-13","35.333","-94.3625","136.9","FORT SMITH REGIONAL AIRPORT, AR US","    0",",,W,2400","    0",",,W,2400","    0",",,W,2400","  361",",,W","  244",",,W",,,,,"   17",",,W",,,,,,,,,,,"  295","H,,S",,,,,,,"  220",",,W","  260",",,W",,,,,,,,,"   58",",,W","   81",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00013964","2018-07-14","35.333","-94.3625","136.9","FORT SMITH REGIONAL AIRPORT, AR US","    0",",,W,2400","    0",",,W,2400","    0",",,W,2400","  367",",,W","  250",",,W",,,,,"   20",",,W",,,,,,,,,,,"  312","H,,S",,,,,,,"  260",",,W","  250",",,W",,,,,,,,,"   67",",,W","   85",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00013964","2018-07-15","35.333","-94.3625","136.9","FORT SMITH REGIONAL AIRPORT, AR US","   13",",,W,2400","    0",",,W,2400","    0",",,W,2400","  372",",,W","  256",",,W",,,,,"   19",",,W",,,,,,,,,,,"  314","H,,S",,,,,,,"  320",",,W","  310",",,W",,,,,,,,,"   81",",,W","  107",",,W",,,,,,,,,"    1",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00013964","2018-07-16","35.333","-94.3625","136.9","FORT SMITH REGIONAL AIRPORT, AR US","    5",",,W,2400","    0",",,W,2400","    0",",,W,2400","  367",",,W","  261",",,W",,,,,"   19",",,W",,,,,,,,,,,"  301","H,,S",,,,,,,"  320",",,W","  330",",,W",,,,,,,,,"  103",",,W","  139",",,W",,,,,,,,,"    1",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
