"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT08","WT08_ATTRIBUTES","WT11","WT11_ATTRIBUTES","WT14","WT14_ATTRIBUTES","WT16","WT16_ATTRIBUTES","WT18","WT18_ATTRIBUTES"
"USC00041312","2017-07-14","38.5961","-122.6013","121.9","CALISTOGA, CA US","    0",",,7,1600",,,,,"  339",",,7","  128",",,7",,,,,"  339",",,7,1600",,,,,,,,,,,,,,,,,,
"USC00041312","2017-07-15","38.5961","-122.6013","121.9","CALISTOGA, CA US","    0",",,7,1600",,,,,"  389",",,7","  122",",,7",,,,,"  389",",,7,1600",,,,,,,,,,,,,,,,,,
"USC00041312","2017-07-16","38.5961","-122.6013","121.9","CALISTOGA, CA US","    0",",,7,1600",,,,,"  406",",,7","  139",",,7",,,,,"  372",",,7,1600",,,,,,,,,,,,,,,,,,
"USC00041312","2017-07-17","38.5961","-122.6013","121.9","CALISTOGA, CA US","    0",",,7,1600",,,,,"  372",",,7","  133",",,7",,,,,"  317",",,7,1600",,,,,,,,,,,,,,,,,,
"USC00041312","2017-07-18","38.5961","-122.6013","121.9","CALISTOGA, CA US","    0",",,7,1600",,,,,"  317",",,7","   89",",,7",,,,,"  317",",,7,1600",,,,,,,,,,,,,,,,,,
"USC00041312","2017-07-19","38.5961","-122.6013","121.9","CALISTOGA, CA US","    0",",,7,1600",,,,,"  339",",,7","   89",",,7",,,,,"  322",",,7,1600",,,,,,,,,,,,,,,,,,
"USC00041312","2017-07-20","38.5961","-122.6013","121.9","CALISTOGA, CA US","    0",",,7,1600",,,,,"  344",",,7","   94",",,7",,,,,"  333",",,7,1600",,,,,,,,,,,,,,,,,,
"USC00041312","2017-07-21","38.5961","-122.6013","121.9","CALISTOGA, CA US","    0",",,7,1600",,,,,"  344",",,7","  100",",,7",,,,,"  344",",,7,1600",,,,,,,,,,,,,,,,,,
"USC00041312","2017-07-22","38.5961","-122.6013","121.9","CALISTOGA, CA US","    0",",,7,1600",,,,,"  372",",,7","  106",",,7",,,,,"  350",",,7,1600",,,,,,,,,,,,,,,,,,
"USC00041312","2017-07-23","38.5961","-122.6013","121.9","CALISTOGA, CA US","    0",",,7,1600",,,,,"  378",",,7","  128",",,7",,,,,"  300",",,7,1600",,,,,,,,,,,,,,,,,,
"USC00041312","2017-07-24","38.5961","-122.6013","121.9","CALISTOGA, CA US","    0",",,7,1600",,,,,"  300",",,7","  106",",,7",,,,,"  300",",,7,1600",,,,,,,,,,,,,,,,,,
