"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","DASF","DASF_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","MDSF","MDSF_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WESD","WESD_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT09","WT09_ATTRIBUTES","WT11","WT11_ATTRIBUTES","WT14","WT14_ATTRIBUTES"
"USC00329233","2018-03-28","47.8038","-103.2891","661.4","WATFORD CITY, ND US","    0",",,7,0800","    0",",,7",,,"   94",",,7","  -44",",,7",,,,,,,,,"  -39",",,7,0800",,,,,,,,,,,,,,,,,,
"USC00329233","2018-03-29","47.8038","-103.2891","661.4","WATFORD CITY, ND US","    0",",,7,0800","    0",",,7",,,"   -6",",,7","  -56",",,7",,,,,,,,,"  -50",",,7,0800",,,,,,,,,,,,,,,,,,
"USC00329233","2018-03-30","47.8038","-103.2891","661.4","WATFORD CITY, ND US","    0","T,,7,0800","    0","T,,7",,,"    6",",,7"," -117",",,7",,,,,,,,," -111",",,7,0800",,,,,,,,,,,,,,,,,,
"USC00329233","2018-03-31","47.8038","-103.2891","661.4","WATFORD CITY, ND US","   46",",,7,0800","   89",",,7",,,"  -33",",,7"," -172",",,7",,,,,,,,," -167",",,7,0800",,,,,,,,,,,,,,,,,,
"USC00329233","2018-04-01","47.8038","-103.2891","661.4","WATFORD CITY, ND US","    0",",,7,0800",,,,,"  -94",",,7"," -167",",,7",,,,,,,,," -144",",,7,0800",,,,,,,,,,,,,,,,,,
"USC00329233","2018-04-02","47.8038","-103.2891","661.4","WATFORD CITY, ND US","    0",",,7,0800",,,,,"  -22",",,7"," -144",",,7",,,,,,,,," -106",",,7,0800",,,,,,,,,,,,,,,,,,
"USC00329233","2018-04-03","47.8038","-103.2891","661.4","WATFORD CITY, ND US","    0","T,,7,0800","    0","T,,7",,,"  -61",",,7"," -117",",,7",,,,,,,,," -111",",,7,0800",,,,,,,,,,,,,,,,,,
"USC00329233","2018-04-06","47.8038","-103.2891","661.4","WATFORD CITY, ND US",,,"    0","T,,7",,,"  -39",",,7"," -178",",,7","    3",",,7",,,"    0","T,,7",,," -172",",,7,0800",,,,,,,,,,,,,,,,,,
"USC00329233","2018-04-07","47.8038","-103.2891","661.4","WATFORD CITY, ND US","    0",",,7,0800",,,,,"  -89",",,7"," -172",",,7",,,,,,,,," -150",",,7,0800",,,,,,,,,,,,,,,,,,
"USC00329233","2018-04-08","47.8038","-103.2891","661.4","WATFORD CITY, ND US","   13",",,7,0800","   13",",,7",,,"  -39",",,7"," -150",",,7",,,,,,,,,"  -94",",,7,0800",,,,,,,,,,,,,,,,,,
