"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES"
"CA001145M29","2018-06-21","49.4833","-117.3","535.0","NELSON CS, BC CA","    2",",,C",,,,,"  284",",,C","  135",",,C",,,"  210",",,C","   26",",,C","  370",",,C"
"CA001145M29","2018-06-22","49.4833","-117.3","535.0","NELSON CS, BC CA","   62",",,C",,,,,"  243",",,C","  135",",,C",,,"  189",",,C","   26",",,C","  410",",,C"
"CA001145M29","2018-06-23","49.4833","-117.3","535.0","NELSON CS, BC CA","    0",",,C",,,,,"  259",",,C","  135",",,C",,,"  197",",,C","    0",",,C","    0",",,C"
"CA001145M29","2018-06-24","49.4833","-117.3","535.0","NELSON CS, BC CA","    0",",,C",,,,,"  285",",,C","  112",",,C",,,"  199",",,C","    0",",,C","    0",",,C"
"CA001145M29","2018-06-25","49.4833","-117.3","535.0","NELSON CS, BC CA","   80",",,C",,,,,"  259",",,C","  122",",,C",,,"  191",",,C","    1",",,C","  520",",,C"
"CA001145M29","2018-06-26","49.4833","-117.3","535.0","NELSON CS, BC CA","    2",",,C",,,,,"  242",",,C","   81",",,C",,,"  162",",,C","   27",",,C","  330",",,C"
"CA001145M29","2018-06-27","49.4833","-117.3","535.0","NELSON CS, BC CA","    0",",,C",,,,,"  243",",,C","   73",",,C",,,"  158",",,C","   28",",,C","  430",",,C"
"CA001145M29","2018-06-28","49.4833","-117.3","535.0","NELSON CS, BC CA","    2",",,C",,,,,"  184",",,C","  121",",,C",,,"  153",",,C","    0",",,C","    0",",,C"
"CA001145M29","2018-06-29","49.4833","-117.3","535.0","NELSON CS, BC CA","    2",",,C",,,,,"  221",",,C","  105",",,C",,,"  163",",,C","   27",",,C","  380",",,C"
"CA001145M29","2018-06-30","49.4833","-117.3","535.0","NELSON CS, BC CA","   23",",,C",,,,,"  210",",,C","   99",",,C",,,"  155",",,C","   28",",,C","  320",",,C"
"CA001145M29","2018-07-01","49.4833","-117.3","535.0","NELSON CS, BC CA","    2",",,C",,,,,"  214",",,C","  111",",,C",,,"  163",",,C","    4",",,C","  350",",,C"
"CA001145M29","2018-07-02","49.4833","-117.3","535.0","NELSON CS, BC CA","    0",",,C",,,,,"  209",",,C","   92",",,C",,,"  151",",,C","   29",",,C","  390",",,C"
"CA001145M29","2018-07-03","49.4833","-117.3","535.0","NELSON CS, BC CA","    2",",,C",,,,,"  200",",,C","   77",",,C",,,"  139",",,C","    0",",,C","    0",",,C"
"CA001145M29","2018-07-04","49.4833","-117.3","535.0","NELSON CS, BC CA","    0",",,C",,,,,"  272",",,C","  108",",,C",,,"  190",",,C","    2",",,C","  330",",,C"
