"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","MDSF","MDSF_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES"
"CA00301222F","2018-07-04","53.55","-114.1167","766.0","EDMONTON STONY PLAIN, AB CA","    0","T,,C","    0",",,C","    0",",,C","  215",",,C","  115",",,C",,,,,"  165",",,C",,,,
"CA00301222F","2018-07-05","53.55","-114.1167","766.0","EDMONTON STONY PLAIN, AB CA","    0","T,,C","    0",",,C","    0",",,C","  260",",,C","  100",",,C",,,,,"  180",",,C",,,,
"CA00301222F","2018-07-06","53.55","-114.1167","766.0","EDMONTON STONY PLAIN, AB CA","  214",",,C","    0",",,C","    0",",,C","  280",",,C","  150",",,C",,,,,"  215",",,C",,,,
"CA00301222F","2018-07-07","53.55","-114.1167","766.0","EDMONTON STONY PLAIN, AB CA","   52",",,C","    0",",,C","    0",",,C","  210",",,C","  125",",,C",,,,,"  168",",,C",,,,
"CA00301222F","2018-07-08","53.55","-114.1167","766.0","EDMONTON STONY PLAIN, AB CA","   24",",,C","    0",",,C","    0",",,C","  220",",,C","   85",",,C",,,,,"  153",",,C",,,,
"CA00301222F","2018-07-09","53.55","-114.1167","766.0","EDMONTON STONY PLAIN, AB CA","    0",",,C","    0",",,C","    0",",,C","  260",",,C","  115",",,C",,,,,"  188",",,C",,,,
"CA00301222F","2018-07-10","53.55","-114.1167","766.0","EDMONTON STONY PLAIN, AB CA","  114",",,C","    0",",,C","    0",",,C","  240",",,C","  150",",,C",,,,,"  195",",,C",,,,
"CA00301222F","2018-07-11","53.55","-114.1167","766.0","EDMONTON STONY PLAIN, AB CA","    0",",,C","    0",",,C","    0",",,C","  260",",,C","  145",",,C",,,,,"  203",",,C",,,,
"CA00301222F","2018-07-12","53.55","-114.1167","766.0","EDMONTON STONY PLAIN, AB CA","   42",",,C","    0",",,C","    0",",,C","  260",",,C","  140",",,C",,,,,"  200",",,C",,,,
"CA00301222F","2018-07-13","53.55","-114.1167","766.0","EDMONTON STONY PLAIN, AB CA","   96",",,C","    0",",,C","    0",",,C","  220",",,C","  125",",,C",,,,,"  173",",,C",,,,
"CA00301222F","2018-07-14","53.55","-114.1167","766.0","EDMONTON STONY PLAIN, AB CA","    2",",,C","    0",",,C","    0",",,C","  190",",,C","   90",",,C",,,,,"  140",",,C",,,,
