"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","ACMH","ACMH_ATTRIBUTES","ACSH","ACSH_ATTRIBUTES","AWND","AWND_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","FMTM","FMTM_ATTRIBUTES","FRGT","FRGT_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","PGTM","PGTM_ATTRIBUTES","PSUN","PSUN_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDF1","WDF1_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WDFM","WDFM_ATTRIBUTES","WESD","WESD_ATTRIBUTES","WSF1","WSF1_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES","WSFM","WSFM_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT02","WT02_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT07","WT07_ATTRIBUTES","WT08","WT08_ATTRIBUTES","WT09","WT09_ATTRIBUTES","WT10","WT10_ATTRIBUTES","WT13","WT13_ATTRIBUTES","WT14","WT14_ATTRIBUTES","WT16","WT16_ATTRIBUTES","WT18","WT18_ATTRIBUTES","WT21","WT21_ATTRIBUTES","WT22","WT22_ATTRIBUTES","WV03","WV03_ATTRIBUTES","WV20","WV20_ATTRIBUTES"
"USW00023232","2018-07-17","38.5069","-121.495","4.6","SACRAMENTO EXECUTIVE AIRPORT, CA US","    0",",,W,2400","    0",",,H","    0",",,H","  372",",,W","  156",",,W",,,,,"   26",",,W",,,,,,,,,,,,,"  243","H,,S",,,,,"  240",",,W","  220",",,W",,,,,,,,,"   58",",,W","   76",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00023232","2018-07-18","38.5069","-121.495","4.6","SACRAMENTO EXECUTIVE AIRPORT, CA US","    0",",,W,2400","    0",",,H","    0",",,H","  389",",,W","  167",",,W",,,,,"   22",",,W",,,,,,,,,,,,,"  259","H,,S",,,,,"  240",",,W","  210",",,W",,,,,,,,,"   58",",,W","   81",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00023232","2018-07-19","38.5069","-121.495","4.6","SACRAMENTO EXECUTIVE AIRPORT, CA US","    0",",,W,2400","    0",",,H","    0",",,H","  372",",,W","  167",",,W",,,,,"   34",",,W",,,,,,,,,,,,,"  258","H,,S",,,,,"  200",",,W","  200",",,W",,,,,,,,,"   63",",,W","   89",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00023232","2018-07-20","38.5069","-121.495","4.6","SACRAMENTO EXECUTIVE AIRPORT, CA US","    0",",,W,2400","    0",",,H","    0",",,H","  344",",,W","  178",",,W",,,,,"   46",",,W",,,,,,,,,,,,,"  258","H,,S",,,,,"  230",",,W","  240",",,W",,,,,,,,,"  103",",,W","  139",",,W",,,,,,,,,,,,,,,,,"    1",",,W",,,,,,,,,,,,,,,,,,,,
"USW00023232","2018-07-21","38.5069","-121.495","4.6","SACRAMENTO EXECUTIVE AIRPORT, CA US","    0",",,W,2400","    0",",,H","    0",",,H","  344",",,W","  183",",,W",,,,,"   43",",,W",,,,,,,,,,,,,"  254","H,,S",,,,,"  220",",,W","  230",",,W",,,,,,,,,"   94",",,W","  125",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00023232","2018-07-22","38.5069","-121.495","4.6","SACRAMENTO EXECUTIVE AIRPORT, CA US","    0",",,W,2400","    0",",,H","    0",",,H","  344",",,W","  167",",,W",,,,,"   34",",,W",,,,,,,,,,,,,"  242","H,,S",,,,,"  210",",,W","  210",",,W",,,,,,,,,"   72",",,W","  107",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00023232","2018-07-23","38.5069","-121.495","4.6","SACRAMENTO EXECUTIVE AIRPORT, CA US","    0",",,W,2400","    0",",,H","    0",",,H","  372",",,W","  172",",,W",,,,,"   31",",,W",,,,,,,,,,,,,"  251","H,,S",,,,,"  230",",,W","  210",",,W",,,,,,,,,"   72",",,W","   94",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00023232","2018-07-24","38.5069","-121.495","4.6","SACRAMENTO EXECUTIVE AIRPORT, CA US","    0",",,W,2400","    0",",,H","    0",",,H","  378",",,W","  161",",,W",,,,,"   26",",,W",,,,,,,,,,,,,"  251","H,,S",,,,,"  230",",,W","  240",",,W",,,,,,,,,"   67",",,W","   89",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00023232","2018-07-25","38.5069","-121.495","4.6","SACRAMENTO EXECUTIVE AIRPORT, CA US","    0",",,W,2400","    0",",,H","    0",",,H","  400",",,W","  167",",,W",,,,,"   21",",,W",,,,,,,,,,,,,"  264","H,,S",,,,,"  230",",,W","  220",",,W",,,,,,,,,"   67",",,W","   81",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00023232","2018-07-26","38.5069","-121.495","4.6","SACRAMENTO EXECUTIVE AIRPORT, CA US","    0",",,W,2400","    0",",,H","    0",",,H","  367",",,W","  167",",,W",,,,,"   23",",,W",,,,,,,,,,,,,"  259","H,,S",,,,,"  200",",,W","  320",",,W",,,,,,,,,"   54",",,W","   76",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00023232","2018-07-27","38.5069","-121.495","4.6","SACRAMENTO EXECUTIVE AIRPORT, CA US","    0",",,W,2400","    0",",,H","    0",",,H","  344",",,W","  144",",,W",,,,,"   29",",,W",,,,,,,,,,,,,"  234","H,,S",,,,,"  200",",,W","   40",",,W",,,,,,,,,"   54",",,W","   76",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00023232","2018-07-28","38.5069","-121.495","4.6","SACRAMENTO EXECUTIVE AIRPORT, CA US","    0",",,W,2400","    0",",,H","    0",",,H","  361",",,W","  144",",,W",,,,,"   23",",,W",,,,,,,,,,,,,"  233","H,,S",,,,,"  210",",,W","  210",",,W",,,,,,,,,"   58",",,W","   81",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00023232","2018-07-29","38.5069","-121.495","4.6","SACRAMENTO EXECUTIVE AIRPORT, CA US","    0",",,W,2400","    0",",,H","    0",",,H","  322",",,W","  150",",,W",,,,,"   24",",,W",,,,,,,,,,,,,"  226","H,,S",,,,,"  190",",,W","  210",",,W",,,,,,,,,"   40",",,W","   72",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00023232","2018-07-30","38.5069","-121.495","4.6","SACRAMENTO EXECUTIVE AIRPORT, CA US","    0",",,W,2400","    0",",,H","    0",",,H","  350",",,W","  144",",,W",,,,,"   20",",,W",,,,,,,,,,,,,"  228","H,,S",,,,,"  210",",,W","  190",",,W",,,,,,,,,"   45",",,W","   67",",,W",,,,,,,,,,,,,,,,,"    1",",,W",,,,,,,,,,,,,,,,,,,,
"USW00023232","2018-07-31","38.5069","-121.495","4.6","SACRAMENTO EXECUTIVE AIRPORT, CA US","    0",",,W,2400","    0",",,H","    0",",,H","  350",",,W","  150",",,W",,,,,"   22",",,W",,,,,,,,,,,,,"  238","H,,S",,,,,"  200",",,W","  210",",,W",,,,,,,,,"   54",",,W","   63",",,W",,,,,,,,,,,,,,,,,"    1",",,W",,,,,,,,,,,,,,,,,,,,
"USW00023232","2018-08-01","38.5069","-121.495","4.6","SACRAMENTO EXECUTIVE AIRPORT, CA US","    0",",,W,2400",,,,,"  328",",,W","  150",",,W",,,,,"   30",",,W",,,,,,,,,,,,,"  233","H,,S",,,,,"  210",",,W","  190",",,W",,,,,,,,,"   54",",,W","   72",",,W",,,,,,,,,,,,,,,,,"    1",",,W",,,,,,,,,,,,,,,,,,,,
"USW00023232","2018-08-02","38.5069","-121.495","4.6","SACRAMENTO EXECUTIVE AIRPORT, CA US","    0",",,W,2400","    0",",,H","    0",",,H","  328",",,W","  139",",,W",,,,,"   24",",,W",,,,,,,,,,,,,"  226","H,,S",,,,,"  190",",,W","  220",",,W",,,,,,,,,"   58",",,W","   81",",,W",,,,,,,,,,,,,,,,,"    1",",,W",,,,,,,,,,,,,,,,,,,,
