"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES"
"USC00111550","2018-06-10","41.8558","-87.6094","177.7","CHICAGO NORTHERLY ISLAND, IL US","  194",",,7","  139",",,7","  150",",,7,2400"
"USC00111550","2018-06-11","41.8558","-87.6094","177.7","CHICAGO NORTHERLY ISLAND, IL US","  167",",,7","  139",",,7","  161",",,7,2400"
"USC00111550","2018-06-12","41.8558","-87.6094","177.7","CHICAGO NORTHERLY ISLAND, IL US","  206",",,7","  156",",,7","  183",",,7,2400"
"USC00111550","2018-06-13","41.8558","-87.6094","177.7","CHICAGO NORTHERLY ISLAND, IL US","  244",",,7","  167",",,7","  206",",,7,2400"
"USC00111550","2018-06-14","41.8558","-87.6094","177.7","CHICAGO NORTHERLY ISLAND, IL US","  239",",,7","  167",",,7","  172",",,7,2400"
"USC00111550","2018-06-15","41.8558","-87.6094","177.7","CHICAGO NORTHERLY ISLAND, IL US","  278",",,7","  161",",,7","  267",",,7,2400"
"USC00111550","2018-06-16","41.8558","-87.6094","177.7","CHICAGO NORTHERLY ISLAND, IL US","  289",",,7","  183",",,7","  283",",,7,2400"
"USC00111550","2018-06-17","41.8558","-87.6094","177.7","CHICAGO NORTHERLY ISLAND, IL US","  339",",,7","  256",",,7","  283",",,7,2400"
"USC00111550","2018-06-18","41.8558","-87.6094","177.7","CHICAGO NORTHERLY ISLAND, IL US","  339",",,7","  167",",,7","  167",",,7,2400"
"USC00111550","2018-06-19","41.8558","-87.6094","177.7","CHICAGO NORTHERLY ISLAND, IL US","  217",",,7","  156",",,7","  183",",,7,2400"
"USC00111550","2018-06-20","41.8558","-87.6094","177.7","CHICAGO NORTHERLY ISLAND, IL US","  217",",,7","  161",",,7","  167",",,7,2400"
"USC00111550","2018-06-21","41.8558","-87.6094","177.7","CHICAGO NORTHERLY ISLAND, IL US","  178",",,7","  150",",,7","  156",",,7,2400"
"USC00111550","2018-06-22","41.8558","-87.6094","177.7","CHICAGO NORTHERLY ISLAND, IL US","  172",",,7","  150",",,7","  167",",,7,2400"
"USC00111550","2018-06-23","41.8558","-87.6094","177.7","CHICAGO NORTHERLY ISLAND, IL US","  217",",,7","  161",",,7","  211",",,7,2400"
"USC00111550","2018-06-24","41.8558","-87.6094","177.7","CHICAGO NORTHERLY ISLAND, IL US","  228",",,7","  156",",,7","  161",",,7,2400"
"USC00111550","2018-06-25","41.8558","-87.6094","177.7","CHICAGO NORTHERLY ISLAND, IL US","  211",",,7","  156",",,7","  183",",,7,2400"
"USC00111550","2018-06-26","41.8558","-87.6094","177.7","CHICAGO NORTHERLY ISLAND, IL US","  261",",,7","  172",",,7","  217",",,7,2400"
"USC00111550","2018-06-27","41.8558","-87.6094","177.7","CHICAGO NORTHERLY ISLAND, IL US","  228",",,7","  178",",,7","  189",",,7,2400"
"USC00111550","2018-06-28","41.8558","-87.6094","177.7","CHICAGO NORTHERLY ISLAND, IL US","  261",",,7","  183",",,7","  206",",,7,2400"
"USC00111550","2018-06-29","41.8558","-87.6094","177.7","CHICAGO NORTHERLY ISLAND, IL US","  339",",,7","  206",",,7","  283",",,7,2400"
"USC00111550","2018-06-30","41.8558","-87.6094","177.7","CHICAGO NORTHERLY ISLAND, IL US","  333",",,7","  250",",,7","  278",",,7,2400"
"USC00111550","2018-07-01","41.8558","-87.6094","177.7","CHICAGO NORTHERLY ISLAND, IL US","  333",",,7","  244",",,7","  244",",,7,2400"
"USC00111550","2018-07-02","41.8558","-87.6094","177.7","CHICAGO NORTHERLY ISLAND, IL US","  244",",,7","  178",",,7","  178",",,7,2400"
"USC00111550","2018-07-03","41.8558","-87.6094","177.7","CHICAGO NORTHERLY ISLAND, IL US","  272",",,7","  172",",,7","  228",",,7,2400"
"USC00111550","2018-07-04","41.8558","-87.6094","177.7","CHICAGO NORTHERLY ISLAND, IL US","  322",",,7","  206",",,7","  239",",,7,2400"
"USC00111550","2018-07-05","41.8558","-87.6094","177.7","CHICAGO NORTHERLY ISLAND, IL US","  289",",,7","  222",",,7","  239",",,7,2400"
"USC00111550","2018-07-06","41.8558","-87.6094","177.7","CHICAGO NORTHERLY ISLAND, IL US","  239",",,7","  178",",,7","  183",",,7,2400"
"USC00111550","2018-07-07","41.8558","-87.6094","177.7","CHICAGO NORTHERLY ISLAND, IL US","  228",",,7","  178",",,7","  178",",,7,2400"
"USC00111550","2018-07-08","41.8558","-87.6094","177.7","CHICAGO NORTHERLY ISLAND, IL US","  256",",,7","  172",",,7","  233",",,7,2400"
"USC00111550","2018-07-09","41.8558","-87.6094","177.7","CHICAGO NORTHERLY ISLAND, IL US","  322",",,7","  211",",,7","  272",",,7,2400"
"USC00111550","2018-07-10","41.8558","-87.6094","177.7","CHICAGO NORTHERLY ISLAND, IL US","  272",",,7","  206",",,7","  211",",,7,2400"
"USC00111550","2018-07-11","41.8558","-87.6094","177.7","CHICAGO NORTHERLY ISLAND, IL US","  256",",,7","  206",",,7","  211",",,7,2400"
"USC00111550","2018-07-12","41.8558","-87.6094","177.7","CHICAGO NORTHERLY ISLAND, IL US","  300",",,7","  200",",,7","  244",",,7,2400"
"USC00111550","2018-07-13","41.8558","-87.6094","177.7","CHICAGO NORTHERLY ISLAND, IL US","  333",",,7","  222",",,7","  267",",,7,2400"
"USC00111550","2018-07-14","41.8558","-87.6094","177.7","CHICAGO NORTHERLY ISLAND, IL US","  267",",,7","  217",",,7","  217",",,7,2400"
"USC00111550","2018-07-15","41.8558","-87.6094","177.7","CHICAGO NORTHERLY ISLAND, IL US","  278",",,7","  217",",,7","  261",",,7,2400"
"USC00111550","2018-07-16","41.8558","-87.6094","177.7","CHICAGO NORTHERLY ISLAND, IL US","  294",",,7","  222",",,7","  250",",,7,2400"
"USC00111550","2018-07-17","41.8558","-87.6094","177.7","CHICAGO NORTHERLY ISLAND, IL US","  267",",,7","  200",",,7","  206",",,7,2400"
"USC00111550","2018-07-18","41.8558","-87.6094","177.7","CHICAGO NORTHERLY ISLAND, IL US","  239",",,7","  200",",,7","  206",",,7,2400"
"USC00111550","2018-07-19","41.8558","-87.6094","177.7","CHICAGO NORTHERLY ISLAND, IL US","  311",",,7","  206",",,7","  250",",,7,2400"
"USC00111550","2018-07-20","41.8558","-87.6094","177.7","CHICAGO NORTHERLY ISLAND, IL US","  250",",,7","  206",",,7","  211",",,7,2400"
"USC00111550","2018-07-21","41.8558","-87.6094","177.7","CHICAGO NORTHERLY ISLAND, IL US","  228",",,7","  200",",,7","  206",",,7,2400"
"USC00111550","2018-07-22","41.8558","-87.6094","177.7","CHICAGO NORTHERLY ISLAND, IL US","  233",",,7","  200",",,7","  211",",,7,2400"
"USC00111550","2018-07-23","41.8558","-87.6094","177.7","CHICAGO NORTHERLY ISLAND, IL US","  244",",,7","  200",",,7","  206",",,7,2400"
"USC00111550","2018-07-24","41.8558","-87.6094","177.7","CHICAGO NORTHERLY ISLAND, IL US","  250",",,7","  200",",,7","  244",",,7,2400"
"USC00111550","2018-07-25","41.8558","-87.6094","177.7","CHICAGO NORTHERLY ISLAND, IL US","  261",",,7","  217",",,7","  250",",,7,2400"
"USC00111550","2018-07-26","41.8558","-87.6094","177.7","CHICAGO NORTHERLY ISLAND, IL US","  272",",,7","  200",",,7","  206",",,7,2400"
"USC00111550","2018-07-27","41.8558","-87.6094","177.7","CHICAGO NORTHERLY ISLAND, IL US","  244",",,7","  178",",,7","  211",",,7,2400"
"USC00111550","2018-07-28","41.8558","-87.6094","177.7","CHICAGO NORTHERLY ISLAND, IL US","  239",",,7","  189",",,7","  217",",,7,2400"
"USC00111550","2018-07-29","41.8558","-87.6094","177.7","CHICAGO NORTHERLY ISLAND, IL US","  250",",,7","  189",",,7","  200",",,7,2400"
"USC00111550","2018-07-30","41.8558","-87.6094","177.7","CHICAGO NORTHERLY ISLAND, IL US","  250",",,7","  183",",,7","  217",",,7,2400"
"USC00111550","2018-07-31","41.8558","-87.6094","177.7","CHICAGO NORTHERLY ISLAND, IL US","  250",",,7","  200",",,7","  206",",,7,2400"
"USC00111550","2018-08-01","41.8558","-87.6094","177.7","CHICAGO NORTHERLY ISLAND, IL US","  300",",,7","  194",",,7","  233",",,7,2400"
"USC00111550","2018-08-02","41.8558","-87.6094","177.7","CHICAGO NORTHERLY ISLAND, IL US","  294",",,7","  211",",,7","  217",",,7,2400"
"USC00111550","2018-08-03","41.8558","-87.6094","177.7","CHICAGO NORTHERLY ISLAND, IL US","  256",",,7","  200",",,7","  222",",,7,2400"
"USC00111550","2018-08-04","41.8558","-87.6094","177.7","CHICAGO NORTHERLY ISLAND, IL US","  356",",,7","  222",",,7","  267",",,7,2400"
"USC00111550","2018-08-05","41.8558","-87.6094","177.7","CHICAGO NORTHERLY ISLAND, IL US","  339",",,7","  250",",,7","  256",",,7,2400"
"USC00111550","2018-08-06","41.8558","-87.6094","177.7","CHICAGO NORTHERLY ISLAND, IL US","  256",",,7","  211",",,7","  233",",,7,2400"
"USC00111550","2018-08-07","41.8558","-87.6094","177.7","CHICAGO NORTHERLY ISLAND, IL US","  261",",,7","  206",",,7","  211",",,7,2400"
"USC00111550","2018-08-08","41.8558","-87.6094","177.7","CHICAGO NORTHERLY ISLAND, IL US","  261",",,7","  211",",,7","  222",",,7,2400"
"USC00111550","2018-08-09","41.8558","-87.6094","177.7","CHICAGO NORTHERLY ISLAND, IL US","  322",",,7","  206",",,7","  217",",,7,2400"
"USC00111550","2018-08-10","41.8558","-87.6094","177.7","CHICAGO NORTHERLY ISLAND, IL US","  267",",,7","  217",",,7","  222",",,7,2400"
"USC00111550","2018-08-11","41.8558","-87.6094","177.7","CHICAGO NORTHERLY ISLAND, IL US","  272",",,7","  222",",,7","  250",",,7,2400"
