"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","DASF","DASF_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","MDSF","MDSF_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WESD","WESD_ATTRIBUTES","WESF","WESF_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT11","WT11_ATTRIBUTES"
"USC00054135","2018-04-23","40.583","-105.632","2901.7","HOURGLASS RESERVOIR, CO US","    0",",,7,0730","    0",",,7","  356",",,7","  117",",,7","  -33",",,7",,,,,,,,,"    6",",,7,0730",,,,,,,,,,,,,,,,
"USC00054135","2018-04-24","40.583","-105.632","2901.7","HOURGLASS RESERVOIR, CO US","   25",",,7,0730","   13",",,7","  305",",,7","  111",",,7","  -44",",,7",,,,,,,,,"  -39",",,7,0730",,,,,,,,,,,,,,,,
"USC00054135","2018-04-25","40.583","-105.632","2901.7","HOURGLASS RESERVOIR, CO US","   30",",,7,0730","   38",",,7","  305",",,7","   -6",",,7","  -83",",,7",,,,,,,,,"  -67",",,7,0730",,,,,,,,,,,,,,,,
"USC00054135","2018-04-26","40.583","-105.632","2901.7","HOURGLASS RESERVOIR, CO US","    0","T,,7,0730","    0","T,,7","  229",",,7","  133",",,7","  -67",",,7",,,,,,,,,"  -22",",,7,0730",,,,,,,,,,,,,,,,
"USC00054135","2018-04-27","40.583","-105.632","2901.7","HOURGLASS RESERVOIR, CO US","    0","T,,7,0730","    0","T,,7","  152",",,7","  100",",,7","  -50",",,7",,,,,,,,,"  -11",",,7,0730",,,,,,,,,,,,,,,,
"USC00054135","2018-04-28","40.583","-105.632","2901.7","HOURGLASS RESERVOIR, CO US","    0",",,7,0730","    0",",,7","   51",",,7","  150",",,7","  -33",",,7",,,,,,,,,"   -6",",,7,0730",,,,,,,,,,,,,,,,
"USC00054135","2018-04-29","40.583","-105.632","2901.7","HOURGLASS RESERVOIR, CO US","    0",",,7,0730","    0",",,7","   25",",,7","  161",",,7","  -11",",,7",,,,,,,,,"   56",",,7,0730",,,,,,,,,,,,,,,,
"USC00054135","2018-04-30","40.583","-105.632","2901.7","HOURGLASS RESERVOIR, CO US","    0",",,7,0730","    0",",,7","   25",",,7","  161",",,7","  -11",",,7",,,,,,,,,"   33",",,7,0730",,,,,,,,,,,,,,,,
"USC00054135","2018-05-01","40.583","-105.632","2901.7","HOURGLASS RESERVOIR, CO US","    0","T,,7,0730","    0","T,,7","    0",",,7","  133",",,7","  -39",",,7",,,,,,,,,"    0",",,7,0730",,,,,,,,,,,,,,,,
"USC00054135","2018-05-02","40.583","-105.632","2901.7","HOURGLASS RESERVOIR, CO US","    0","T,,7,0730","    0","T,,7","    0",",,7","  100",",,7","  -28",",,7",,,,,,,,,"    0",",,7,0730",,,,,,,,,,,,,,,,
"USC00054135","2018-05-03","40.583","-105.632","2901.7","HOURGLASS RESERVOIR, CO US","  196",",,7,0730","  203",",,7","    0",",,7","   67",",,7","  -67",",,7",,,,,,,,,"  -11",",,7,0730",,,,,,,,,,,,,,,,
