"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","MDSF","MDSF_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WESD","WESD_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT08","WT08_ATTRIBUTES","WT09","WT09_ATTRIBUTES","WT11","WT11_ATTRIBUTES","WT14","WT14_ATTRIBUTES"
"USC00204104","2018-07-01","46.4656","-90.1892","435.9","IRONWOOD, MI US","  361",",,7,0900","    0",",,7,0900","    0",",,7,0900","  306",",,7","  194",",,7",,,,,,,"  200",",,7,0900","    0",",,7",,,,,,,,,,,,,,,,,,
"USC00204104","2018-07-02","46.4656","-90.1892","435.9","IRONWOOD, MI US","  104",",,7,0900","    0",",,7,0900","    0",",,7,0900","  239",",,7","  128",",,7",,,,,,,"  156",",,7,0900","    0",",,7",,,,,,,,,,,,,,,,,,
"USC00204104","2018-07-03","46.4656","-90.1892","435.9","IRONWOOD, MI US","    0",",,7,0900","    0",",,7,0900","    0",",,7,0900","  278",",,7","  156",",,7",,,,,,,"  206",",,7,0900","    0",",,7",,,,,,,,,,,,,,,,,,
"USC00204104","2018-07-04","46.4656","-90.1892","435.9","IRONWOOD, MI US","    0",",,7,0900","    0",",,7,0900","    0",",,7,0900","  267",",,7","  167",",,7",,,,,,,"  194",",,7,0900","    0",",,7",,,,,,,,,,,,,,,,,,
"USC00204104","2018-07-05","46.4656","-90.1892","435.9","IRONWOOD, MI US","   89",",,7,0900","    0",",,7,0900","    0",",,7,0900","  300",",,7","  194",",,7",,,,,,,"  200",",,7,0900","    0",",,7",,,,,,,,,,,,,,,,,,
"USC00204104","2018-07-06","46.4656","-90.1892","435.9","IRONWOOD, MI US","    0",",,7,0900","    0",",,7,0900","    0",",,7,0900","  239",",,7","  100",",,7",,,,,,,"  128",",,7,0900","    0",",,7",,,,,,,,,,,,,,,,,,
"USC00204104","2018-07-07","46.4656","-90.1892","435.9","IRONWOOD, MI US","    0",",,7,0900","    0",",,7,0900","    0",",,7,0900","  250",",,7","  128",",,7",,,,,,,"  161",",,7,0900","    0",",,7",,,,,,,,,,,,,,,,,,
"USC00204104","2018-07-08","46.4656","-90.1892","435.9","IRONWOOD, MI US","    0",",,7,0900","    0",",,7,0900","    0",",,7,0900","  267",",,7","  128",",,7",,,,,,,"  189",",,7,0900","    0",",,7",,,,,,,,,,,,,,,,,,
"USC00204104","2018-07-09","46.4656","-90.1892","435.9","IRONWOOD, MI US","    0",",,7,0900","    0",",,7,0900","    0",",,7,0900","  300",",,7","  189",",,7",,,,,,,"  211",",,7,0900","    0",",,7",,,,,,,,,,,,,,,,,,
"USC00204104","2018-07-10","46.4656","-90.1892","435.9","IRONWOOD, MI US","    0",",,7,0900","    0",",,7,0900","    0",",,7,0900","  272",",,7","  128",",,7",,,,,,,"  161",",,7,0900","    0",",,7",,,,,,,,,,,,,,,,,,
