"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","AWND","AWND_ATTRIBUTES","FMTM","FMTM_ATTRIBUTES","PGTM","PGTM_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT02","WT02_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT08","WT08_ATTRIBUTES","WT09","WT09_ATTRIBUTES"
"USW00004726","2018-07-06","40.31611","-78.83389","696.2","JOHNSTOWN CAMBRIA CO AIRPORT, PA US","   48",",,W",,,,,"  244",",,W","  150",",,W","   44",",,W",,,,,,,,,"  320",",,W","  310",",,W","   94",",,W","  116",",,W","    1",",,W","    1",",,W",,,,,,,,,,
"USW00004726","2018-07-07","40.31611","-78.83389","696.2","JOHNSTOWN CAMBRIA CO AIRPORT, PA US","    0",",,W",,,,,"  228",",,W","  117",",,W","   27",",,W",,,,,,,,,"   80",",,W","  110",",,W","   63",",,W","   94",",,W",,,,,,,,,,,,,,
"USW00004726","2018-07-08","40.31611","-78.83389","696.2","JOHNSTOWN CAMBRIA CO AIRPORT, PA US","    0",",,W",,,,,"  244",",,W","  111",",,W","   28",",,W",,,,,,,,,"  170",",,W","  170",",,W","   67",",,W","   89",",,W",,,,,,,,,,,,,,
"USW00004726","2018-07-09","40.31611","-78.83389","696.2","JOHNSTOWN CAMBRIA CO AIRPORT, PA US","    0",",,W",,,,,"  267",",,W","  133",",,W","   29",",,W",,,,,,,,,"  280",",,W","  290",",,W","   63",",,W","   81",",,W",,,,,,,,,,,,,,
"USW00004726","2018-07-10","40.31611","-78.83389","696.2","JOHNSTOWN CAMBRIA CO AIRPORT, PA US","    5",",,W",,,,,"  278",",,W","  178",",,W","   38",",,W",,,,,,,,,"  290",",,W","  300",",,W","   81",",,W","  107",",,W","    1",",,W",,,"    1",",,W",,,,,,,,
"USW00004726","2018-07-11","40.31611","-78.83389","696.2","JOHNSTOWN CAMBRIA CO AIRPORT, PA US","    0",",,W",,,,,"  256",",,W","  167",",,W","   28",",,W",,,,,,,,,"  310",",,W","  310",",,W","   63",",,W","   94",",,W","    1",",,W",,,,,,,,,,,,
"USW00004726","2018-07-12","40.31611","-78.83389","696.2","JOHNSTOWN CAMBRIA CO AIRPORT, PA US","    0",",,W",,,,,"  261",",,W","  133",",,W","   19",",,W",,,,,,,,,"   40",",,W","   40",",,W","   45",",,W","   63",",,W",,,,,,,,,,,,,,
"USW00004726","2018-07-13","40.31611","-78.83389","696.2","JOHNSTOWN CAMBRIA CO AIRPORT, PA US","    0",",,W",,,,,"  267",",,W","  167",",,W","   31",",,W",,,,,,,,,"  170",",,W","  160",",,W","   58",",,W","   85",",,W",,,,,,,,,,,,,,
"USW00004726","2018-07-14","40.31611","-78.83389","696.2","JOHNSTOWN CAMBRIA CO AIRPORT, PA US","    0",",,W",,,,,"  294",",,W","  183",",,W","   25",",,W",,,,,,,,,"  240",",,W","  240",",,W","   54",",,W","   67",",,W",,,,,,,,,,,,,,
"USW00004726","2018-07-15","40.31611","-78.83389","696.2","JOHNSTOWN CAMBRIA CO AIRPORT, PA US","  198",",,W",,,,,"  283",",,W","  189",",,W","   25",",,W",,,,,,,,,"  360",",,W","   10",",,W","  112",",,W","  139",",,W","    1",",,W",,,"    1",",,W",,,,,,,,
"USW00004726","2018-07-16","40.31611","-78.83389","696.2","JOHNSTOWN CAMBRIA CO AIRPORT, PA US","    0","T,,W",,,,,"  300",",,W","  194",",,W","   27",",,W",,,,,,,,,"  200",",,W","  220",",,W","   94",",,W","  139",",,W",,,,,"    1",",,W",,,,,,,,
"USW00004726","2018-07-17","40.31611","-78.83389","696.2","JOHNSTOWN CAMBRIA CO AIRPORT, PA US","  155",",,W",,,,,"  261",",,W","  167",",,W","   36",",,W",,,,,,,,,"  330",",,W","  320",",,W","   94",",,W","  121",",,W","    1",",,W",,,"    1",",,W",,,,,"    1",",,W",,
"USW00004726","2018-07-18","40.31611","-78.83389","696.2","JOHNSTOWN CAMBRIA CO AIRPORT, PA US","    0",",,W",,,,,"  233",",,W","  133",",,W","   28",",,W",,,,,,,,,"  300",",,W","  360",",,W","   58",",,W","   72",",,W",,,,,,,,,,,,,,
"USW00004726","2018-07-19","40.31611","-78.83389","696.2","JOHNSTOWN CAMBRIA CO AIRPORT, PA US","    0",",,W","    0",",,H","    0",",,H","  256",",,W","  133",",,W","   19",",,W",,,,,,,,,"  160",",,W","  160",",,W","   54",",,W","   67",",,W",,,,,,,,,,,,,,
"USW00004726","2018-07-20","40.31611","-78.83389","696.2","JOHNSTOWN CAMBRIA CO AIRPORT, PA US","    0",",,W",,,,,"  261",",,W","  167",",,W","   51",",,W",,,,,,,,,"  150",",,W","  150",",,W","   98",",,W","  139",",,W",,,,,,,,,,,,,,
"USW00004726","2018-07-21","40.31611","-78.83389","696.2","JOHNSTOWN CAMBRIA CO AIRPORT, PA US","   36",",,W",,,,,"  217",",,W","  144",",,W","   43",",,W",,,,,,,,,"  150",",,W","  130",",,W","   81",",,W","  116",",,W","    1",",,W",,,,,,,,,,,,
"USW00004726","2018-07-22","40.31611","-78.83389","696.2","JOHNSTOWN CAMBRIA CO AIRPORT, PA US","   10",",,W","    0",",,H","    0",",,H","  211",",,W","  139",",,W","   30",",,W",,,,,,,,,"  130",",,W","  140",",,W","   63",",,W","  143",",,W","    1",",,W",,,,,,,,,,,,
"USW00004726","2018-07-23","40.31611","-78.83389","696.2","JOHNSTOWN CAMBRIA CO AIRPORT, PA US","   41",",,W","    0",",,H","    0",",,H","  239",",,W","  189",",,W","   34",",,W",,,,,,,,,"  150",",,W","  160",",,W","   72",",,W","  103",",,W","    1",",,W",,,,,,,,,,,,
"USW00004726","2018-07-24","40.31611","-78.83389","696.2","JOHNSTOWN CAMBRIA CO AIRPORT, PA US","   48",",,W",,,,,"  239",",,W","  200",",,W","   31",",,W",,,,,,,,,"  160",",,W","  150",",,W","   63",",,W","   98",",,W","    1",",,W",,,,,,,,,,,,
"USW00004726","2018-07-25","40.31611","-78.83389","696.2","JOHNSTOWN CAMBRIA CO AIRPORT, PA US","   76",",,W",,,,,"  233",",,W","  167",",,W","   27",",,W",,,,,,,,,"  340",",,W","  320",",,W","   58",",,W","   81",",,W","    1",",,W","    1",",,W","    1",",,W",,,,,,,,
"USW00004726","2018-07-26","40.31611","-78.83389","696.2","JOHNSTOWN CAMBRIA CO AIRPORT, PA US","    0",",,W",,,,,"  267",",,W","  156",",,W","   31",",,W",,,,,,,,,"  230",",,W","  280",",,W","   67",",,W","   94",",,W","    1",",,W","    1",",,W",,,,,,,,,,
"USW00004726","2018-07-27","40.31611","-78.83389","696.2","JOHNSTOWN CAMBRIA CO AIRPORT, PA US","   18",",,W",,,,,"  244",",,W","  172",",,W","   30",",,W",,,,,,,,,"  240",",,W","  200",",,W","   63",",,W","   89",",,W","    1",",,W","    1",",,W","    1",",,W",,,,,"    1",",,W",,
"USW00004726","2018-07-28","40.31611","-78.83389","696.2","JOHNSTOWN CAMBRIA CO AIRPORT, PA US","    0",",,W",,,,,"  233",",,W","  156",",,W","   32",",,W",,,,,,,,,"  280",",,W","  290",",,W","   72",",,W","   98",",,W",,,,,,,,,,,,,,
"USW00004726","2018-07-29","40.31611","-78.83389","696.2","JOHNSTOWN CAMBRIA CO AIRPORT, PA US","    0",",,W",,,,,"  244",",,W","  133",",,W","   14",",,W",,,,,,,,,"  320",",,W","  340",",,W","   40",",,W","   54",",,W",,,,,,,,,,,,,,
