"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","ACMH","ACMH_ATTRIBUTES","ACSH","ACSH_ATTRIBUTES","AWND","AWND_ATTRIBUTES","FMTM","FMTM_ATTRIBUTES","FRGT","FRGT_ATTRIBUTES","PGTM","PGTM_ATTRIBUTES","PSUN","PSUN_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDF1","WDF1_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WESD","WESD_ATTRIBUTES","WSF1","WSF1_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT02","WT02_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT07","WT07_ATTRIBUTES","WT08","WT08_ATTRIBUTES","WT09","WT09_ATTRIBUTES","WT11","WT11_ATTRIBUTES","WT13","WT13_ATTRIBUTES","WT14","WT14_ATTRIBUTES","WT15","WT15_ATTRIBUTES","WT16","WT16_ATTRIBUTES","WT17","WT17_ATTRIBUTES","WT18","WT18_ATTRIBUTES","WT19","WT19_ATTRIBUTES","WT21","WT21_ATTRIBUTES","WT22","WT22_ATTRIBUTES","WV01","WV01_ATTRIBUTES","WV03","WV03_ATTRIBUTES"
"USW00094746","2018-07-28","42.2706","-71.8731","304.8","WORCESTER, MA US","    0","T,,W,2400","    0",",,W,",,,"  278",",,W","  189",",,W",,,,,"   35",",,W",,,,,,,,,"  229","H,,S",,,,,,,"  210",",,W","  210",",,W",,,,,,,"   58",",,W","   76",",,W",,,"    1",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094746","2018-07-29","42.2706","-71.8731","304.8","WORCESTER, MA US","    0",",,W,2400","    0",",,W,",,,"  250",",,W","  172",",,W",,,,,"   39",",,W",,,,,,,,,"  216","H,,S",,,,,,,"  290",",,W","  300",",,W",,,,,,,"   67",",,W","   85",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094746","2018-07-30","42.2706","-71.8731","304.8","WORCESTER, MA US","    0",",,W,2400","    0",",,W,",,,"  250",",,W","  167",",,W",,,,,"   36",",,W",,,,,,,,,"  208","H,,S",,,,,,,"  280",",,W","  270",",,W",,,,,,,"   63",",,W","   72",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094746","2018-07-31","42.2706","-71.8731","304.8","WORCESTER, MA US","    0",",,W,2400","    0",",,W,",,,"  272",",,W","  167",",,W",,,,,"   29",",,W",,,,,,,,,"  219","H,,S",,,,,,,"  220",",,W","  210",",,W",,,,,,,"   54",",,W","   63",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094746","2018-08-01","42.2706","-71.8731","304.8","WORCESTER, MA US","   33",",,W,2400","    0",",,W,",,,"  256",",,W","  172",",,W",,,,,"   46",",,W",,,,,,,,,"  211","H,,S",,,,,,,"  220",",,W","  170",",,W",,,,,,,"   76",",,W","  103",",,W",,,"    1",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094746","2018-08-02","42.2706","-71.8731","304.8","WORCESTER, MA US","   84",",,W,2400","    0",",,W,",,,"  300",",,W","  217",",,W",,,,,"   60",",,W",,,,,,,,,"  250","H,,S",,,,,,,"  230",",,W","  230",",,W",,,,,,,"  134",",,W","  174",",,W",,,"    1",",,W",,,"    1",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094746","2018-08-03","42.2706","-71.8731","304.8","WORCESTER, MA US","    5",",,W,2400","    0",",,W,",,,"  289",",,W","  206",",,W",,,,,"   41",",,W",,,,,,,,,"  243","H,,S",,,,,,,"  190",",,W","  210",",,W",,,,,,,"   81",",,W","   98",",,W",,,"    1",",,W",,,"    1",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094746","2018-08-04","42.2706","-71.8731","304.8","WORCESTER, MA US","  107",",,W,2400","    0",",,W,",,,"  250",",,W","  206",",,W",,,,,"   36",",,W",,,,,,,,,"  222","H,,S",,,,,,,"  200",",,W","  210",",,W",,,,,,,"   67",",,W","   89",",,W",,,"    1",",,W",,,"    1",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094746","2018-08-05","42.2706","-71.8731","304.8","WORCESTER, MA US","    0",",,W,2400","    0",",,W,",,,"  294",",,W","  194",",,W",,,,,"   35",",,W",,,,,,,,,"  239","H,,S",,,,,,,"  280",",,W","  290",",,W",,,,,,,"   72",",,W","   85",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094746","2018-08-06","42.2706","-71.8731","304.8","WORCESTER, MA US","    0",",,W,2400","    0",",,W,",,,"  311",",,W","  200",",,W",,,,,"   38",",,W",,,,,,,,,"  258","H,,S",,,,,,,"  290",",,W","  290",",,W",,,,,,,"   67",",,W","   81",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
