"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","ACMH","ACMH_ATTRIBUTES","ACSH","ACSH_ATTRIBUTES","AWND","AWND_ATTRIBUTES","FMTM","FMTM_ATTRIBUTES","PGTM","PGTM_ATTRIBUTES","PSUN","PSUN_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDF1","WDF1_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WESD","WESD_ATTRIBUTES","WSF1","WSF1_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT02","WT02_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT07","WT07_ATTRIBUTES","WT08","WT08_ATTRIBUTES","WT09","WT09_ATTRIBUTES","WT10","WT10_ATTRIBUTES","WT11","WT11_ATTRIBUTES","WT13","WT13_ATTRIBUTES","WT14","WT14_ATTRIBUTES","WT15","WT15_ATTRIBUTES","WT16","WT16_ATTRIBUTES","WT17","WT17_ATTRIBUTES","WT18","WT18_ATTRIBUTES","WT19","WT19_ATTRIBUTES","WT22","WT22_ATTRIBUTES","WV03","WV03_ATTRIBUTES"
"USW00003919","2018-07-06","38.8","-97.65","386.8","SALINA MUNICIPAL AIRPORT, KS US","  127",",,W,",,,,,"  328",",,W","  211",",,W",,,,,"   27",",,W",,,,,,,,,,,,,"   80",",,W","  100",",,W",,,,,"   81",",,W","  103",",,W","    1",",,W",,,"    1",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00003919","2018-07-07","38.8","-97.65","386.8","SALINA MUNICIPAL AIRPORT, KS US","    0",",,W,",,,,,"  344",",,W","  222",",,W",,,,,"   34",",,W",,,,,,,,,,,,,"  130",",,W","  140",",,W",,,,,"   63",",,W","   81",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00003919","2018-07-08","38.8","-97.65","386.8","SALINA MUNICIPAL AIRPORT, KS US","    0",",,W,",,,,,"  356",",,W","  183",",,W",,,,,"   35",",,W",,,,,,,,,,,,,"  210",",,W","  150",",,W",,,,,"   81",",,W","  107",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00003919","2018-07-09","38.8","-97.65","386.8","SALINA MUNICIPAL AIRPORT, KS US","    0",",,W,",,,,,"  356",",,W","  178",",,W",,,,,"   28",",,W",,,,,,,,,,,,,"  140",",,W","  140",",,W",,,,,"   67",",,W","   81",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00003919","2018-07-10","38.8","-97.65","386.8","SALINA MUNICIPAL AIRPORT, KS US","    0",",,W,",,,,,"  367",",,W","  200",",,W",,,,,"   24",",,W",,,,,,,,,,,,,"  190",",,W","  160",",,W",,,,,"   72",",,W","   98",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00003919","2018-07-11","38.8","-97.65","386.8","SALINA MUNICIPAL AIRPORT, KS US","    0",",,W,",,,,,"  378",",,W","  228",",,W",,,,,"   46",",,W",,,,,,,,,,,,,"  160",",,W","  200",",,W",,,,,"   94",",,W","  139",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00003919","2018-07-12","38.8","-97.65","386.8","SALINA MUNICIPAL AIRPORT, KS US","    0",",,W,",,,,,"  383",",,W","  222",",,W",,,,,"   47",",,W",,,,,,,,,,,,,"  150",",,W","  210",",,W",,,,,"  103",",,W","  121",",,W",,,,,"    1",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00003919","2018-07-13","38.8","-97.65","386.8","SALINA MUNICIPAL AIRPORT, KS US","   15",",,W,",,,,,"  378",",,W","  228",",,W",,,,,"   49",",,W",,,,,,,,,,,,,"  190",",,W","  190",",,W",,,,,"  130",",,W","  165",",,W",,,,,"    1",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00003919","2018-07-14","38.8","-97.65","386.8","SALINA MUNICIPAL AIRPORT, KS US","   18",",,W,",,,,,"  333",",,W","  228",",,W",,,,,"   18",",,W",,,,,,,,,,,,,"  110",",,W","  110",",,W",,,,,"   45",",,W","   63",",,W","    1",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00003919","2018-07-15","38.8","-97.65","386.8","SALINA MUNICIPAL AIRPORT, KS US","    8",",,W,",,,,,"  350",",,W","  228",",,W",,,,,"   28",",,W",,,,,,,,,,,,,"  230",",,W","  190",",,W",,,,,"   94",",,W","  121",",,W","    1",",,W",,,"    1",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
