"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","DASF","DASF_ATTRIBUTES","DAWM","DAWM_ATTRIBUTES","EVAP","EVAP_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","MDSF","MDSF_ATTRIBUTES","MDWM","MDWM_ATTRIBUTES","MNPN","MNPN_ATTRIBUTES","MXPN","MXPN_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES"
"USC00141612","2018-06-26","38.9407","-95.3396","298.7","CLINTON LAKE, KS US","   38",",,7,0800","    0",",,7,0800","    0",",,7,0800","  278",",,7","  189",",,7",,,,,,,"   53",",,7",,,,,,,,,,,"  211",",,7,0800","   61",",,7"
"USC00141612","2018-06-27","38.9407","-95.3396","298.7","CLINTON LAKE, KS US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  289",",,7","  211",",,7",,,,,,,"   76",",,7",,,,,,,,,,,"  261",",,7,0800","   34",",,7"
"USC00141612","2018-06-28","38.9407","-95.3396","298.7","CLINTON LAKE, KS US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  328",",,7","  211",",,7",,,,,,,"   69",",,7",,,,,,,,,,,"  272",",,7,0800","   40",",,7"
"USC00141612","2018-06-29","38.9407","-95.3396","298.7","CLINTON LAKE, KS US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  361",",,7","  244",",,7",,,,,,,"   76",",,7",,,,,,,,,,,"  267",",,7,0800","   69",",,7"
"USC00141612","2018-06-30","38.9407","-95.3396","298.7","CLINTON LAKE, KS US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  356",",,7","  244",",,7",,,,,,,"  114",",,7",,,,,,,,,,,"  272",",,7,0800","   92",",,7"
"USC00141612","2018-07-01","38.9407","-95.3396","298.7","CLINTON LAKE, KS US","  102",",,7,0800","    0",",,7,0800","    0",",,7,0800","  344",",,7","  200",",,7",,,,,,,"   84",",,7",,,,,,,,,,,"  206",",,7,0800","   66",",,7"
"USC00141612","2018-07-02","38.9407","-95.3396","298.7","CLINTON LAKE, KS US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  339",",,7","  172",",,7",,,,,,,"   58",",,7",,,,,,,,,,,"  217",",,7,0800","   39",",,7"
"USC00141612","2018-07-03","38.9407","-95.3396","298.7","CLINTON LAKE, KS US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  317",",,7","  211",",,7",,,,,,,"   76",",,7",,,,,,,,,,,"  250",",,7,0800","   31",",,7"
"USC00141612","2018-07-04","38.9407","-95.3396","298.7","CLINTON LAKE, KS US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  356",",,7","  228",",,7",,,,,,,"   79",",,7",,,,,,,,,,,"  256",",,7,0800","   55",",,7"
"USC00141612","2018-07-05","38.9407","-95.3396","298.7","CLINTON LAKE, KS US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  350",",,7","  228",",,7",,,,,,,"   89",",,7",,,,,,,,,,,"  256",",,7,0800","   48",",,7"
"USC00141612","2018-07-06","38.9407","-95.3396","298.7","CLINTON LAKE, KS US",,,"    0",",,7,0800","    0",",,7,0800",,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00141612","2018-07-07","38.9407","-95.3396","298.7","CLINTON LAKE, KS US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  322",",,7","  206",",,7",,,,,,,"   76",",,7",,,,,,,,,,,"  228",",,7,0800","   37",",,7"
"USC00141612","2018-07-08","38.9407","-95.3396","298.7","CLINTON LAKE, KS US","   89",",,7,0800","    0",",,7,0800","    0",",,7,0800","  311",",,7","  161",",,7",,,,,,,"    0",",,7",,,,,,,,,,,"  200",",,7,0800","   31",",,7"
"USC00141612","2018-07-09","38.9407","-95.3396","298.7","CLINTON LAKE, KS US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  328",",,7","  167",",,7",,,,,,,"   81",",,7",,,,,,,,,,,"  228",",,7,0800","   35",",,7"
"USC00141612","2018-07-10","38.9407","-95.3396","298.7","CLINTON LAKE, KS US","   94",",,7,0800","    0",",,7,0800","    0",",,7,0800","  350",",,7","  211",",,7",,,,,,,"   94",",,7",,,,,,,,,,,"  256",",,7,0800","   29",",,7"
"USC00141612","2018-07-11","38.9407","-95.3396","298.7","CLINTON LAKE, KS US",,,"    0",",,7,0800","    0",",,7,0800",,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00141612","2018-07-12","38.9407","-95.3396","298.7","CLINTON LAKE, KS US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  361",",,7","  233",",,7",,,,,,,"   89",",,7",,,,,,,,,,,"  267",",,7,0800","   37",",,7"
"USC00141612","2018-07-13","38.9407","-95.3396","298.7","CLINTON LAKE, KS US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  372",",,7","  239",",,7",,,,,,,"   86",",,7",,,,,,,,,,,"  267",",,7,0800","   47",",,7"
"USC00141612","2018-07-14","38.9407","-95.3396","298.7","CLINTON LAKE, KS US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  350",",,7","  222",",,7",,,,,,,"   91",",,7",,,,,,,,,,,"  267",",,7,0800","   60",",,7"
"USC00141612","2018-07-15","38.9407","-95.3396","298.7","CLINTON LAKE, KS US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  289",",,7","  206",",,7",,,,,,,"   38",",,7",,,,,,,,,,,"  250",",,7,0800","   21",",,7"
"USC00141612","2018-07-16","38.9407","-95.3396","298.7","CLINTON LAKE, KS US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  344",",,7","  200",",,7",,,,,,,"   61",",,7",,,,,,,,,,,"  228",",,7,0800","   24",",,7"
