"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","ACMH","ACMH_ATTRIBUTES","ACSH","ACSH_ATTRIBUTES","AWND","AWND_ATTRIBUTES","FMTM","FMTM_ATTRIBUTES","FRGT","FRGT_ATTRIBUTES","PGTM","PGTM_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDF1","WDF1_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WESD","WESD_ATTRIBUTES","WSF1","WSF1_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT02","WT02_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT07","WT07_ATTRIBUTES","WT08","WT08_ATTRIBUTES","WT09","WT09_ATTRIBUTES","WT10","WT10_ATTRIBUTES","WT11","WT11_ATTRIBUTES","WT13","WT13_ATTRIBUTES","WT14","WT14_ATTRIBUTES","WT16","WT16_ATTRIBUTES","WT18","WT18_ATTRIBUTES","WT21","WT21_ATTRIBUTES"
"USW00023273","2018-07-17","34.8994","-120.4486","73.8","SANTA MARIA PUBLIC AIRPORT, CA US","    0",",,W,2400","    0",",,H","    0",",,H","  222",",,W","  139",",,W",,,,,"   25",",,W",,,,,,,"  171","H,,S",,,,,"  310",",,W","  340",",,W",,,,,,,"   63",",,W","   81",",,W",,,"    1",",,W",,,,,,,,,,,"    1",",,W",,,,,,,,,,,,,,,,
"USW00023273","2018-07-18","34.8994","-120.4486","73.8","SANTA MARIA PUBLIC AIRPORT, CA US","    0",",,W,2400","    0",",,H","    0",",,H","  250",",,W","  144",",,W",,,,,"   25",",,W",,,,,,,"  179","H,,S",,,,,"  310",",,W","  300",",,W",,,,,,,"   58",",,W","   85",",,W",,,"    1",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00023273","2018-07-19","34.8994","-120.4486","73.8","SANTA MARIA PUBLIC AIRPORT, CA US","    0",",,W,2400","    0",",,H","    0",",,H","  283",",,W","  139",",,W",,,,,"   23",",,W",,,,,,,"  191","H,,S",,,,,"  340",",,W","  360",",,W",,,,,,,"   72",",,W","  125",",,W",,,"    1",",,W",,,,,,,,,,,"    1",",,W",,,,,,,,,,,,,,,,
"USW00023273","2018-07-20","34.8994","-120.4486","73.8","SANTA MARIA PUBLIC AIRPORT, CA US","    0",",,W,2400","    0",",,H","    0",",,H","  261",",,W","  150",",,W",,,,,"   24",",,W",,,,,,,"  194","H,,S",,,,,"  320",",,W","  320",",,W",,,,,,,"   63",",,W","  103",",,W",,,"    1",",,W","    1",",,W",,,,,,,,,"    1",",,W",,,,,,,,,,,,,,,,
"USW00023273","2018-07-21","34.8994","-120.4486","73.8","SANTA MARIA PUBLIC AIRPORT, CA US","    0",",,W,2400","    0",",,H","    0",",,H","  261",",,W","  161",",,W",,,,,"   27",",,W",,,,,,,"  199","H,,S",,,,,"  330",",,W","  300",",,W",,,,,,,"   72",",,W","   89",",,W",,,"    1",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00023273","2018-07-22","34.8994","-120.4486","73.8","SANTA MARIA PUBLIC AIRPORT, CA US","    0",",,W,2400","    0",",,H","    0",",,H","  244",",,W","  156",",,W",,,,,"   29",",,W",,,,,,,"  190","H,,S",,,,,"  320",",,W","  310",",,W",,,,,,,"   81",",,W","   98",",,W",,,"    1",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00023273","2018-07-23","34.8994","-120.4486","73.8","SANTA MARIA PUBLIC AIRPORT, CA US","    0",",,W,2400","    0",",,H","    0",",,H","  244",",,W","  144",",,W",,,,,"   38",",,W",,,,,,,"  186","H,,S",,,,,"  310",",,W","  310",",,W",,,,,,,"  103",",,W","  121",",,W",,,"    1",",,W",,,,,,,,,,,"    1",",,W",,,,,,,,,,,,,,,,
"USW00023273","2018-07-24","34.8994","-120.4486","73.8","SANTA MARIA PUBLIC AIRPORT, CA US","    0",",,W,2400","    0",",,H","    0",",,H","  239",",,W","  144",",,W",,,,,"   36",",,W",,,,,,,"  178","H,,S",,,,,"  310",",,W","  290",",,W",,,,,,,"   89",",,W","  112",",,W",,,"    1",",,W",,,,,,,,,,,"    1",",,W",,,,,,,,,,,,,,,,
"USW00023273","2018-07-25","34.8994","-120.4486","73.8","SANTA MARIA PUBLIC AIRPORT, CA US","    0",",,W,2400","    0",",,H","    0",",,H","  289",",,W","  122",",,W",,,,,"   24",",,W",,,,,,,"  179","H,,S",,,,,"  300",",,W","  280",",,W",,,,,,,"   76",",,W","   94",",,W",,,"    1",",,W","    1",",,W",,,,,,,,,"    1",",,W",,,,,,,,,,,,,,,,
"USW00023273","2018-07-26","34.8994","-120.4486","73.8","SANTA MARIA PUBLIC AIRPORT, CA US","    0",",,W,2400","    0",",,H","    0",",,H","  222",",,W","  122",",,W",,,,,"   28",",,W",,,,,,,"  168","H,,S",,,,,"  320",",,W","  320",",,W",,,,,,,"   67",",,W","  125",",,W",,,"    1",",,W","    1",",,W",,,,,,,,,"    1",",,W",,,,,,,,,,,,,,,,
