"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","MDSF","MDSF_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT11","WT11_ATTRIBUTES","WT16","WT16_ATTRIBUTES","WT18","WT18_ATTRIBUTES"
"USC00152903","2018-04-21","38.4502","-83.7355","286.5","FLEMINGSBURG 2 N, KY US","    0",",,7,0700","    0",",,7,","    0",",,7,","  156",",,7","   17",",,7",,,,,,,"   22",",,7,0700",,,,,,,,,,,,,,,,
"USC00152903","2018-04-22","38.4502","-83.7355","286.5","FLEMINGSBURG 2 N, KY US","    0",",,7,0700","    0",",,7,","    0",",,7,","  200",",,7","   22",",,7",,,,,,,"  100",",,7,0700",,,,,,,,,,,,,,,,
"USC00152903","2018-04-23","38.4502","-83.7355","286.5","FLEMINGSBURG 2 N, KY US","    0",",,7,0700","    0",",,7,","    0",",,7,","  183",",,7","  100",",,7",,,,,,,"  117",",,7,0700",,,,,,,,,,,,,,,,
"USC00152903","2018-04-24","38.4502","-83.7355","286.5","FLEMINGSBURG 2 N, KY US","  254",",,7,0700","    0",",,7,","    0",",,7,","  133",",,7","  100",",,7",,,,,,,"  106",",,7,0700",,,,,,,,,,,,,,,,
"USC00152903","2018-04-25","38.4502","-83.7355","286.5","FLEMINGSBURG 2 N, KY US","  178",",,7,0700","    0",",,7,","    0",",,7,","  150",",,7","  106",",,7",,,,,,,"  117",",,7,0700",,,,,,,,,,,,,,,,
"USC00152903","2018-04-26","38.4502","-83.7355","286.5","FLEMINGSBURG 2 N, KY US","    0",",,7,0700","    0",",,7,","    0",",,7,","  161",",,7","   72",",,7",,,,,,,"   83",",,7,0700","    1",",,7",,,,,,,,,,,,,,
"USC00152903","2018-04-27","38.4502","-83.7355","286.5","FLEMINGSBURG 2 N, KY US","    0",",,7,0700","    0",",,7,","    0",",,7,","  183",",,7","   78",",,7",,,,,,,"   83",",,7,0700",,,,,,,,,,,,,,,,
"USC00152903","2018-04-28","38.4502","-83.7355","286.5","FLEMINGSBURG 2 N, KY US","    0",",,7,0700","    0",",,7,","    0",",,7,","  206",",,7","   50",",,7",,,,,,,"   78",",,7,0700",,,,,,,,,,,,,,,,
"USC00152903","2018-04-29","38.4502","-83.7355","286.5","FLEMINGSBURG 2 N, KY US","    0",",,7,0700","    0",",,7,","    0",",,7,","  144",",,7","   28",",,7",,,,,,,"   39",",,7,0700",,,,,,,,,,,,,,,,
"USC00152903","2018-04-30","38.4502","-83.7355","286.5","FLEMINGSBURG 2 N, KY US","    0",",,7,0700","    0",",,7,","    0",",,7,","  133",",,7","   11",",,7",,,,,,,"   17",",,7,0700",,,,,,,,,,,,,,,,
"USC00152903","2018-05-01","38.4502","-83.7355","286.5","FLEMINGSBURG 2 N, KY US","    0",",,7,0700","    0",",,7,","    0",",,7,","  200",",,7","   17",",,7",,,,,,,"   72",",,7,0700",,,,,,,,,,,,,,,,
"USC00152903","2018-05-02","38.4502","-83.7355","286.5","FLEMINGSBURG 2 N, KY US","    0",",,7,0700","    0",",,7,","    0",",,7,","  256",",,7","   72",",,7",,,,,,,"   94",",,7,0700",,,,,,,,,,,,,,,,
"USC00152903","2018-05-03","38.4502","-83.7355","286.5","FLEMINGSBURG 2 N, KY US","    0",",,7,0700","    0",",,7,","    0",",,7,","  283",",,7","   94",",,7",,,,,,,"  172",",,7,0700",,,,,,,,,,,,,,,,
"USC00152903","2018-05-04","38.4502","-83.7355","286.5","FLEMINGSBURG 2 N, KY US","    0",",,7,0700","    0",",,7,","    0",",,7,","  278",",,7","  172",",,7",,,,,,,"  211",",,7,0700",,,,,,,,,,,,,,,,
"USC00152903","2018-05-05","38.4502","-83.7355","286.5","FLEMINGSBURG 2 N, KY US","   53",",,7,0700","    0",",,7,","    0",",,7,","  228",",,7","  167",",,7",,,,,,,"  172",",,7,0700","    1",",,7",,,,,,,,,,,,,,
"USC00152903","2018-05-06","38.4502","-83.7355","286.5","FLEMINGSBURG 2 N, KY US","  318",",,7,0700","    0",",,7,","    0",",,7,","  222",",,7","  133",",,7",,,,,,,"  150",",,7,0700",,,,,,,,,,,,,,,,
"USC00152903","2018-05-07","38.4502","-83.7355","286.5","FLEMINGSBURG 2 N, KY US","   64",",,7,0700","    0",",,7,","    0",",,7,","  261",",,7","  133",",,7",,,,,,,"  139",",,7,0700","    1",",,7","    1",",,7",,,,,,,,,,,,
"USC00152903","2018-05-08","38.4502","-83.7355","286.5","FLEMINGSBURG 2 N, KY US","    0",",,7,0700","    0",",,7,","    0",",,7,","  217",",,7","  106",",,7",,,,,,,"  144",",,7,0700",,,,,,,,,,,,,,,,
"USC00152903","2018-05-09","38.4502","-83.7355","286.5","FLEMINGSBURG 2 N, KY US","    0",",,7,0700","    0",",,7,","    0",",,7,","  244",",,7","  133",",,7",,,,,,,"  144",",,7,0700","    1",",,7",,,,,,,,,,,,,,
"USC00152903","2018-05-10","38.4502","-83.7355","286.5","FLEMINGSBURG 2 N, KY US","    0",",,7,0700","    0",",,7,","    0",",,7,","  283",",,7","  144",",,7",,,,,,,"  222",",,7,0700",,,,,,,,,,,,,,,,
"USC00152903","2018-05-11","38.4502","-83.7355","286.5","FLEMINGSBURG 2 N, KY US","   13",",,7,0700","    0",",,7,","    0",",,7,","  289",",,7","  144",",,7",,,,,,,"  161",",,7,0700",,,,,,,,,,,,,,,,
"USC00152903","2018-05-12","38.4502","-83.7355","286.5","FLEMINGSBURG 2 N, KY US","    0",",,7,0700","    0",",,7,","    0",",,7,","  289",",,7","  161",",,7",,,,,,,"  206",",,7,0700",,,,,,,,,,,,,,,,
"USC00152903","2018-05-13","38.4502","-83.7355","286.5","FLEMINGSBURG 2 N, KY US","    0",",,7,0700","    0",",,7,","    0",",,7,","  294",",,7","  172",",,7",,,,,,,"  183",",,7,0700",,,,,,,,,,,,,,,,
"USC00152903","2018-05-14","38.4502","-83.7355","286.5","FLEMINGSBURG 2 N, KY US","    0",",,7,0700","    0",",,7,","    0",",,7,","  306",",,7","  183",",,7",,,,,,,"  189",",,7,0700","    1",",,7",,,,,,,,,,,,,,
"USC00152903","2018-05-15","38.4502","-83.7355","286.5","FLEMINGSBURG 2 N, KY US","    0",",,7,0700","    0",",,7,","    0",",,7,","  311",",,7","  178",",,7",,,,,,,"  183",",,7,0700",,,,,,,,,,,,,,,,
"USC00152903","2018-05-16","38.4502","-83.7355","286.5","FLEMINGSBURG 2 N, KY US","   25",",,7,0700","    0",",,7,","    0",",,7,","  317",",,7","  172",",,7",,,,,,,"  178",",,7,0700",,,,,,,,,,,,,,,,
"USC00152903","2018-05-17","38.4502","-83.7355","286.5","FLEMINGSBURG 2 N, KY US","  417",",,7,0700","    0",",,7,","    0",",,7,","  261",",,7","  161",",,7",,,,,,,"  178",",,7,0700","    1",",,7","    1",",,7",,,,,,,,,,,,
"USC00152903","2018-05-18","38.4502","-83.7355","286.5","FLEMINGSBURG 2 N, KY US","   38",",,7,0700","    0",",,7,","    0",",,7,","  256",",,7","  178",",,7",,,,,,,"  183",",,7,0700",,,,,,,,,,,,,,,,
"USC00152903","2018-05-19","38.4502","-83.7355","286.5","FLEMINGSBURG 2 N, KY US","   15",",,7,0700","    0",",,7,","    0",",,7,","  261",",,7","  183",",,7",,,,,,,"  189",",,7,0700","    1",",,7",,,,,,,,,,,,,,
"USC00152903","2018-05-20","38.4502","-83.7355","286.5","FLEMINGSBURG 2 N, KY US","    8",",,7,0700","    0",",,7,","    0",",,7,","  267",",,7","  183",",,7",,,,,,,"  189",",,7,0700","    1",",,7",,,,,,,,,,,,,,
"USC00152903","2018-05-21","38.4502","-83.7355","286.5","FLEMINGSBURG 2 N, KY US","    0",",,7,0700","    0",",,7,","    0",",,7,","  289",",,7","  189",",,7",,,,,,,"  194",",,7,0700","    1",",,7",,,,,,,,,,,,,,
