"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT11","WT11_ATTRIBUTES","WT14","WT14_ATTRIBUTES"
"USC00175675","2018-05-03","44.0436","-69.53753","64.9","NEWCASTLE, ME US","   30",",,7,1700","    0",",,7,1700","    0",",,7,1700","  256",",,7","  100",",,7",,,,,"  100",",,7,1700",,,,,,,,,,,,,,
"USC00175675","2018-05-04","44.0436","-69.53753","64.9","NEWCASTLE, ME US","    0",",,7,1700","    0",",,7,1700","    0",",,7,1700","  167",",,7","   94",",,7",,,,,"  117",",,7,1700",,,,,,,,,,,,,,
"USC00175675","2018-05-05","44.0436","-69.53753","64.9","NEWCASTLE, ME US","    0",",,7,1700","    0",",,7,1700","    0",",,7,1700","  211",",,7","   89",",,7",,,,,"  206",",,7,1700",,,,,,,,,,,,,,
"USC00175675","2018-05-06","44.0436","-69.53753","64.9","NEWCASTLE, ME US","    8",",,7,1700","    0",",,7,1700","    0",",,7,1700","  211",",,7","   94",",,7",,,,,"  128",",,7,1700",,,"    1",",,7",,,,,,,,,,
"USC00175675","2018-05-07","44.0436","-69.53753","64.9","NEWCASTLE, ME US","    3",",,7,1700","    0",",,7,1700","    0",",,7,1700","  189",",,7","   83",",,7",,,,,"  128",",,7,1700",,,,,,,,,,,,,,
"USC00175675","2018-05-08","44.0436","-69.53753","64.9","NEWCASTLE, ME US","    0",",,7,1700","    0",",,7,1700","    0",",,7,1700","  167",",,7","   39",",,7",,,,,"  133",",,7,1700",,,,,,,,,,,,,,
"USC00175675","2018-05-09","44.0436","-69.53753","64.9","NEWCASTLE, ME US","    0",",,7,1700","    0",",,7,1700","    0",",,7,1700","  183",",,7","   56",",,7",,,,,"  150",",,7,1700","    1",",,7",,,,,,,,,,,,
"USC00175675","2018-05-10","44.0436","-69.53753","64.9","NEWCASTLE, ME US","    0",",,7,1700","    0",",,7,1700","    0",",,7,1700","  167",",,7","   44",",,7",,,,,"   94",",,7,1700",,,,,,,,,,,,,,
"USC00175675","2018-05-11","44.0436","-69.53753","64.9","NEWCASTLE, ME US","    0",",,7,1700","    0",",,7,1700","    0",",,7,1700","  167",",,7","   83",",,7",,,,,"  150",",,7,1700",,,,,,,,,,,,,,
"USC00175675","2018-05-12","44.0436","-69.53753","64.9","NEWCASTLE, ME US","    0",",,7,1700","    0",",,7,1700","    0",",,7,1700","  150",",,7","   22",",,7",,,,,"  111",",,7,1700",,,,,,,,,,,,,,
"USC00175675","2018-05-13","44.0436","-69.53753","64.9","NEWCASTLE, ME US","    0",",,7,1700","    0",",,7,1700","    0",",,7,1700","  167",",,7","   56",",,7",,,,,"  128",",,7,1700",,,,,,,,,,,,,,
"USC00175675","2018-05-14","44.0436","-69.53753","64.9","NEWCASTLE, ME US","    0",",,7,1700","    0",",,7,1700","    0",",,7,1700","  144",",,7","   67",",,7",,,,,"  139",",,7,1700",,,,,,,,,,,,,,
"USC00175675","2018-05-15","44.0436","-69.53753","64.9","NEWCASTLE, ME US","   18",",,7,1700","    0",",,7,1700","    0",",,7,1700","  211",",,7","   78",",,7",,,,,"  150",",,7,1700",,,,,,,,,,,,,,
"USC00175675","2018-05-16","44.0436","-69.53753","64.9","NEWCASTLE, ME US","   33",",,7,1700","    0",",,7,1700","    0",",,7,1700","  156",",,7","   56",",,7",,,,,"  106",",,7,1700",,,,,,,,,,,,,,
"USC00175675","2018-05-17","44.0436","-69.53753","64.9","NEWCASTLE, ME US","    0",",,7,1700","    0",",,7,1700","    0",",,7,1700","  244",",,7","   78",",,7",,,,,"  206",",,7,1700",,,,,,,,,,,,,,
"USC00175675","2018-05-18","44.0436","-69.53753","64.9","NEWCASTLE, ME US","    0",",,7,1700","    0",",,7,1700","    0",",,7,1700","  206",",,7","   72",",,7",,,,,"  139",",,7,1700",,,,,,,,,,,,,,
