"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","DASF","DASF_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","MDSF","MDSF_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT11","WT11_ATTRIBUTES"
"USC00311820","2018-06-09","35.6408","-78.4633","91.4","CLAYTON WTP, NC US","    0",",,7,0700",,,,,"  311",",,7","  183",",,7",,,,,,,,,"  217",",,7,0700",,,,,,,,
"USC00311820","2018-06-10","35.6408","-78.4633","91.4","CLAYTON WTP, NC US","    0",",,7,0700",,,,,"  311",",,7","  189",",,7",,,,,,,,,"  200",",,7,0700",,,,,,,,
"USC00311820","2018-06-11","35.6408","-78.4633","91.4","CLAYTON WTP, NC US","   25",",,7,0700",,,,,"  311",",,7","  200",",,7",,,,,,,,,"  206",",,7,0700",,,,,,,,
"USC00311820","2018-06-12","35.6408","-78.4633","91.4","CLAYTON WTP, NC US","   28",",,7,0700",,,,,"  306",",,7","  167",",,7",,,,,,,,,"  172",",,7,0700",,,,,,,,
"USC00311820","2018-06-13","35.6408","-78.4633","91.4","CLAYTON WTP, NC US","    0",",,7,0700",,,,,"  211",",,7","  172",",,7",,,,,,,,,"  200",",,7,0700",,,,,,,,
"USC00311820","2018-06-14","35.6408","-78.4633","91.4","CLAYTON WTP, NC US","    0",",,7,0700",,,,,"  283",",,7","  200",",,7",,,,,,,,,"  222",",,7,0700",,,,,,,,
"USC00311820","2018-06-15","35.6408","-78.4633","91.4","CLAYTON WTP, NC US","    0",",,7,0700",,,,,"  322",",,7","  222",",,7",,,,,,,,,"  222",",,7,0700",,,,,,,,
"USC00311820","2018-06-16","35.6408","-78.4633","91.4","CLAYTON WTP, NC US","    0",",,7,0700",,,,,"  283",",,7","  206",",,7",,,,,,,,,"  250",",,7,0700",,,,,,,,
"USC00311820","2018-06-17","35.6408","-78.4633","91.4","CLAYTON WTP, NC US","    0",",,7,0700",,,,,"  306",",,7","  206",",,7",,,,,,,,,"  217",",,7,0700",,,,,,,,
"USC00311820","2018-06-18","35.6408","-78.4633","91.4","CLAYTON WTP, NC US","  447",",,7,0700",,,,,"  322",",,7","  217",",,7",,,,,,,,,"  233",",,7,0700",,,,,,,,
"USC00311820","2018-06-19","35.6408","-78.4633","91.4","CLAYTON WTP, NC US","    0",",,7,0700",,,,,"  344",",,7","  222",",,7",,,,,,,,,"  239",",,7,0700",,,,,,,,
"USC00311820","2018-06-20","35.6408","-78.4633","91.4","CLAYTON WTP, NC US","    0",",,7,0700",,,,,"  350",",,7","  217",",,7",,,,,,,,,"  233",",,7,0700",,,,,,,,
"USC00311820","2018-06-21","35.6408","-78.4633","91.4","CLAYTON WTP, NC US","   64",",,7,0700",,,,,"  328",",,7","  217",",,7",,,,,,,,,"  228",",,7,0700",,,,,,,,
"USC00311820","2018-06-22","35.6408","-78.4633","91.4","CLAYTON WTP, NC US","    0",",,7,0700",,,,,"  333",",,7","  228",",,7",,,,,,,,,"  239",",,7,0700",,,,,,,,
"USC00311820","2018-06-23","35.6408","-78.4633","91.4","CLAYTON WTP, NC US","   13",",,7,0700",,,,,"  328",",,7","  233",",,7",,,,,,,,,"  233",",,7,0700",,,,,,,,
"USC00311820","2018-06-24","35.6408","-78.4633","91.4","CLAYTON WTP, NC US","   53",",,7,0700",,,,,"  317",",,7","  217",",,7",,,,,,,,,"  244",",,7,0700",,,,,,,,
"USC00311820","2018-06-25","35.6408","-78.4633","91.4","CLAYTON WTP, NC US","   13",",,7,0700",,,,,"  339",",,7","  211",",,7",,,,,,,,,"  217",",,7,0700",,,,,,,,
"USC00311820","2018-06-26","35.6408","-78.4633","91.4","CLAYTON WTP, NC US","    8",",,7,0700",,,,,"  317",",,7","  217",",,7",,,,,,,,,"  222",",,7,0700",,,,,,,,
"USC00311820","2018-06-27","35.6408","-78.4633","91.4","CLAYTON WTP, NC US","   84",",,7,0700",,,,,"  250",",,7","  194",",,7",,,,,,,,,"  200",",,7,0700",,,,,,,,
"USC00311820","2018-06-28","35.6408","-78.4633","91.4","CLAYTON WTP, NC US","    0",",,7,0700",,,,,"  289",",,7","  194",",,7",,,,,,,,,"  217",",,7,0700",,,,,,,,
"USC00311820","2018-06-29","35.6408","-78.4633","91.4","CLAYTON WTP, NC US","    0",",,7,0700",,,,,"  322",",,7","  211",",,7",,,,,,,,,"  228",",,7,0700",,,,,,,,
"USC00311820","2018-06-30","35.6408","-78.4633","91.4","CLAYTON WTP, NC US","    0",",,7,0700",,,,,"  344",",,7","  217",",,7",,,,,,,,,"  256",",,7,0700",,,,,,,,
"USC00311820","2018-07-01","35.6408","-78.4633","91.4","CLAYTON WTP, NC US","    0",",,7,0700",,,,,"  333",",,7","  222",",,7",,,,,,,,,"  261",",,7,0700",,,,,,,,
"USC00311820","2018-07-02","35.6408","-78.4633","91.4","CLAYTON WTP, NC US","    0",",,7,0700",,,,,"  339",",,7","  222",",,7",,,,,,,,,"  244",",,7,0700",,,,,,,,
"USC00311820","2018-07-03","35.6408","-78.4633","91.4","CLAYTON WTP, NC US","    0",",,7,0700",,,,,"  344",",,7","  228",",,7",,,,,,,,,"  244",",,7,0700",,,,,,,,
"USC00311820","2018-07-04","35.6408","-78.4633","91.4","CLAYTON WTP, NC US","    0",",,7,0700",,,,,"  344",",,7","  211",",,7",,,,,,,,,"  217",",,7,0700",,,,,,,,
"USC00311820","2018-07-05","35.6408","-78.4633","91.4","CLAYTON WTP, NC US","  145",",,7,0700",,,,,"  333",",,7","  217",",,7",,,,,,,,,"  233",",,7,0700",,,,,,,,
"USC00311820","2018-07-06","35.6408","-78.4633","91.4","CLAYTON WTP, NC US","    8",",,7,0700",,,,,"  328",",,7","  217",",,7",,,,,,,,,"  228",",,7,0700",,,,,,,,
"USC00311820","2018-07-07","35.6408","-78.4633","91.4","CLAYTON WTP, NC US","    0",",,7,0700",,,,,"  339",",,7","  222",",,7",,,,,,,,,"  222",",,7,0700",,,,,,,,
"USC00311820","2018-07-08","35.6408","-78.4633","91.4","CLAYTON WTP, NC US","  239",",,7,0700",,,,,"  250",",,7","  172",",,7",,,,,,,,,"  172",",,7,0700",,,,,,,,
"USC00311820","2018-07-09","35.6408","-78.4633","91.4","CLAYTON WTP, NC US","    0",",,7,0700",,,,,"  278",",,7","  150",",,7",,,,,,,,,"  167",",,7,0700",,,,,,,,
