"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WESD","WESD_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT07","WT07_ATTRIBUTES","WT08","WT08_ATTRIBUTES","WT09","WT09_ATTRIBUTES","WT10","WT10_ATTRIBUTES","WT11","WT11_ATTRIBUTES","WT14","WT14_ATTRIBUTES","WT16","WT16_ATTRIBUTES","WT18","WT18_ATTRIBUTES"
"USC00203585","2018-06-17","43.8322","-82.6427","181.4","HARBOR BEACH 1 SSE, MI US","   13",",,7,0800","    0",",,7","    0",",,7","  261",",,7","  133",",,7",,,,,"  178",",,7,0800",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00203585","2018-06-18","43.8322","-82.6427","181.4","HARBOR BEACH 1 SSE, MI US","    0",",,7,0800","    0",",,7","    0",",,7","  344",",,7","  178",",,7",,,,,"  261",",,7,0800",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00203585","2018-06-19","43.8322","-82.6427","181.4","HARBOR BEACH 1 SSE, MI US","   46",",,7,0800","    0",",,7","    0",",,7","  294",",,7","  139",",,7",,,,,"  139",",,7,0800",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00203585","2018-06-20","43.8322","-82.6427","181.4","HARBOR BEACH 1 SSE, MI US","    3",",,7,0800","    0",",,7","    0",",,7","  172",",,7","  122",",,7",,,,,"  133",",,7,0800",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00203585","2018-06-21","43.8322","-82.6427","181.4","HARBOR BEACH 1 SSE, MI US","    0",",,7,0800","    0",",,7","    0",",,7","  194",",,7","  106",",,7",,,,,"  144",",,7,0800",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00203585","2018-06-22","43.8322","-82.6427","181.4","HARBOR BEACH 1 SSE, MI US","    0",",,7,0800","    0",",,7","    0",",,7","  167",",,7","  122",",,7",,,,,"  161",",,7,0800",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00203585","2018-06-23","43.8322","-82.6427","181.4","HARBOR BEACH 1 SSE, MI US","   81",",,7,0800","    0",",,7","    0",",,7","  178",",,7","  139",",,7",,,,,"  150",",,7,0800",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00203585","2018-06-24","43.8322","-82.6427","181.4","HARBOR BEACH 1 SSE, MI US","   33",",,7,0800","    0",",,7","    0",",,7","  178",",,7","  133",",,7",,,,,"  133",",,7,0800",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00203585","2018-06-25","43.8322","-82.6427","181.4","HARBOR BEACH 1 SSE, MI US","   43",",,7,0800","    0",",,7","    0",",,7","  167",",,7","  100",",,7",,,,,"  133",",,7,0800",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00203585","2018-06-26","43.8322","-82.6427","181.4","HARBOR BEACH 1 SSE, MI US","    0",",,7,0800","    0",",,7","    0",",,7","  167",",,7","   89",",,7",,,,,"  111",",,7,0800",,,,,,,,,,,,,,,,,,,,,,,,,,,,
