"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","DWPR","DWPR_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES"
"ASN00023031","2018-07-10","-34.9697","138.6331","115.0","ADELAIDE WAITE INSTITUTE, AS","   30",",,S",,,"  138",",,S",,,,,,,,,"   87","H,,S"
"ASN00023031","2018-07-11","-34.9697","138.6331","115.0","ADELAIDE WAITE INSTITUTE, AS","    8",",,S",,,"  141",",,S","   43",",,S",,,,,,,"  118","H,,S"
"ASN00023031","2018-07-12","-34.9697","138.6331","115.0","ADELAIDE WAITE INSTITUTE, AS","    0",",,S",,,"  143",",,S",,,,,,,,,"   89","H,,S"
"ASN00023031","2018-07-13","-34.9697","138.6331","115.0","ADELAIDE WAITE INSTITUTE, AS","    0",",,S",,,"  140",",,S","   30",",,S",,,,,,,"   87","H,,S"
"ASN00023031","2018-07-14","-34.9697","138.6331","115.0","ADELAIDE WAITE INSTITUTE, AS","    0",",,S",,,"  166",",,S","   42",",,S",,,,,,,"  110","H,,S"
"ASN00023031","2018-07-15","-34.9697","138.6331","115.0","ADELAIDE WAITE INSTITUTE, AS","    0",",,S",,,"  161",",,S","   58",",,S",,,,,,,"  136","H,,S"
"ASN00023031","2018-07-16","-34.9697","138.6331","115.0","ADELAIDE WAITE INSTITUTE, AS","    0",",,S",,,"  168",",,S","  111",",,S",,,,,,,"  142","H,,S"
"ASN00023031","2018-07-17","-34.9697","138.6331","115.0","ADELAIDE WAITE INSTITUTE, AS","   20",",,S",,,,,,,,,,,,,"  109","H,,S"
"ASN00023031","2018-07-18","-34.9697","138.6331","115.0","ADELAIDE WAITE INSTITUTE, AS","    0",",,S",,,"  171",",,S","   57",",,S",,,,,,,"  121","H,,S"
"ASN00023031","2018-07-19","-34.9697","138.6331","115.0","ADELAIDE WAITE INSTITUTE, AS","   89",",,S",,,"  129",",,S","   61",",,S",,,,,,,"  107","H,,S"
"ASN00023031","2018-07-20","-34.9697","138.6331","115.0","ADELAIDE WAITE INSTITUTE, AS","    8",",,S",,,"  134",",,S",,,,,,,,,"   99","H,,S"
"ASN00023031","2018-07-21","-34.9697","138.6331","115.0","ADELAIDE WAITE INSTITUTE, AS","    0",",,S",,,"  157",",,S","   72",",,S",,,,,,,"  121","H,,S"
"ASN00023031","2018-07-22","-34.9697","138.6331","115.0","ADELAIDE WAITE INSTITUTE, AS","    0",",,S",,,,,"   98",",,S",,,,,,,"  151","H,,S"
"ASN00023031","2018-07-23","-34.9697","138.6331","115.0","ADELAIDE WAITE INSTITUTE, AS","   30",",,S",,,,,"  112",",,S",,,,,,,"  137","H,,S"
"ASN00023031","2018-07-24","-34.9697","138.6331","115.0","ADELAIDE WAITE INSTITUTE, AS","   71",",,S",,,"  164",",,S",,,,,,,,,"  133","H,,S"
"ASN00023031","2018-07-25","-34.9697","138.6331","115.0","ADELAIDE WAITE INSTITUTE, AS","    3",",,S",,,"  162",",,S",,,,,,,,,"  121","H,,S"
"ASN00023031","2018-07-26","-34.9697","138.6331","115.0","ADELAIDE WAITE INSTITUTE, AS","    0",",,S",,,,,"   80",",,S",,,,,,,"  160","H,,S"
"ASN00023031","2018-07-27","-34.9697","138.6331","115.0","ADELAIDE WAITE INSTITUTE, AS","    0",",,S",,,"  208",",,S",,,,,,,,,"  136","H,,S"
"ASN00023031","2018-07-28","-34.9697","138.6331","115.0","ADELAIDE WAITE INSTITUTE, AS","   20",",,S",,,"  155",",,S","   64",",,S",,,,,,,"  126","H,,S"
"ASN00023031","2018-07-29","-34.9697","138.6331","115.0","ADELAIDE WAITE INSTITUTE, AS","    0",",,S",,,,,"   93",",,S",,,,,,,"  119","H,,S"
"ASN00023031","2018-07-30","-34.9697","138.6331","115.0","ADELAIDE WAITE INSTITUTE, AS","   20",",,S",,,"  161",",,S","  101",",,S",,,,,,,"  135","H,,S"
"ASN00023031","2018-07-31","-34.9697","138.6331","115.0","ADELAIDE WAITE INSTITUTE, AS","   30",",,S",,,,,,,,,,,,,"  129","H,,S"
"ASN00023031","2018-08-01","-34.9697","138.6331","115.0","ADELAIDE WAITE INSTITUTE, AS","    0",",,S",,,,,"   93",",,S",,,,,,,"  135","H,,S"
"ASN00023031","2018-08-02","-34.9697","138.6331","115.0","ADELAIDE WAITE INSTITUTE, AS","  211",",,S",,,,,,,,,,,,,"  157","H,,S"
"ASN00023031","2018-08-03","-34.9697","138.6331","115.0","ADELAIDE WAITE INSTITUTE, AS","   10",",,S",,,"  143",",,S","   92",",,S",,,,,,,"  120","H,,S"
"ASN00023031","2018-08-04","-34.9697","138.6331","115.0","ADELAIDE WAITE INSTITUTE, AS","    0",",,S",,,,,"  102",",,S",,,,,,,"  149","H,,S"
"ASN00023031","2018-08-05","-34.9697","138.6331","115.0","ADELAIDE WAITE INSTITUTE, AS","  119",",,S",,,"  154",",,S",,,,,,,,,"  111","H,,S"
"ASN00023031","2018-08-06","-34.9697","138.6331","115.0","ADELAIDE WAITE INSTITUTE, AS","   71",",,S",,,"  132",",,S",,,,,,,,,"  107","H,,S"
"ASN00023031","2018-08-07","-34.9697","138.6331","115.0","ADELAIDE WAITE INSTITUTE, AS","   20",",,S",,,"  144",",,S","   80",",,S",,,,,,,"  127","H,,S"
"ASN00023031","2018-08-08","-34.9697","138.6331","115.0","ADELAIDE WAITE INSTITUTE, AS","    0",",,S",,,"  155",",,S",,,,,,,,,"  132","H,,S"
"ASN00023031","2018-08-09","-34.9697","138.6331","115.0","ADELAIDE WAITE INSTITUTE, AS","    0",",,S",,,"  191",",,S","  101",",,S",,,,,,,"  159","H,,S"
"ASN00023031","2018-08-10","-34.9697","138.6331","115.0","ADELAIDE WAITE INSTITUTE, AS","   79",",,S",,,,,,,,,,,,,"  117","H,,S"
"ASN00023031","2018-08-11","-34.9697","138.6331","115.0","ADELAIDE WAITE INSTITUTE, AS","   30",",,S",,,"  124",",,S",,,,,,,,,"  108","H,,S"
"ASN00023031","2018-08-12","-34.9697","138.6331","115.0","ADELAIDE WAITE INSTITUTE, AS","    8",",,S",,,"  148",",,S","   76",",,S",,,,,,,"  123","H,,S"
"ASN00023031","2018-08-13","-34.9697","138.6331","115.0","ADELAIDE WAITE INSTITUTE, AS","    0",",,S",,,"  147",",,S",,,,,,,,,"  115","H,,S"
"ASN00023031","2018-08-14","-34.9697","138.6331","115.0","ADELAIDE WAITE INSTITUTE, AS","    0",",,S",,,"  182",",,S","   66",",,S",,,,,,,"  150","H,,S"
"ASN00023031","2018-08-15","-34.9697","138.6331","115.0","ADELAIDE WAITE INSTITUTE, AS","   30",",,S",,,"  157",",,S",,,,,,,,,"  118","H,,S"
"ASN00023031","2018-08-16","-34.9697","138.6331","115.0","ADELAIDE WAITE INSTITUTE, AS","    0",",,S",,,"  140",",,S","   69",",,S",,,,,,,"  103","H,,S"
"ASN00023031","2018-08-17","-34.9697","138.6331","115.0","ADELAIDE WAITE INSTITUTE, AS","   41",",,S",,,"  162",",,S","   72",",,S",,,,,,,"  128","H,,S"
"ASN00023031","2018-08-18","-34.9697","138.6331","115.0","ADELAIDE WAITE INSTITUTE, AS","    8",",,S",,,"  137",",,S","   98",",,S",,,,,,,"  117","H,,S"
