"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00425406","2018-08-07","39.27287","-111.65815","1675.8","MANTI RADIO KMTI, UT US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  328",",,7","   67",",,7"
"USC00425406","2018-08-08","39.27287","-111.65815","1675.8","MANTI RADIO KMTI, UT US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  339",",,7","   67",",,7"
"USC00425406","2018-08-09","39.27287","-111.65815","1675.8","MANTI RADIO KMTI, UT US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  344",",,7","   67",",,7"
"USC00425406","2018-08-10","39.27287","-111.65815","1675.8","MANTI RADIO KMTI, UT US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  344",",,7","   94",",,7"
"USC00425406","2018-08-11","39.27287","-111.65815","1675.8","MANTI RADIO KMTI, UT US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  350",",,7","  100",",,7"
"USC00425406","2018-08-12","39.27287","-111.65815","1675.8","MANTI RADIO KMTI, UT US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  344",",,7","   94",",,7"
"USC00425406","2018-08-13","39.27287","-111.65815","1675.8","MANTI RADIO KMTI, UT US","    0","T,,7,0800","    0",",,7,0800","    0",",,7,0800","  350",",,7","  106",",,7"
"USC00425406","2018-08-14","39.27287","-111.65815","1675.8","MANTI RADIO KMTI, UT US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  339",",,7","  106",",,7"
"USC00425406","2018-08-15","39.27287","-111.65815","1675.8","MANTI RADIO KMTI, UT US","    8",",,7,0800","    0",",,7,0800","    0",",,7,0800","  311",",,7","   89",",,7"
"USC00425406","2018-08-16","39.27287","-111.65815","1675.8","MANTI RADIO KMTI, UT US","   41",",,7,0800","    0",",,7,0800","    0",",,7,0800","  317",",,7","  111",",,7"
"USC00425406","2018-08-17","39.27287","-111.65815","1675.8","MANTI RADIO KMTI, UT US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  311",",,7","  122",",,7"
"USC00425406","2018-08-18","39.27287","-111.65815","1675.8","MANTI RADIO KMTI, UT US","   15",",,7,0800","    0",",,7,0800","    0",",,7,0800","  328",",,7","  117",",,7"
"USC00425406","2018-08-19","39.27287","-111.65815","1675.8","MANTI RADIO KMTI, UT US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  300",",,7","   61",",,7"
"USC00425406","2018-08-20","39.27287","-111.65815","1675.8","MANTI RADIO KMTI, UT US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  311",",,7","   61",",,7"
"USC00425406","2018-08-21","39.27287","-111.65815","1675.8","MANTI RADIO KMTI, UT US","   48",",,7,0800","    0",",,7,0800","    0",",,7,0800","  339",",,7","  133",",,7"
"USC00425406","2018-08-22","39.27287","-111.65815","1675.8","MANTI RADIO KMTI, UT US","  292",",,7,0800","    0",",,7,0800","    0",",,7,0800","  206",",,7","  106",",,7"
"USC00425406","2018-08-23","39.27287","-111.65815","1675.8","MANTI RADIO KMTI, UT US","    3",",,7,0800","    0",",,7,0800","    0",",,7,0800","  267",",,7","   89",",,7"
"USC00425406","2018-08-24","39.27287","-111.65815","1675.8","MANTI RADIO KMTI, UT US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  300",",,7","   89",",,7"
"USC00425406","2018-08-25","39.27287","-111.65815","1675.8","MANTI RADIO KMTI, UT US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  306",",,7","   89",",,7"
"USC00425406","2018-08-26","39.27287","-111.65815","1675.8","MANTI RADIO KMTI, UT US","    0","T,,7,0800","    0",",,7,0800","    0",",,7,0800","  306",",,7","  167",",,7"
"USC00425406","2018-08-27","39.27287","-111.65815","1675.8","MANTI RADIO KMTI, UT US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  300",",,7","  161",",,7"
"USC00425406","2018-08-28","39.27287","-111.65815","1675.8","MANTI RADIO KMTI, UT US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  294",",,7","   78",",,7"
"USC00425406","2018-08-29","39.27287","-111.65815","1675.8","MANTI RADIO KMTI, UT US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  267",",,7","   44",",,7"
"USC00425406","2018-08-30","39.27287","-111.65815","1675.8","MANTI RADIO KMTI, UT US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  294",",,7","   67",",,7"
"USC00425406","2018-08-31","39.27287","-111.65815","1675.8","MANTI RADIO KMTI, UT US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  294",",,7","   67",",,7"
"USC00425406","2018-09-01","39.27287","-111.65815","1675.8","MANTI RADIO KMTI, UT US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  294",",,7","  100",",,7"
"USC00425406","2018-09-02","39.27287","-111.65815","1675.8","MANTI RADIO KMTI, UT US","    0","T,,7,0800","    0",",,7,0800","    0",",,7,0800","  278",",,7","   44",",,7"
"USC00425406","2018-09-03","39.27287","-111.65815","1675.8","MANTI RADIO KMTI, UT US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  294",",,7","   44",",,7"
"USC00425406","2018-09-04","39.27287","-111.65815","1675.8","MANTI RADIO KMTI, UT US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  306",",,7","   94",",,7"
"USC00425406","2018-09-05","39.27287","-111.65815","1675.8","MANTI RADIO KMTI, UT US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  261",",,7","   67",",,7"
"USC00425406","2018-09-06","39.27287","-111.65815","1675.8","MANTI RADIO KMTI, UT US","    3",",,7,0800","    0",",,7,0800","    0",",,7,0800","  278",",,7","   67",",,7"
"USC00425406","2018-09-07","39.27287","-111.65815","1675.8","MANTI RADIO KMTI, UT US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  294",",,7","   56",",,7"
