"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","DATX","DATX_ATTRIBUTES","DWPR","DWPR_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","MDTX","MDTX_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES"
"ASN00039083","2018-07-06","-23.3753","150.4775","10.4","ROCKHAMPTON AERO, AS","   56",",,a","  228",",,a","  185",",,a",,,,,,,,,,,"  203","H,,S"
"ASN00039083","2018-07-07","-23.3753","150.4775","10.4","ROCKHAMPTON AERO, AS","  110",",,a","  270",",,a","  190",",,a",,,,,,,,,,,"  205","H,,S"
"ASN00039083","2018-07-08","-23.3753","150.4775","10.4","ROCKHAMPTON AERO, AS","    0",",,a","  215",",,a","  120",",,a",,,,,,,,,,,"  154","H,,S"
"ASN00039083","2018-07-09","-23.3753","150.4775","10.4","ROCKHAMPTON AERO, AS","    0",",,a","  226",",,a","   77",",,a",,,,,,,,,,,"  144","H,,S"
"ASN00039083","2018-07-10","-23.3753","150.4775","10.4","ROCKHAMPTON AERO, AS","    0",",,a","  235",",,a","   79",",,a",,,,,,,,,,,"  168","H,,S"
"ASN00039083","2018-07-11","-23.3753","150.4775","10.4","ROCKHAMPTON AERO, AS","    0",",,a","  243",",,a","   98",",,a",,,,,,,,,,,"  168","H,,S"
"ASN00039083","2018-07-12","-23.3753","150.4775","10.4","ROCKHAMPTON AERO, AS","    0",",,a","  255",",,a","  107",",,a",,,,,,,,,,,"  167","H,,S"
"ASN00039083","2018-07-13","-23.3753","150.4775","10.4","ROCKHAMPTON AERO, AS","    0",",,a","  248",",,a","   80",",,a",,,,,,,,,,,"  158","H,,S"
"ASN00039083","2018-07-14","-23.3753","150.4775","10.4","ROCKHAMPTON AERO, AS","    0",",,a","  233",",,a","   65",",,a",,,,,,,,,,,"  130","H,,S"
"ASN00039083","2018-07-15","-23.3753","150.4775","10.4","ROCKHAMPTON AERO, AS","    0",",,a","  224",",,a","   34",",,a",,,,,,,,,,,"  139","H,,S"
"ASN00039083","2018-07-16","-23.3753","150.4775","10.4","ROCKHAMPTON AERO, AS","    0",",,a","  262",",,a","   60",",,a",,,,,,,,,,,"  163","H,,S"
"ASN00039083","2018-07-17","-23.3753","150.4775","10.4","ROCKHAMPTON AERO, AS","    0",",,a","  260",",,a","   83",",,a",,,,,,,,,,,"  159","H,,S"
