"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","DAEV","DAEV_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","DAWM","DAWM_ATTRIBUTES","EVAP","EVAP_ATTRIBUTES","MDEV","MDEV_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","MDSF","MDSF_ATTRIBUTES","MDWM","MDWM_ATTRIBUTES","MNPN","MNPN_ATTRIBUTES","MXPN","MXPN_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT08","WT08_ATTRIBUTES","WT11","WT11_ATTRIBUTES","WT14","WT14_ATTRIBUTES"
"USC00053500","2018-07-04","40.1849","-105.8666","2526.2","GRAND LAKE 6 SSW, CO US","    0",",,7,1630",,,,,"  250",",,7","   72",",,7",,,,,,,,,,,,,,,,,,,,,"  239",",,7,1630",,,,,,,,,,,,,,,,,,
"USC00053500","2018-07-05","40.1849","-105.8666","2526.2","GRAND LAKE 6 SSW, CO US","    0",",,7,1630",,,,,"  233",",,7","   94",",,7",,,,,,,"  104",",,7,1630",,,,,,,,,,,,,"  206",",,7,1630","  124",",,7",,,,,,,,,,,,,,,,
"USC00053500","2018-07-06","40.1849","-105.8666","2526.2","GRAND LAKE 6 SSW, CO US","   15",",,7,1630",,,,,"  244",",,7","   61",",,7",,,,,,,"   23",",,7,1630",,,,,,,,,,,,,"  206",",,7,1630","  101",",,7",,,"    1",",,7",,,,,,,,,,,,
"USC00053500","2018-07-07","40.1849","-105.8666","2526.2","GRAND LAKE 6 SSW, CO US","   48",",,7,1630",,,,,"  250",",,7","   67",",,7",,,,,,,"  -23",",X,7,1630",,,,,,,,,,,,,"  222",",,7,1630","   98",",,7",,,,,,,"    1",",,7",,,,,,,,
"USC00053500","2018-07-08","40.1849","-105.8666","2526.2","GRAND LAKE 6 SSW, CO US","   15",",,7,1630",,,,,"  250",",,7","   83",",,7",,,,,,,"  -10",",X,7,1630",,,,,,,,,,,,,"  244",",,7,1630","   97",",,7",,,,,,,,,,,,,,,,
"USC00053500","2018-07-09","40.1849","-105.8666","2526.2","GRAND LAKE 6 SSW, CO US","    0",",,7,1630",,,,,"  261",",,7","   89",",,7",,,,,,,"  -76",",X,7,1630",,,,,,,,,,,,,"  250",",,7,1630","  172",",,7",,,,,,,,,,,,,,,,
"USC00053500","2018-07-10","40.1849","-105.8666","2526.2","GRAND LAKE 6 SSW, CO US","    0","T,,7,1630",,,,,"  278",",,7","   83",",,7",,,,,,,"  -97",",X,7,1630",,,,,,,,,,,,,"  250",",,7,1630","  126",",,7",,,,,,,,,,,,,,,,
"USC00053500","2018-07-11","40.1849","-105.8666","2526.2","GRAND LAKE 6 SSW, CO US","    0",",,7,1630",,,,,"  267",",,7","   78",",,7",,,,,,,"  -89",",X,7,1630",,,,,,,,,,,,,"  261",",,7,1630","  129",",,7",,,,,,,,,,,,,,,,
"USC00053500","2018-07-12","40.1849","-105.8666","2526.2","GRAND LAKE 6 SSW, CO US","    0","T,,7,1630",,,,,"  261",",,7","   89",",,7",,,,,,,,,,,,,,,,,,,,,"  183",",,7,1630",,,,,,,,,,,,,,,,,,
"USC00053500","2018-07-13","40.1849","-105.8666","2526.2","GRAND LAKE 6 SSW, CO US","    0",",,7,1630",,,,,"  261",",,7","   67",",,7",,,,,,,,,,,,,,,,,,,,,"  233",",,7,1630",,,,,,,,,,,,,,,,,,
