"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","AWND","AWND_ATTRIBUTES","FMTM","FMTM_ATTRIBUTES","FRGT","FRGT_ATTRIBUTES","PGTM","PGTM_ATTRIBUTES","PSUN","PSUN_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT02","WT02_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT07","WT07_ATTRIBUTES","WT08","WT08_ATTRIBUTES","WT09","WT09_ATTRIBUTES","WT14","WT14_ATTRIBUTES","WT16","WT16_ATTRIBUTES","WT18","WT18_ATTRIBUTES"
"USW00023048","2018-07-05","35.18222","-103.60306","1239.0","TUCUMCARI MUNICIPAL AIRPORT, NM US","    0","T,,W,",,,,,"  333",",,W","  178",",,W","   42",",,W",,,,," 1129",",,W",,,,,,,,,"   80",",,W","   80",",,W","  139",",,W","  174",",,W",,,,,,,,,,,,,,,,,,,,,,,,
"USW00023048","2018-07-06","35.18222","-103.60306","1239.0","TUCUMCARI MUNICIPAL AIRPORT, NM US","    0",",,W,",,,,,"  333",",,W","  178",",,W","   35",",,W",,,,," 1432",",,W",,,,,,,,,"  130",",,W","  120",",,W","  130",",,W","  161",",,W",,,,,,,,,,,,,,,,,,,,,,,,
"USW00023048","2018-07-07","35.18222","-103.60306","1239.0","TUCUMCARI MUNICIPAL AIRPORT, NM US","    3",",,W,",,,,,"  333",",,W","  161",",,W","   30",",,W",,,,," 1519",",,W",,,,,,,,,"  130",",,W","  150",",,W","  148",",,W","  219",",,W",,,,,,,,,,,,,,,,,,,,,,,,
"USW00023048","2018-07-08","35.18222","-103.60306","1239.0","TUCUMCARI MUNICIPAL AIRPORT, NM US","    0",",,W,",,,,,"  344",",,W","  167",",,W","   30",",,W",,,,," 1442",",,W",,,,,,,,,"  150",",,W","  140",",,W","   76",",,W","  116",",,W",,,,,,,,,,,,,,,,,,,,,,,,
"USW00023048","2018-07-09","35.18222","-103.60306","1239.0","TUCUMCARI MUNICIPAL AIRPORT, NM US","    0",",,W,",,,,,"  344",",,W","  178",",,W","   31",",,W",,,,," 1337",",,W",,,,,,,,,"  120",",,W","  110",",,W","   72",",,W","   89",",,W",,,,,,,,,,,,,,,,,,,,,,,,
"USW00023048","2018-07-10","35.18222","-103.60306","1239.0","TUCUMCARI MUNICIPAL AIRPORT, NM US","    0",",,W,",,,,,"  350",",,W","  167",",,W","   35",",,W",,,,," 2212",",,W",,,,,,,,,"  200",",,W","  190",",,W","   89",",,W","  112",",,W",,,,,,,,,,,,,,,,,,,,,,,,
"USW00023048","2018-07-11","35.18222","-103.60306","1239.0","TUCUMCARI MUNICIPAL AIRPORT, NM US","  310",",,W,",,,,,"  361",",,W","  183",",,W","   40",",,W",,,,," 1721",",,W",,,,,,,,,"  340",",,W","   50",",,W","  130",",,W","  206",",,W",,,,,,,,,,,,,,,,,,,,,,,,
"USW00023048","2018-07-12","35.18222","-103.60306","1239.0","TUCUMCARI MUNICIPAL AIRPORT, NM US","    0",",,W,",,,,,"  339",",,W","  211",",,W","   55",",,W",,,,," 1640",",,W",,,,,,,,,"  220",",,W","  210",",,W","  107",",,W","  134",",,W",,,,,,,,,,,,,,,,,,,,,,,,
"USW00023048","2018-07-13","35.18222","-103.60306","1239.0","TUCUMCARI MUNICIPAL AIRPORT, NM US","    0","T,,W,",,,,,"  344",",,W","  200",",,W","   43",",,W",,,,," 1506",",,W",,,,,,,,,"  140",",,W","  140",",,W","  143",",,W","  179",",,W",,,,,,,,,,,,,,,,,,,,,,,,
"USW00023048","2018-07-14","35.18222","-103.60306","1239.0","TUCUMCARI MUNICIPAL AIRPORT, NM US","    0",",,W,",,,,,"  350",",,W","  178",",,W","   38",",,W",,,,," 1639",",,W",,,,,,,,,"  180",",,W","  170",",,W","   89",",,W","  107",",,W",,,,,,,,,,,,,,,,,,,,,,,,
